key,0,1
#,,
int32,str,str
0,"TEXT_TSTPRGTEST_00001_SCENE00000","시나리오 텍스트 테스트 1 <Highlight>ObjectParameter(1)</Highlight>"
1,"TEXT_TSTPRGTEST_00001_SCENE00001","시나리오 텍스트 테스트 2 sdfsd <Highlight>ObjectParameter(1)</Highlight>"
2,"TEXT_TSTPRGTEST_00001_NPC_TRADE_OK","교환"
3,"TEXT_TSTPRGTEST_00001_NPC_TRADE_CANCEL","안 돼"
4,"TEXT_TSTPRGTEST_00001_COUNT_5","5"
5,"TEXT_TSTPRGTEST_00001_COUNT_4","4"
6,"TEXT_TSTPRGTEST_00001_COUNT_3","3"
7,"TEXT_TSTPRGTEST_00001_COUNT_2","2"
8,"TEXT_TSTPRGTEST_00001_COUNT_1","1"
