#,Unknown0,Unknown1
0,TEXT_SUBFST026_00170_SEQ_00,소근소근 조련소의 관리원 보드와인은 조련소 주변에 있는 마물 소탕을 도와줄 사람을 찾고 있는 듯하다.
1,TEXT_SUBFST026_00170_SEQ_01,초코보 훈련에 지장이 생겨서는 안 된다. 소근소근 조련소 주변에 서식하는 '작은 거미전갈'을 6마리 소탕하자.
2,TEXT_SUBFST026_00170_SEQ_02,작은 거미전갈 소탕을 마쳤다. '소근소근 조련소'에서 기다리는 '보드와인'에게 보고하자.
3,TEXT_SUBFST026_00170_SEQ_03,예민하고 겁이 많은 초코보는 훈련 중에 사고를 당하면 사람을 태우기를 거부하게 되는 경우가 있다고 한다. 초코보를 놀라게 만드는 작은 거미전갈을 소탕한 덕분에 초코보 훈련도 순조롭게 진행될 것이다.
4,TEXT_SUBFST026_00170_SEQ_04,
5,TEXT_SUBFST026_00170_SEQ_05,
6,TEXT_SUBFST026_00170_SEQ_06,
7,TEXT_SUBFST026_00170_SEQ_07,
8,TEXT_SUBFST026_00170_SEQ_08,
9,TEXT_SUBFST026_00170_SEQ_09,
10,TEXT_SUBFST026_00170_SEQ_10,
11,TEXT_SUBFST026_00170_SEQ_11,
12,TEXT_SUBFST026_00170_SEQ_12,
13,TEXT_SUBFST026_00170_SEQ_13,
14,TEXT_SUBFST026_00170_SEQ_14,
15,TEXT_SUBFST026_00170_SEQ_15,
16,TEXT_SUBFST026_00170_SEQ_16,
17,TEXT_SUBFST026_00170_SEQ_17,
18,TEXT_SUBFST026_00170_SEQ_18,
19,TEXT_SUBFST026_00170_SEQ_19,
20,TEXT_SUBFST026_00170_SEQ_20,
21,TEXT_SUBFST026_00170_SEQ_21,
22,TEXT_SUBFST026_00170_SEQ_22,
23,TEXT_SUBFST026_00170_SEQ_23,
24,TEXT_SUBFST026_00170_TODO_00,작은 거미전갈 처치
25,TEXT_SUBFST026_00170_TODO_01,보드와인에게 보고
26,TEXT_SUBFST026_00170_TODO_02,
27,TEXT_SUBFST026_00170_TODO_03,
28,TEXT_SUBFST026_00170_TODO_04,
29,TEXT_SUBFST026_00170_TODO_05,
30,TEXT_SUBFST026_00170_TODO_06,
31,TEXT_SUBFST026_00170_TODO_07,
32,TEXT_SUBFST026_00170_TODO_08,
33,TEXT_SUBFST026_00170_TODO_09,
34,TEXT_SUBFST026_00170_TODO_10,
35,TEXT_SUBFST026_00170_TODO_11,
36,TEXT_SUBFST026_00170_TODO_12,
37,TEXT_SUBFST026_00170_TODO_13,
38,TEXT_SUBFST026_00170_TODO_14,
39,TEXT_SUBFST026_00170_TODO_15,
40,TEXT_SUBFST026_00170_TODO_16,
41,TEXT_SUBFST026_00170_TODO_17,
42,TEXT_SUBFST026_00170_TODO_18,
43,TEXT_SUBFST026_00170_TODO_19,
44,TEXT_SUBFST026_00170_TODO_20,
45,TEXT_SUBFST026_00170_TODO_21,
46,TEXT_SUBFST026_00170_TODO_22,
47,TEXT_SUBFST026_00170_TODO_23,
48,TEXT_SUBFST026_00170_BODWINE_000_1,"맞다, 혹시 지금 할 일 없으면 이 근처에서 어슬렁거리는
'작은 거미전갈' 소탕 작업 좀 도와주지 않을래?
한 6마리만 퇴치해주면 충분할 것 같은데."
49,TEXT_SUBFST026_00170_BODWINE_000_2,"이 조련소에서는 어린 초코보를 대상으로 사람을 태우는 훈련을
시키고 있는데, 도로훈련 중 작은 거미전갈 때문에 놀란 초코보가
조련사를 떨어뜨리는 사고가 있었거든."
50,TEXT_SUBFST026_00170_BODWINE_000_3,"중요한 훈련 중에 이런 일이 일어나면
그다음부터 사람을 등에 태우기를 아예 거부하게 돼.
이렇게 되면 훈련은 종 치는 거지. 그러니까 부탁 좀 할게."
51,TEXT_SUBFST026_00170_BODWINE_000_10,"아, 처치하고 왔구나.
이제 당분간은 초코보 훈련에 집중할 수 있겠네."
52,TEXT_SUBFST026_00170_BODWINE_000_11,"초코보는 원래 예민하고 겁이 많은 동물이거든.
병사나 모험가를 태우고 다니게 만들려면
신중하고도 끈기 있게 훈련해야 하지."
53,TEXT_SUBFST026_00170_BODWINE_000_12,"초코보를 놀라게 만드는 작은 거미전갈을 소탕해줘서 고맙다.
괜찮으면 다른 사람들에게도 도움이 필요하지 않은지 살펴봐 줘."
