#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Unknown2,Subtype,Unknown1,Category
0,없음,0,1,0,0,0,0,0,0,0,0
1,광택,194002,1,0,0,0,1,2,0,0,1
2,네모,194003,1,0,0,0,6,2,0,0,1
3,물방울,194004,1,0,0,0,7,2,0,0,1
4,마름모,194005,1,0,0,0,8,2,0,0,1
5,모눈,194006,1,0,0,0,2,2,0,0,1
6,사선,194007,1,0,0,0,3,2,0,0,1
7,사선 이분할,194008,1,0,0,0,4,2,0,0,1
8,세모,194009,1,0,0,0,5,2,0,0,1
9,양피지,194010,1,0,0,0,10,2,0,0,1
10,귀퉁이 장식,194011,1,0,0,0,9,2,0,0,1
11,그림자,195002,1,0,0,0,1,1,0,0,1
12,광채,195003,1,0,0,0,2,1,0,0,1
13,물방울,195004,1,0,0,0,3,1,0,0,1
14,수첩,195005,1,0,0,0,4,1,0,0,1
15,스크랩북,195006,1,0,0,0,5,1,0,0,1
16,마법진,195007,1,0,0,0,6,1,0,0,1
17,양피지,195008,1,0,0,0,7,1,0,0,1
18,페인트,195009,1,0,0,0,8,1,0,0,1
19,금속 간판,195010,1,0,0,0,9,1,0,0,1
20,책,195011,1,0,0,0,10,1,0,0,1
21,현수막,197002,1,0,0,0,3,3,0,0,1
22,복귀자,197003,1,0,0,0,4,3,0,0,1
23,금속 고리,197004,1,0,0,0,5,3,0,0,1
24,꼬리표: 방어 역할,197005,1,0,0,0,6,3,0,0,1
25,꼬리표: 공격 역할,197006,1,0,0,0,8,3,0,0,1
26,꼬리표: 회복 역할,197007,1,0,0,0,7,3,0,0,1
27,간소한 테두리: 연갈색,197008,1,0,0,0,1,3,0,0,1
28,간소한 테두리: 입체,197009,1,0,0,0,2,3,0,0,1
29,쪽지,197010,1,0,0,0,9,3,0,0,1
30,스크랩북,197011,1,0,0,0,10,3,0,0,1
31,검은색,198002,1,0,0,0,3,4,0,0,1
32,흰색,198003,1,0,0,0,2,4,0,0,1
33,보석 박힌 틀(넓은 폭),198004,1,0,0,0,5,4,0,0,1
34,보석 박힌 틀(좁은 폭),198005,1,0,0,0,4,4,0,0,1
35,림사 로민사,198006,1,0,0,0,6,4,0,0,1
36,그리다니아,198007,1,0,0,0,7,4,0,0,1
37,울다하,198008,1,0,0,0,8,4,0,0,1
38,금속 틀,198009,1,0,0,0,1,4,0,0,1
39,트리플 트라이어드 Ex,198010,298,0,0,0,10,4,0,0,1
40,트리플 트라이어드,198011,298,0,0,0,9,4,0,0,1
41,길 금화,199002,1,0,0,0,1,5,0,0,1
42,깃펜,199003,1,0,0,0,2,5,0,0,1
43,스티커,199004,1,0,0,0,3,5,0,0,1
44,지도,199005,1,0,0,0,4,5,0,0,1
45,리본,199006,1,0,0,0,5,5,0,0,1
46,편지봉투,199007,1,0,0,0,6,5,0,0,1
47,음표,199008,1,0,0,0,7,5,0,0,1
48,꽃다발,199009,1,0,0,0,8,5,0,0,1
49,쪽지,199010,1,0,0,0,9,5,0,0,1
50,우표,199011,1,0,0,0,10,5,0,0,1
51,검술사,194201,156,0,0,0,2000,2,0,0,2
52,도끼술사,194202,157,0,0,0,2001,2,0,0,2
53,환술사,194203,158,0,0,0,2002,2,0,0,2
54,격투사,194204,159,0,0,0,2003,2,0,0,2
55,창술사,194205,160,0,0,0,2004,2,0,0,2
56,쌍검사,194206,161,0,0,0,2005,2,0,0,2
57,궁술사,194207,162,0,0,0,2006,2,0,0,2
58,주술사,194208,163,0,0,0,2007,2,0,0,2
59,비술사,194209,164,0,0,0,2008,2,0,0,2
60,나이트,194210,300,0,0,0,2050,2,0,0,2
61,전사,194211,301,0,0,0,2051,2,0,0,2
62,암흑기사,194212,302,0,0,0,2052,2,0,0,2
63,건브레이커,194213,303,0,0,0,2053,2,0,0,2
64,백마도사,194214,304,0,0,0,2054,2,0,0,2
65,학자,194215,305,0,0,0,2055,2,0,0,2
66,점성술사,194216,306,0,0,0,2056,2,0,0,2
67,현자,194217,307,0,0,0,2057,2,0,0,2
68,몽크,194218,308,0,0,0,2058,2,0,0,2
69,용기사,194219,309,0,0,0,2059,2,0,0,2
70,닌자,194220,310,0,0,0,2060,2,0,0,2
71,사무라이,194221,311,0,0,0,2061,2,0,0,2
72,리퍼,194222,312,0,0,0,2062,2,0,0,2
73,음유시인,194223,313,0,0,0,2064,2,0,0,2
74,기공사,194224,314,0,0,0,2065,2,0,0,2
75,무도가,194225,315,0,0,0,2066,2,0,0,2
76,흑마도사,194226,316,0,0,0,2067,2,0,0,2
77,소환사,194227,317,0,0,0,2068,2,0,0,2
78,적마도사,194228,318,0,0,0,2069,2,0,0,2
79,청마도사,194229,232,0,0,0,2071,2,0,0,2
80,목수,194230,268,0,0,0,2100,2,0,0,2
81,대장장이,194231,269,0,0,0,2101,2,0,0,2
82,갑주제작사,194232,270,0,0,0,2102,2,0,0,2
83,보석공예가,194233,271,0,0,0,2103,2,0,0,2
84,가죽공예가,194234,272,0,0,0,2104,2,0,0,2
85,재봉사,194235,273,0,0,0,2105,2,0,0,2
86,연금술사,194236,274,0,0,0,2106,2,0,0,2
87,요리사,194237,275,0,0,0,2107,2,0,0,2
88,광부,194238,285,0,0,0,2108,2,0,0,2
89,원예가,194239,286,0,0,0,2109,2,0,0,2
90,어부,194240,287,0,0,0,2110,2,0,0,2
91,,0,0,0,0,0,0,0,0,0,0
92,,0,0,0,0,0,0,0,0,0,0
93,,0,0,0,0,0,0,0,0,0,0
94,,0,0,0,0,0,0,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0
96,,0,0,0,0,0,0,0,0,0,0
97,,0,0,0,0,0,0,0,0,0,0
98,,0,0,0,0,0,0,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0
108,,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,0,0
111,,0,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0
113,,0,0,0,0,0,0,0,0,0,0
114,,0,0,0,0,0,0,0,0,0,0
115,,0,0,0,0,0,0,0,0,0,0
116,,0,0,0,0,0,0,0,0,0,0
117,,0,0,0,0,0,0,0,0,0,0
118,,0,0,0,0,0,0,0,0,0,0
119,,0,0,0,0,0,0,0,0,0,0
120,,0,0,0,0,0,0,0,0,0,0
121,,0,0,0,0,0,0,0,0,0,0
122,,0,0,0,0,0,0,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0
124,,0,0,0,0,0,0,0,0,0,0
125,,0,0,0,0,0,0,0,0,0,0
126,,0,0,0,0,0,0,0,0,0,0
127,,0,0,0,0,0,0,0,0,0,0
128,,0,0,0,0,0,0,0,0,0,0
129,,0,0,0,0,0,0,0,0,0,0
130,,0,0,0,0,0,0,0,0,0,0
131,,0,0,0,0,0,0,0,0,0,0
132,,0,0,0,0,0,0,0,0,0,0
133,,0,0,0,0,0,0,0,0,0,0
134,,0,0,0,0,0,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0
136,,0,0,0,0,0,0,0,0,0,0
137,,0,0,0,0,0,0,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0
139,,0,0,0,0,0,0,0,0,0,0
140,,0,0,0,0,0,0,0,0,0,0
141,,0,0,0,0,0,0,0,0,0,0
142,,0,0,0,0,0,0,0,0,0,0
143,,0,0,0,0,0,0,0,0,0,0
144,,0,0,0,0,0,0,0,0,0,0
145,,0,0,0,0,0,0,0,0,0,0
146,,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0
148,,0,0,0,0,0,0,0,0,0,0
149,,0,0,0,0,0,0,0,0,0,0
150,,0,0,0,0,0,0,0,0,0,0
151,,0,0,0,0,0,0,0,0,0,0
152,,0,0,0,0,0,0,0,0,0,0
153,,0,0,0,0,0,0,0,0,0,0
154,,0,0,0,0,0,0,0,0,0,0
155,,0,0,0,0,0,0,0,0,0,0
156,,0,0,0,0,0,0,0,0,0,0
157,,0,0,0,0,0,0,0,0,0,0
158,,0,0,0,0,0,0,0,0,0,0
159,,0,0,0,0,0,0,0,0,0,0
160,절 바하무트 토벌전,195701,319,0,0,0,2500,1,0,0,4
161,절 바하무트 토벌전,197701,319,0,0,0,2500,3,0,0,4
162,절 바하무트 토벌전,198701,319,0,0,0,2500,4,0,0,4
163,절 바하무트 토벌전,199701,319,0,0,0,2500,5,0,0,4
164,절 알테마 웨폰 파괴작전,195702,320,0,0,0,2501,1,0,0,4
165,절 알테마 웨폰 파괴작전,197702,320,0,0,0,2501,3,0,0,4
166,절 알테마 웨폰 파괴작전,198702,320,0,0,0,2501,4,0,0,4
167,절 알테마 웨폰 파괴작전,199702,320,0,0,0,2501,5,0,0,4
168,절 알렉산더 토벌전,195703,321,0,0,0,2502,1,0,0,4
169,절 알렉산더 토벌전,197703,321,0,0,0,2502,3,0,0,4
170,절 알렉산더 토벌전,198703,321,0,0,0,2502,4,0,0,4
171,절 알렉산더 토벌전,199703,321,0,0,0,2502,5,0,0,4
172,절 용시전쟁,195704,322,0,0,0,2503,1,0,0,4
173,절 용시전쟁,197704,322,0,0,0,2503,3,0,0,4
174,절 용시전쟁,198704,322,0,0,0,2503,4,0,0,4
175,절 용시전쟁,199704,322,0,0,0,2503,5,0,0,4
176,변형 던전: 실디하 지하수도,194701,343,0,0,0,2402,2,0,0,4
177,변형 던전: 실디하 지하수도,197705,343,0,0,0,2402,3,0,0,4
178,,0,0,0,0,0,0,0,0,0,0
