#,Name,FCAuthorityCategory,Unknown0
0,부대 정보 설정,1,1
1,,0,0
2,계급 설정,1,2
3,문장 디자인 설정,1,3
4,부대 금고 설정,0,0
5,부대 초대,2,1
6,부대 가입 신청 승인,2,4
7,부대원 제명,2,2
8,계급 임명,2,3
9,부대 게시판 편집,3,1
10,,0,0
11,한마디 이용,3,2
12,부대 명성 이용,4,1
13,부대 혜택 사용,4,2
14,부대 혜택 포기,4,3
15,,5,0
16,,5,0
17,,5,0
18,,5,0
19,,5,0
20,,5,0
21,,5,0
22,,5,0
23,,5,0
24,,5,0
25,,5,0
26,,5,0
27,,5,0
28,,5,0
29,,5,0
30,,5,0
31,,5,0
32,,5,0
33,,5,0
34,,5,0
35,,5,0
36,,5,0
37,,5,0
38,,5,0
39,,5,0
40,,5,0
41,,5,0
42,,5,0
43,주택 입실,6,1
44,주택 이름 편집,6,2
45,인삿말 편집,6,3
46,토지 구매/포기,7,1
47,주택 건설 및 철거,7,2
48,외장 및 내장 변경,8,1
49,소품 변경 불가,8,3
50,소품 추가 및 배치 가능,8,4
51,"소품 추가, 제거, 배치 가능",8,5
52,"외장, 소품, 조경물 염색",8,2
53,방문자 설정/주택 홍보 설정 편집,6,4
54,방명록 관리,15,1
55,씨뿌리기,9,1
56,작물 수확,9,2
57,작물 처분,9,3
58,내 초코보 맡기기,10,1
59,다른 부대원의 초코보 훈련,10,2
60,에테르 충전대 이용,8,7
61,집사 배치 및 철수,8,6
62,지하공방 증축 및 철거,11,1
63,제작할 아이템 결정/제작 중단,12,1
64,재료 납품,12,2
65,작업 공정 진행하기,12,3
66,제작된 아이템 꺼내기,12,4
67,설계도 연구,12,5
68,등록 및 해체,13,1
69,부품 변경,13,2
70,부품 염색,13,3
71,이름 바꾸기,13,4
72,탐사선 출항/중단,13,5
73,완료된 탐사 확인,13,6
74,승선 탐사 시작,0,0
75,오케스트리온 관리,14,1
