#,Name,AdditionalData,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Type,AcceptClassJobCategory,Category
0,未設定,0,0,0,0,0,0,0,0,1,0
1,선 자세: 맨손 1,3,82083,1,0,0,0,1,20,1,3
2,선 자세: 맨손 2,91,82083,1,0,0,0,2,11,1,3
3,선 자세: 맨손 3,92,82083,1,0,0,0,3,11,1,3
4,선 자세: 맨손 4,107,82083,1,0,0,0,4,11,1,3
5,선 자세: 맨손 5,108,82083,1,0,0,0,5,11,1,3
6,선 자세: 맨손 6,218,82083,1,0,0,0,6,11,1,3
7,선 자세: 맨손 7,219,82083,1,0,0,0,7,11,1,3
8,선 자세: 무기 1,34,82083,1,0,0,0,8,20,1,3
9,선 자세: 무기 2,93,82083,1,0,0,0,9,11,1,3
10,,5,64005,1,0,0,0,1000,11,1,1
11,,154,64340,6,0,0,0,1001,11,1,1
12,,116,64081,1,0,0,0,1002,11,1,1
13,,41,64041,1,0,0,0,1003,11,1,1
14,,172,64361,7,0,0,0,1004,11,1,1
15,,15,64015,1,0,0,0,1005,11,1,1
16,,16,64016,1,0,0,0,1006,11,1,1
17,,19,64019,1,0,0,0,1007,11,1,1
18,,31,64031,1,0,0,0,1008,11,1,1
19,,0,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0
22,,59,64066,8,0,0,0,1009,11,1,1
23,,124,64088,46,0,0,0,1010,11,1,1
24,,199,64383,9,0,0,0,1011,11,1,1
25,,20,64020,1,0,0,0,1101,11,1,1
26,,21,64021,1,0,0,0,1102,11,1,1
27,,18,64018,1,0,0,0,1103,11,1,1
28,,48,64052,1,0,0,0,1104,11,1,1
29,,34,64034,1,0,0,0,1105,11,1,1
30,,35,64035,1,0,0,0,1106,11,1,1
31,,4,64004,1,0,0,0,1107,11,1,1
32,,9,64009,1,0,0,0,1108,11,1,1
33,,30,64030,1,0,0,0,1109,11,1,1
34,,58,64064,1,0,0,0,1110,11,1,1
35,,140,64329,1,0,0,0,1111,11,1,1
36,,46,64049,1,0,0,0,1113,11,1,1
37,,147,64334,47,0,0,0,1114,11,1,1
38,,11,64011,1,0,0,0,1115,11,1,1
39,,42,64042,1,0,0,0,1200,11,1,1
40,,43,64043,1,0,0,0,1201,11,1,1
41,,7,64007,1,0,0,0,1202,11,1,1
42,,29,64029,1,0,0,0,1203,11,1,1
43,,6,64006,1,0,0,0,1204,11,1,1
44,,240,64419,120,0,0,0,1205,11,1,1
45,,110,64075,48,0,0,0,1206,11,1,1
46,,112,64077,1,0,0,0,1207,11,1,1
47,,113,64078,28,0,0,0,1208,11,1,1
48,,105,64067,1,0,0,0,1209,11,1,1
49,,115,64080,112,0,0,0,1300,11,1,1
50,,121,64085,10,0,0,0,1301,11,1,1
51,,122,64086,11,0,0,0,1302,11,1,1
52,,125,64089,49,0,0,0,1304,11,1,1
53,,127,64091,12,0,0,0,1305,11,1,1
54,,0,0,0,0,0,0,0,0,0,0
55,,195,64379,95,0,0,0,1400,11,1,1
56,,197,64381,50,0,0,0,1401,11,1,1
57,,202,64386,51,0,0,0,1402,11,1,1
58,,205,64389,52,0,0,0,1403,11,1,1
59,,0,0,0,0,0,0,0,0,0,0
60,초코보 붓,224,64406,98,0,0,0,1404,11,1,1
61,,0,0,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0
63,,0,0,0,0,0,0,0,0,0,0
64,,24,64024,1,0,0,0,1500,11,1,1
65,,25,64025,1,0,0,0,1501,11,1,1
66,,10,64010,1,0,0,0,1502,11,1,1
67,,3,64003,1,0,0,0,1503,11,1,1
68,,14,64014,1,0,0,0,1504,11,1,1
69,,26,64026,1,0,0,0,1505,11,1,1
70,,40,64040,1,0,0,0,1506,11,1,1
71,,49,64053,1,0,0,0,1507,11,1,1
72,,38,64038,1,0,0,0,1508,11,1,1
73,,2,64002,1,0,0,0,1509,11,1,1
74,,17,64017,1,0,0,0,1511,11,1,1
75,,32,64032,1,0,0,0,1512,11,1,1
