key,0
#,Description
int32,str
0,"더미"
1,"레벨 1-49 던전"
2,"레벨 50 던전"
3,"레벨 51-59 던전"
4,"레벨 60 던전"
5,"망자의 궁전"
6,"전장"
7,"더 피스트"
8,"레벨 61-69 던전"
9,"레벨 70 던전"
10,"보물고"
11,"경쟁의 날개"
12,"딥 던전"
13,"레벨 71-79 던전"
14,"레벨 80 던전"
15,"레벨 81-89 던전"
16,"레벨 90 던전"
17,"크리스탈라인 컨플릭트"
18,"대미궁 바하무트: 해후편 1-5"
19,"대미궁 바하무트: 침공편 1-4"
20,"대미궁 바하무트: 진성편 1-4"
21,"기공성 알렉산더: 기동편 1-4"
22,"기공성 알렉산더: 율동편 1-4"
23,"기공성 알렉산더: 천동편1-4"
24,"차원의 틈 오메가: 델타편 1-4"
25,"차원의 틈 오메가: 시그마편 1-4"
26,"차원의 틈 오메가: 알파편 1-4"
27,"희망의 낙원 에덴: 각성편 1-2"
28,"희망의 낙원 에덴: 각성편 3-4"
29,"희망의 낙원 에덴: 공명편 1-2"
30,"희망의 낙원 에덴: 공명편 3-4"
31,"희망의 낙원 에덴: 재생편 1-2"
32,"희망의 낙원 에덴: 재생편 3-4"
33,"마의 전당 판데모니움: 변옥편 1-2"
34,"마의 전당 판데모니움: 변옥편 3-4"
35,""
36,"마의 전당 판데모니움: 연옥편 1-2"
37,"마의 전당 판데모니움: 연옥편 3-4"
38,"마의 전당 판데모니움: 천옥편 1-2"
39,"마의 전당 판데모니움: 천옥편 3-4"
