#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,-1,False,False,False,False,False,True,False,True,False,False,False,False,True,True
1,무작위 임무: 레벨링,레벨링,,"현재 참가 가능한 던전과 소규모 파티용 토벌전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 레벨링'의 경험치 및 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ 군표 지급량은 참가한 직업의 레벨에 따라 변동합니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.","해당 임무: 소규모 파티용 던전, 토벌전",0,112034,0,0,0,0,0,0,100,20,0,0,0,1,16,16,1,4,142,2,0,0,1,0,90,0,2,0,0,0,False,True,False,False,True,True,True,True,False,False,False,False,True,True
2,무작위 임무: 상급 레벨링,상급 레벨링,,"현재 참가할 수 있는 레벨 50/60/70/80/90 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 상급 레벨링'의 경험치와 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.",해당 임무: 레벨 50/60/70/80/90 소규모 파티용 던전,0,112035,0,0,0,45,0,100,120,0,0,0,0,1,50,50,2,3,142,2,0,0,1,0,90,0,2,0,0,1,False,True,False,False,True,True,True,True,False,False,False,False,True,True
3,무작위 임무: 주요 퀘스트,주요 퀘스트,,"현재 참가 가능한 주요 퀘스트용 임무 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ 이 무작위 임무에서는 동영상을 건너뛸 수 없습니다.
※ '무작위 임무: 주요 퀘스트'의 경험치와 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.",해당 임무: 대규모 파티용 던전,0,112036,0,0,0,42,0,350,100,50,0,0,0,1,50,50,3,6,142,2,0,0,1,0,60,120,2,0,0,2,False,True,False,False,True,True,True,True,False,False,False,False,True,True
4,무작위 임무: 길드 작전,길드 작전,,"현재 참가 가능한 길드 작전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 길드 작전'의 경험치 및 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 경험치 및 길과의 차액을 보상으로 받게 됩니다.
※ 군표 지급량은 참가한 직업의 레벨에 따라 변동합니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 4인 파티로 참가할 경우, 4인용 길드 작전이 배정되며 역할을 자유롭게 구성할 수 있습니다. 단, 역할 부족 보너스는 지급되지 않습니다.
※ 피닉스의 꼬리를 사용할 수 없는 임무도 있습니다.",해당 임무: 길드 작전,0,112037,0,0,0,0,0,0,0,0,0,0,0,1,10,10,4,7,142,3,0,0,1,0,30,0,2,0,0,3,False,True,False,False,True,True,True,True,False,False,False,False,True,True
5,무작위 임무: 숙련자,숙련자,,"한 번 이상 완료한 적이 있는 숙련자용 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 숙련자'의 길 보너스는 참가한 직업의 레벨에 따라 결정되며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.",해당 임무: 소규모 파티용 숙련자 던전,0,112057,0,0,0,735,0,0,60,40,0,0,5,2,100,100,5,1,142,2,0,0,1,0,90,0,2,0,0,4,False,True,False,False,True,True,True,True,False,False,False,False,True,True
6,무작위 임무: 토벌전,토벌전,,"현재 참가 가능한 토벌전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.",해당 임무: 대규모 파티용 토벌전,0,112056,0,0,0,90,0,0,60,15,0,0,0,1,50,50,6,5,142,3,0,0,1,0,60,0,2,0,0,5,False,True,False,False,True,True,False,True,False,False,False,False,True,True
7,일일 도전: 전장,전장,,"일일 도전 과제로 지정된 전장에 참가합니다. 도전할 전장은 임무 찾기의 '정보'에서 확인할 수 있으며 매일 바뀝니다. 전장을 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ 일일 도전 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.",해당 임무: 온살 하카이르(계절끝 합전),0,112083,1000,1500,0,0,0,0,50,20,1000,0,0,3,30,30,0,15,146,24,0,0,1,28,20,0,0,0,0,6,False,True,True,False,True,True,True,True,False,False,False,False,True,True
8,무작위 임무: 최고 레벨 던전,최고 레벨 던전,,"한 번 이상 완료한 적이 있는 레벨 100 던전 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ '무작위 임무: 최고 레벨 던전'의 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 미리 구성된 파티로 참가하였을 경우, 역할 부족 보너스는 지급되지 않습니다.",해당 임무: 소규모 파티용 던전(레벨 100),0,112123,0,0,0,705,0,0,100,15,0,0,5,2,100,100,7,2,142,2,0,0,1,0,90,0,2,0,0,7,False,True,False,False,True,True,True,True,False,False,False,False,True,True
9,무작위 임무: 멘토,멘토,,"한 번 이상 완료한 적이 있는 멘토용 임무 중에서 무작위로 정해진 임무에 참가합니다. 임무를 직접 선택하여 참가할 때보다 훨씬 많은 완료 보상을 받을 수 있습니다.

※ 최신 전투 멘토 자격을 취득한 캐릭터로만 참가할 수 있습니다.
※ '무작위 임무: 멘토'의 길 보너스는 참가한 직업의 레벨에 따라 변동하며, 해당 임무에서 얻을 수 있는 길과의 차액을 보상으로 받게 됩니다.
※ '무작위 임무' 보상은 하루에 한 번만 받을 수 있으며, 보상 취득 상황은 오전 0시에 초기화됩니다.
※ 역할 부족 보너스는 임무에 참가 신청을 한 시점에 부족했던 역할에 적용됩니다.
※ 피닉스의 꼬리를 사용할 수 없는 임무도 있습니다.",해당 임무: 멘토용 임무,0,112144,0,0,0,745,0,0,30,10,0,0,5,2,100,100,8,10,142,1,0,0,1,0,30,120,2,0,0,8,False,True,False,False,True,True,True,True,False,False,False,False,True,True
