key,0
#,Name
int32,str
0,""
1,"제1함대 제2전대 노란셔츠: 쥘츠케췬 하사"
2,"브루게이르 상회: 구매담당 윈스틴 왈더"
3,"글자 수 테스트＿＿＿■일이삼사오육칠팔구■일이삼사오육칠팔구■일이삼사오육칠팔구■일이삼사오육칠팔구■일이삼사오육칠팔구■일이삼사오육칠팔구"
4,"모그리의 축복회 목동"
5,"모그리의 축복회 목동: 오드리"
6,"어진나무 명상굴 환술사"
7,"종군상인: 에일드"
8,"주점 '버스카론 맘대로' 주인"
9,"종합상사 '검은토끼 무역상사' 구매부장: 마이센타"
10,"귀곡부대 제3창병조원"
11,"귀곡부대 제4창병조원"
12,"귀곡부대 제5창병조원"
13,"귀곡부대 제5창병조원: 줄리앙베르"
14,"채석공방 주민"
15,"원예가 길드원"
16,"사냥꾼 길드"
17,"가비노 사부"
18,"귀곡부대 제1창병조원"
19,"귀곡부대 제1창병조 수송병: 랑베를레"
20,"사냥꾼 길드: 우게넬"
21,"신궁부대 인마사단: 갤프리드 교관"
22,"원예가 길드: 가비노 사부"
23,"원예가 길드: 레온소"
24,"어진나무 명상굴: 도사 알릭시"
25,"신궁부대 인마사단: 모를랭"
26,"모그리의 축복회: 목동 마르고"
27,"귀곡부대 제3창병조: 대원 에일거"
28,"모그리의 축복회: 목동 거스타베인"
29,"어진나무 명상굴: 도사 월듀"
30,"귀곡부대 제4창병조: 플로리몽"
31,"주점 '버스카론 맘대로': 주인 버스카론"
32,"들꽃만발 양봉장: 로사 호손"
33,"숲 주민: 이자벨 호손"
34,"숲 주민: 롤프 호손"
35,"귀곡부대 제5창병조: 발란"
36,"채석공방 주민: 옴벨린"
37,"음유 모그리: 쿠뿌니 카뿌"
38,"어진나무 명상굴: 도사 샤를린"
39,"채석공방 주민: 알드리크"
40,"귀곡부대 제6창병조: 아베레이"
41,"어진나무 명상굴: 아데스탠"
42,"아주 착한 행상인: 거트릭스"
43,"겔모라의 탐구자: 롤랑데"
44,"귀곡부대 제3창병조: 피모 넬하"
45,"귀곡부대 제5창병조: 카스텔랑"
46,"붉은수탉 농장: 농장 대표 어녹"
47,"붉은수탉 농장: 본초학자 아렌로나"
48,"붉은수탉 농장: 몰이꾼 무그람"
49,"회색함대 풍차마을: 풍차지기 우두머리 바이트차렌"
50,"원양교역선 '오리온 호': 알츠키프 선장"
51,"칼새횃대 개척지: 리울프"
52,"와와라고 어민 조합: 포실리앙"
53,"노란셔츠 제2상륙부대: 앤크리타 이등병"
54,"노란셔츠 제2상륙부대: 쥘츠케췬 하사"
55,"노란셔츠 제3상륙부대: 프레일루프 이등병"
56,"노란셔츠 제3상륙부대: 스크리브스쾨프 이등병"
57,"노란셔츠 제4상륙부대: 야브바리 일등병"
58,"맥주 항구 양조기술자: 민드이딘"
59,"맥주 항구 양조기술자: 오아데브"
60,"촛불지기 부두: 알드보다"
61,"게게루주의 집사: 구구디"
62,"게게루주의 경호원: 와이스케트"
63,"날디크와 비멜리 사: 대장장이 매티민트"
64,"박물학자 이수다"
65,"나는 상어: 주인 뒤어스트바이츠"
66,"메메룬 교역상점: 메메룬 회장"
67,"멜반 세관공사: 페타쟈"
68,"포도주 항구 양조기술자: 시즈풀스크"
69,"포도주 항구 양조기술자: 에반다라"
70,"아마지나 광산회사: 애델라드"
71,"아마지나 광산회사: 구부러진 칼자루"
72,"아마지나 광산회사: 리넷"
73,"아마지나 광산회사: 술 취한 수사슴"
74,"박물학자: 마르세트"
75,"문투이 양조창고: 에리몽"
76,"레스토랑 '비스마르크': 주방장 링자트"
77,"꿈꾸는 사나이: 피피쿠리"
78,"동부 알데나드 상회: 슈슈넨"
79,"보석공예가 길드: 상급 보석공예가 에울드"
80,"날달 교단: 부제 에어렐"
81,"날달 교단: 사제 리리몰"
82,"익명의 의뢰인"
83,"상인공제회: 건트램"
84,"은갑옷단: 근위기사 오벨렛"
85,"구리칼날단 장미연대: 나홀로 큰사슴"
86,"연금술사 길드: 에일윈"
87,"구리칼날단 발삼연대: 코코비"
88,"상인공제회: 즈즈티로"
89,"구리칼날단 장미연대: 체체잔"
90,"주술사 길드: 야야케"
91,"아마지나 광산회사: 술 취한 수사슴"
92,"역사학자: 하바크 알바크"
93,"구리칼날단 난초연대: 앨럿"
94,"상인공제회: 츠츠시"
95,"리틀 알라미고 주민: 그리퓌드"
96,"구리칼날단 연꽃연대: 뤼모모"
97,"날달 교단: 사제 마마네"
98,"흑와단: 조선과"
99,"흑와단: 군령부 부속 특무소대"
100,"흑와단: 특수상륙부대"
101,"흑와단: 시설과 공병대"
102,"흑와단: 타격함대 부속 제3상륙부대"
103,"쌍사당: 멧돼지부대"
104,"쌍사당: 오소리부대"
105,"쌍사당: 수달부대"
106,"쌍사당: 늑대부대"
107,"불멸대: 알라미고인 부대"
108,"불멸대: 제1공병중대"
109,"불멸대: 제2전투대대"
110,"불멸대: 국장 부속 특무대 '블러드손'"
111,"불멸대: 외국인 부대"
112,"불멸대: 제3전투대대"
113,"'게게루주 상회' 지배인: 리리폰"
114,"'브루게이르 상회' 부회장: 방고 장고"
115,"붉은수탉 농장: 츠뷘위다"
116,"독립 교역상인: 퓨온 불리온"
117,"상선 '얼음공주호' 선장: 하란볼로"
118,"'아슈가나 무역' 회장: 로어릭"
119,"상인공제회: 기기욘"
120,"상인공제회: 미미나"
121,"상인공제회: 프레디스위사"
122,"종군상인: 비벤"
123,"종군상인: 랑케르트"
124,"성 코이나크 재단: 사이엘"
125,"종군상인: 듀비코루아"
126,"이슈가르드 교황청: 신전기사 마르셀랑"
127,"아도넬 점성대: 점성술사 에드멜"
128,"포르탕 가 기병: 아르튀리우"
129,"검투 재단: 우뷜징크"
130,"성 코이나크 재단: 문화인류학자 람브루스"
131,"성 코이나크 재단: 조사원 나질 두질"
132,"쌍사당: 독사부대"
133,"아마지나 광산회사: 브랑부르스"
134,"아마지나 광산회사: 일멘가르트"
135,"아유나르트 가 기병: 프레리오"
136,"망원경 기술자: 에밀리언"
137,"대빙벽 조사원: 랑세페르"
138,"포르탕 가 기병: 코랑티오"
139,"뒤랑데르 가 기병: 브뤼나디에"
140,"뒤랑데르 가 하인: 목동 앙리오"
141,"요리연구가: 운쥔빌프"
142,"도매상인: 키몰로시"
143,"중매인: 푸페페"
144,"숲의 어부: 다카 진잘"
145,"게게루주 씨의 시종: 프아보쥐"
146,"산의 어부: 드리비도"
147,"도매상인: 루비온"
148,"성 코이나크 재단: 클리프턴"
149,"채석공방 주민: 애덕"
150,"와와라고 어민 조합: 블루멜"
151,"신전기사단 지휘관: 앙델루"
152,"신전기사단 수도사제: 파디유"
153,"신전기사단 재무장: 아미안"
154,"신전기사단 병원장: 아벨"
155,"이단심문관: 게들리"
156,"신전기사단 용기사: 브뤼세몽"
157,"신전기사단 지휘관: 루키아"
158,"갈론드 아이언웍스 기술자: 로웰"
159,"박물학자: 탕가 통가"
160,"알라미고 해방군 공병: 임블렌"
161,"석재 철물 도매상 '우간야' 주인: 우간"
162,"목재 도매상 '사간야' 주인: 사간"
163,"비녀 장인: 후요"
164,"도마를 걱정하는 사람: 익명"
165,"무기 장인: 세카"
166,"동쪽 나라 의사: 츠고모리"
167,"리틀 알라미고 수장: 군도발드"
168,"알라가나 촌장: 라간프리드"
169,"알라미고 해방군 투사: 기셀라"
170,"야전병원 치료사: 오렐라"
171,"원예가 길드마스터: 푸푸차"
172,"동부 알데나드 상회 비서: 키키모"
173,"굽어보는 바위 수장: 메라츠 눈"
174,"도구상 주인: 쿠즈바나"
175,"무기 상점: 카나마리"
176,"포목 도매상 '다이텐야' 지배인: 야기리"
177,"기행문 작가: 리리주"
178,"적성조 회계 담당: 시모요"
179,"원양 교역선 '성황의 비 호' 선장: 주브릴"
180,"'기가스 대장간' 상회의 상인: 카안다냐"
181,"대여점 주인: 코토부키"
182,"코카지야 장인: 운류"
183,"적성조 식료품 담당: 산고야 "
184,"'무지코 극장' 제작진: 이스카"
185,"'갈매기 찻집' 주인: 우메"
186,"'시오카제 정' 주인: 코토카제"
187,"라자한 대사관 서기관: 바리할"
188,"요정 '아카마츠 정' 주인: 사에다"
189,"'세이후 서점' 주인: 세이후"
190,"마테리아 장인: 클레르볼드"
191,"보부상: 타즈나"
192,"어용상인: 타즈나"
193,"숲언덕 공방 주민: 알브레다"
194,"푸른등 행상인: 소로반"
195,"헤매는 계단 식당 주인: 글리나드"
196,"연금술 의료관 관장: 쉐사밀"
197,"콜루시아 출신 교역상: 스파덴"
198,"연철과 신입 장인: 하콘"
199,"조달과 차장: 타차 시"
200,"탄도학 조병관 기술자: 소 렌드"
201,"연철과 우수 장인: 하콘"
202,"연철과 개인 공방주: 하콘"
203,"연철과 유명 공방주: 하콘"
204,"고고한 명장: 하콘"
205,"식물 표본관 연구원: 에덴드레다"
206,"식약과의 신입 요리사: 솔포트"
207,"어업과 차장: 브루 시르"
208,"식약과의 우수 요리사: 솔포트"
209,"식약과의 인기 요리사: 솔포트"
210,"식약과의 유명 요리사: 솔포트"
211,"식약과의 명물 요리사: 솔포트"
212,"수공과의 실력파 장인: 오웰"
213,"어업과의 숙련 어부: 머빌"
214,"상단 단장: 카사드"
215,"위병대 장교: 피트리그"
216,"흑철 공방 장인: 에이스몽"
217,"방어구점 '낯가죽' 주인: 도다드"
218,"박물진열관 사서장: 모렌"
219,"무기점 '선제공격' 주인: 샤이 티스토"
220,"달콤체 과수원 주임: 토빌"
221,"음식점 '더 주세요' 주인: 한지 페이"
222,"흑철 공방 경영자: 이올라"
223,"식약과 수의사: 베스릭"
224,"사슬 거주관 관리인: 실감"
225,"우주의 화음 시장 조합장: 브라기"
