key,0,1,2,3,4
#,,Format,,,
int32,byte,str,str,str,byte
0,0,"[LogKind 미설정]<Color(-3355444)><Highlight>StringParameter(2)</Highlight></Color>","None","",0
1,0,"<Color(-3355444)><Highlight>StringParameter(2)</Highlight></Color>","Debug","",0
2,0,"<Color(-32897)><Highlight>StringParameter(2)</Highlight></Color>","긴급 공지","",0
3,0,"<Color(-5010177)><Highlight>StringParameter(2)</Highlight></Color>","일반 공지","",0
4,0,"","","",0
5,0,"","","",0
6,0,"","","",0
7,0,"","","",0
8,0,"","","",0
9,0,"","","",0
10,0,"<Color(PlayerParameter(13))><Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","말하기","",1
11,0,"<Color(PlayerParameter(14))><Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","외치기","",1
12,0,"<Color(PlayerParameter(15))>>><Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","귓속말","",1
13,0,"<Color(PlayerParameter(15))><Highlight>StringParameter(1)</Highlight> >> <Highlight>StringParameter(2)</Highlight></Color>","Tell_Receive","",0
14,0,"<Color(PlayerParameter(16))>(<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>","파티","",1
15,0,"<Color(PlayerParameter(17))>((<Highlight>StringParameter(1)</Highlight>)) <Highlight>StringParameter(2)</Highlight></Color>","연합 파티","",1
16,0,"<Color(PlayerParameter(18))>[1]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [1]","",1
17,0,"<Color(PlayerParameter(19))>[2]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [2]","",1
18,0,"<Color(PlayerParameter(20))>[3]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [3]","",1
19,0,"<Color(PlayerParameter(21))>[4]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [4]","",1
20,0,"<Color(PlayerParameter(22))>[5]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [5]","",1
21,0,"<Color(PlayerParameter(23))>[6]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [6]","",1
22,0,"<Color(PlayerParameter(24))>[7]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [7]","",1
23,0,"<Color(PlayerParameter(25))>[8]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","링크셸 [8]","",1
24,0,"<Color(PlayerParameter(26))>[자유부대]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","자유부대","",1
25,0,"","","",0
26,0,"","","",0
27,0,"<Color(PlayerParameter(29))>[초보자]<Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","초보자 대화","",1
28,0,"<Color(PlayerParameter(30))><Highlight>StringParameter(1)</Highlight><Highlight>StringParameter(2)</Highlight></Color>","자기만의 감정 표현","",1
29,50,"<Color(PlayerParameter(31))><Highlight>StringParameter(2)</Highlight></Color>","감정 표현","",1
30,0,"<Color(PlayerParameter(32))><Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","떠들기","",1
31,0,"<Color(PlayerParameter(16))>(<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>","","",0
32,0,"<Color(PlayerParameter(16))>(<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>","Party","",1
33,0,"","","",0
34,0,"","","",0
35,0,"","","",0
36,0,"<Color(PlayerParameter(27))>[PvP팀]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
37,0,"<Color(PlayerParameter(35))>[서버 초월 링크셸 1]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
38,0,"","","",0
39,0,"","","",0
40,0,"","","",0
41,50,"<Color(PlayerParameter(36))><Highlight>StringParameter(2)</Highlight></Color>","대상 피해","",2
42,50,"<Color(PlayerParameter(37))><Highlight>StringParameter(2)</Highlight></Color>","공격 실패","",2
43,50,"<Color(PlayerParameter(38))><Highlight>StringParameter(2)</Highlight></Color>","기술 시작 및 중단","",2
44,50,"<Color(PlayerParameter(39))><Highlight>StringParameter(2)</Highlight></Color>","아이템 사용 및 중단","",2
45,50,"<Color(PlayerParameter(40))><Highlight>StringParameter(2)</Highlight></Color>","대상 회복","",2
46,50,"<Color(PlayerParameter(41))><Highlight>StringParameter(2)</Highlight></Color>","강화 효과 부여","",2
47,50,"<Color(PlayerParameter(42))><Highlight>StringParameter(2)</Highlight></Color>","약화 효과 부여","",2
48,50,"<Color(PlayerParameter(41))><Highlight>StringParameter(2)</Highlight></Color>","","",0
49,50,"<Color(PlayerParameter(42))><Highlight>StringParameter(2)</Highlight></Color>","","",0
50,0,"","","",0
51,0,"","","",0
52,0,"","","",0
53,0,"","","",0
54,0,"","","",0
55,0,"","","",0
56,0,"<Color(PlayerParameter(43))><Highlight>StringParameter(2)</Highlight></Color>","숨김말","",3
57,0,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>","시스템 메시지","",3
58,50,"<Color(PlayerParameter(57))><Highlight>StringParameter(2)</Highlight></Color>","시스템 오류 메시지","",3
59,0,"<Color(PlayerParameter(58))><Highlight>StringParameter(2)</Highlight></Color>","전투 관련 시스템 메시지","",3
