key,0,1
#,ContentTalkParam,Text
int32,ContentTalkParam,str
0,4,""
1,1,"テスト用トークテキスト1"
2,2,"テスト用トークテキスト2"
3,3,"テスト用トークテキスト3"
4,1,"テスト用トークテキスト4"
5,2,"テスト用トークテキスト5"
20,4,"나는 모험가 길드의 일원.
혼자 힘으로는 해결할 수 없는 특수 임무
'길드 작전' 발행을 통괄하고 있다."
21,4,"'길드 작전'에 도전하는 건 처음인가?
이건 혼자서는 절대 달성할 수 없으며
여러 사람이 힘을 합쳐야 하는 특수 임무지."
22,4,"이곳 주민과 각 조직에서 들어오는 의뢰 중
특히 까다로운 것만 모아두었기 때문에…….
너희 모험가들의 결속력이 승패를 가를 거다."
23,4,"물론 임무를 달성하면 그만한 보상이 주어진다.
처음으로 임무를 달성했을 때는
보상을 조금 더 얹어줄 테니 열심히 하도록."
24,4,"나는 모험가 길드의 일원.
혼자 힘으로는 해결할 수 없는 특수 임무
'길드 작전' 발행을 통괄하고 있다."
25,4,"하지만 넌 아직 미숙한 것 같군.
네가 감당할 수 있는 임무가 아니다.
실력을 더 키운 다음에 오도록."
26,4,"무슨 일이냐? 임무 중이다!
설마 전투를 포기하고 돌아갈 생각은 아니겠지?"
27,4,"아주 잘했다.
이번 활약에 대한 보상을 주지."
28,4,"아주 잘했다, 정말 훌륭한 전투였어!
이번에는 특별히 추가 보상을 줘야겠군."
29,4,"이런, 넌 가방이 가득 찬 것 같군."
30,4,"보상을 나눠주는 중이다.
잠시 기다려."
31,4,"전원, 전투준비!
동료가 모두 모였는지 확인하라!!"
40,4,"나는 모험가 길드의 특무대장이야.
이 지역에서 발생하는 집단대상 특수 임무
'길드 작전'을 총괄하고 있지."
41,4,"길드 작전'을 받는 건 처음이야?
'길드 작전'은 혼자 힘으로 할 수 없는
특수 임무를 말해."
42,4,"이 근처에서 들어오는 의뢰 중
특히 까다로운 걸 모은 거라서
동료와 힘을 합치지 않으면 해결은 힘들 거야."
43,4,"대신 임무만 달성하면 보상은 기대해도 좋을걸?
그리고 처음 해결한 임무에는
특별히 보너스도 챙겨줄게."
44,4,"나는 모험가 길드의 특무대장이야.
이 지역에서 발생하는 집단대상 특수 임무
'길드 작전'을 총괄하고 있지."
45,4,"흠, 넌 아직 실력이 좀 부족한 것 같은데.
내가 발행하는 임무를 해결할 정도의 실력을 갖추고 나서
다시 찾아와 주겠어?"
46,4,"임무 중이야, 긴장 풀지 마.
설마 임무를 포기하고 돌아가려는 건 아니겠지?"
47,4,"제법 잘하는데? 연계가 아주 좋았어.
자 여기, 보상이야. 받아!"
