#,Name,Icon,IconDutyFinder,Unknown1,Unknown2
0,,0,0,0,0
1,무작위 임무,61807,0,0,0
2,던전,61801,60831,1,1
3,길드 작전,61803,60833,2,2
4,토벌전,61804,60834,1,3
5,레이드,61802,60832,1,4
6,PvP,61806,60836,1,5
7,퀘스트 전투,61805,60835,0,0
8,돌발 임무,61809,0,0,0
9,보물찾기,61808,60838,0,0
10,의뢰,61811,0,0,0
11,총사령부,61812,0,0,0
12,버디,61813,0,0,0
13,우호부족 퀘스트,61814,0,0,0
14,달성 수 보너스,61810,0,0,0
15,플레이어 추천,61817,0,0,0
16,채집가,61815,60859,0,0
17,제작자,61816,0,0,0
18,집사,61818,0,0,0
19,골드 소서,61820,60848,1,0
20,,61823,60846,0,0
21,딥 던전,61824,60847,0,0
22,,61801,60831,0,0
23,,61821,61821,2,0
24,공상 수첩,61825,0,0,0
25,단골 거래,61827,0,0,0
26,금단의 땅 에우레카,61833,60851,0,0
27,가면 무투회,61836,60853,0,0
28,절 레이드,61832,60855,1,6
29,세이브 더 퀸,61838,61838,0,0
30,특수 던전 탐색,61846,61846,1,0
31,먼바다 낚시,61756,0,0,0
32,트리플 트라이어드,61820,0,0,0
33,마물 사냥,61819,0,0,0
34,낚시,61756,0,0,0
35,돌발 게임,61820,0,0,0
36,무인도 개척,61847,0,0,0
37,멸 연합 레이드,61850,60807,1,7
38,초승달 섬,61851,60808,0,0
39,,61824,60847,0,0
