#,Text,LogKind,DisplayFlags,Unknown1,Duration,Unknown2
0,,0,0,0,0,False
1, 님을 파티에 초대했습니다.,57,1,0,0,False
2, 님이 파티 초대를 취소했습니다.,57,1,0,0,False
3, 님의 파티에 초대받았습니다.,57,33,0,0,False
4,파티를 탈퇴했습니다.,57,1,0,0,False
5,파티가 해체되었습니다.,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8, 님을 차단 목록에 추가했습니다.,57,1,0,0,False
9, 님을 차단 목록에서 제외했습니다.,57,1,0,0,False
10, 님에게 친구 신청을 보냈습니다.,57,33,0,0,False
11, 님에게 친구 신청을 받았습니다.,57,33,0,0,False
12, 님을 친구 목록에서 삭제했습니다.,57,1,0,0,False
13, 님을 [] 링크셸에 초대했습니다.,57,1,0,0,False
14, 님이 [] 링크셸에 초대했습니다.,57,33,0,0,False
15, 님을 [] 링크셸의 관리자로 설정했습니다.,57,1,0,0,False
16, 님의 [] 링크셸 관리자 권한을 취소했습니다.,57,1,0,0,False
17,[] 링크셸을 탈퇴했습니다.,57,1,0,0,False
18,[] 링크셸을 해체했습니다.,57,33,0,0,False
19, 님을 [] 링크셸에서 제외했습니다.,57,1,0,0,False
20,[] 링크셸에서 제외되었습니다.,57,1,0,0,False
21, 님을 [] 링크셸의 새로운 마스터로 임명했습니다.,57,1,0,0,False
22, 님이 [] 링크셸의 새로운 마스터로 임명되었습니다.,57,33,0,0,False
23,[] 링크셸의 관리자로 설정되었습니다.,57,33,0,0,False
24,[] 링크셸의 관리자 권한이 취소되었습니다.,57,1,0,0,False
25, 님에게 우편을 발송했습니다.,57,33,0,0,False
26,우편을 삭제했습니다.,57,1,0,0,False
27,우편으로 ×UNKNOWN개를 취득했습니다.,57,1,0,0,False
28,우편으로 0길을 취득했습니다.,57,1,0,0,False
29,친구 편지함에 아이템이 첨부된 우편이 있습니다. 수취를 완료하지 않으면 친구로부터 아이템이 첨부된 우편을 더는 받을 수 없습니다.,60,9,0,0,False
30, 님은 현재 거래할 수 없습니다.,60,8,0,0,False
31,거래할 수 없는 아이템입니다.,60,8,0,0,False
32, 님에게 거래를 신청했습니다.,57,1,0,0,False
33, 님이 거래 물품을 확인 중입니다.,57,1,0,0,False
34, 님이 거래를 신청했습니다.,57,1,0,0,False
35,거래가 시작되었습니다.,57,1,0,0,False
36,거래가 취소되었습니다.,57,1,0,0,False
37,거래 물품이 변경되었습니다.,57,1,0,0,False
38,거래가 완료되었습니다.,57,33,0,0,False
39,소지품이 가득 차서 거래할 수 없습니다.,60,8,0,0,False
40, 님은 소지품이 가득 차서 거래할 수 없습니다.,60,8,0,0,False
41,거래하려면 내구도가 100% 이상이어야 합니다.,60,8,0,0,False
42,하나밖에 소지할 수 없는 아이템입니다. 이미 가지고 있어서 거래할 수 없습니다.,60,8,0,0,False
43,하나밖에 소지할 수 없는 아이템입니다.  님은 이미 가지고 있어서 거래할 수 없습니다.,60,8,0,0,False
44,거래 상대에게서 멀어지면 거래가 취소됩니다.,57,8,0,0,False
45,입력 가능한 글자 수를 초과하였습니다.,60,8,0,0,False
46,소지금이 한계에 달하여 취득할 수 없습니다.,60,8,0,0,False
47, 님의 소지금이 한계에 달하여 아이템을 거래할 수 없습니다.,60,8,0,0,False
48,'다른 용무 중'일 때는 거래를 신청할 수 없습니다.,60,8,0,0,False
49,UNKNOWN 님은 현재 '다른 용무 중'이므로 귓속말을 들을 수 없습니다.,60,1,0,0,False
50,UNKNOWN 님에게 귓속말을 보낼 수 없습니다.,60,1,0,0,False
51,지정한 플레이어가 없습니다.,60,8,0,0,False
52, 님을 자동으로 따라갑니다.,57,33,0,0,False
53,따라가기가 취소되었습니다.,57,33,0,0,False
54,거래에 실패했습니다.,60,8,0,0,False
55,차단 목록에 등록된 대상에게는 귓속말을 보낼 수 없습니다.,60,8,0,0,False
56,차단 목록에 등록된 대상에게는 거래를 신청할 수 없습니다.,60,8,0,0,False
57,차단 목록에 등록된 대상은 파티에 초대할 수 없습니다.,60,8,0,0,False
58,차단 목록에 등록된 대상은 링크셸에 초대할 수 없습니다.,60,8,0,0,False
59,소지품의 여유 공간이 UNKNOWN칸 남았습니다.,60,8,0,0,False
60, 님이 파티에 참가했습니다.,57,33,1,0,False
61, 님의 파티에 참가했습니다.,57,33,1,0,False
62, 님이 파티 초대를 거절했습니다.,57,1,0,0,False
63, 님의 파티 초대를 거절했습니다.,57,1,0,0,False
64, 님을 파티장으로 임명했습니다.,57,1,1,0,False
65,파티장으로 임명되었습니다.,57,33,1,0,False
66, 님이 파티장으로 임명되었습니다.,57,33,1,0,False
67, 님을 파티에서 제외시켰습니다.,57,1,1,0,False
68, 님의 파티에서 탈퇴했습니다.,57,1,1,0,False
69, 님이 파티에서 탈퇴했습니다.,57,33,1,0,False
70,자신이 파티장인 파티에서 탈퇴했습니다.,57,33,1,0,False
71," 님이 파티에서 탈퇴하여,  님이 새로운 파티장이 되었습니다.",57,33,1,0,False
72,파티를 해체했습니다.,57,33,1,0,False
73,파티가 해체되었습니다.,57,33,1,0,False
74,[] 링크셸에 가입했습니다.,57,33,0,0,False
75, 님이 [] 링크셸에 가입했습니다.,57,33,1,0,False
76,[] 링크셸 가입을 거절했습니다.,57,1,0,0,False
77, 님이 [] 링크셸을 탈퇴했습니다.,57,33,1,0,False
78, 님과 친구가 되었습니다.,57,33,1,0,False
79, 님의 친구 신청을 거절했습니다.,57,1,0,0,False
80,검색 정보가 갱신되었습니다.,57,32,0,0,False
81,플레이어 검색 조건이 반영되었습니다.,57,32,0,0,False
82, 님에게 보낸 친구 신청을 취소했습니다.,57,1,0,0,False
83, 님의 친구 신청이 취소되었습니다.,57,1,1,0,False
84, 님이 접속을 종료했습니다.,57,33,1,0,False
85, 님이 파티에 복귀했습니다.,57,33,1,0,False
86,차단 목록에 등록된 대상에게는 마테리아 장착을 의뢰할 수 없습니다.,60,8,0,0,False
87,제작자가 아니므로 마테리아 장착을 의뢰할 수 없습니다.,60,8,0,0,False
88,새로운 지역을 발견했습니다!,57,33,1,0,False
89,캐릭터 목록을 불러오지 못했습니다. 다른 데이터 센터를 이용하거나 잠시 기다려주십시오.,60,8,0,0,False
90, 님이 [] 링크셸 가입을 거절했습니다.,57,1,1,0,False
91, 님이 [] 링크셸 초대를 취소했습니다.,57,33,0,0,False
92,[] 링크셸 초대가 취소되었습니다.,57,33,1,0,False
93,우편 처리 중입니다. 완료될 때까지 기다려 주시기 바랍니다.,60,8,0,0,False
94,"전체 UNKNOWN건의 파티 모집 중, 상세 검색 조건에 맞는 파티가 없습니다.",72,1,0,0,False
95,파티 초대를 전부 취소했습니다.,57,1,1,0,False
96,"미용실 전용 머리 모양 및 얼굴 무늬는 사용할 수 없으므로, 초기값이 적용됩니다.",60,8,0,0,False
97,일정 시간 동안 조작하지 않아 자리비움 상태로 설정합니다.,57,1,0,0,False
98,자리비움 상태가 해제되었습니다.,57,1,0,0,False
99,모집자가 차단 목록에 등록되어 있어 파티에 참가할 수 없습니다.,60,8,0,0,False
100,  보고 놀랍니다.,29,1,0,0,False
101,  불만스러워합니다.,29,1,0,0,False
102, 에게 화를 냅니다.,29,1,0,0,False
103,  보고 수줍어합니다.,29,1,0,0,False
104, 에게 공손하게 인사합니다.,29,1,0,0,False
105,  응원합니다.,29,1,0,0,False
106, 에게 박수를 보냅니다.,29,1,0,0,False
107, 에게 손짓합니다.,29,1,0,0,False
108,  위로합니다.,29,1,0,0,False
109,  보고 엉엉 웁니다.,29,1,0,0,False
110,  앞에서 춤을 춥니다.,29,1,0,0,False
111,  추궁합니다.,29,1,0,0,False
112,  앞에서 꾸벅꾸벅 좁니다.,29,1,0,0,False
113,  보고 분개합니다.,29,1,0,0,False
114, 에게 작별 인사를 합니다.,29,1,0,0,False
115, 에게 손을 흔듭니다.,29,1,0,0,False
116,  보고 어이없어합니다.,29,1,0,0,False
117,  보고 기뻐합니다.,29,1,0,0,False
118,  앞에 무릎을 꿇습니다.,29,1,0,0,False
119,  보고 웃습니다.,29,1,0,0,False
120,  보고 폭소를 터뜨립니다.,29,1,0,0,False
121,  찾아 주위를 둘러봅니다.,29,1,0,0,False
122, 에게 자신을 가리켜 보입니다.,29,1,0,0,False
123, 에게 고개를 저어 보입니다.,29,1,0,0,False
124, 에게 부정의 뜻을 전합니다.,29,1,0,0,False
125,  앞에서 당황스러워합니다.,29,1,0,0,False
126,  손가락으로 가리킵니다.,29,1,0,0,False
127,  쿡쿡 찌릅니다.,29,1,0,0,False
128,  칭찬합니다.,29,1,0,0,False
129, 에게 힘을 불어넣습니다.,29,1,0,0,False
130, 에게 경례합니다.,29,1,0,0,False
131,  보고 기겁합니다.,29,1,0,0,False
132, 에게 어깨를 으쓱해 보입니다.,29,1,0,0,False
133,  격려합니다.,29,1,0,0,False
134,  진정시킵니다.,29,1,0,0,False
135, 에게 비틀거리며 다가갑니다.,29,1,0,0,False
136,  앞에서 기지개를 켭니다.,29,1,0,0,False
137, 에게 삐친 모습을 보입니다.,29,1,0,0,False
138,  앞에서 생각에 잠깁니다.,29,1,0,0,False
139,  앞에서 실망스러워합니다.,29,1,0,0,False
140,  환영합니다.,29,1,0,0,False
141, 에게 고개를 끄덕입니다.,29,1,0,0,False
142,  향해 엄지손가락을 추켜세웁니다.,29,1,0,0,False
143,  앞에서 자기 모습을 확인합니다.,29,1,0,0,False
144,  앞에서 멋진 자세를 취합니다.,29,1,0,0,False
145, 에게 흑와단식으로 경례합니다.,29,1,0,0,False
146, 에게 쌍사당식으로 경례합니다.,29,1,0,0,False
147, 에게 불멸대식으로 경례합니다.,29,1,0,0,False
148, 에게 손키스를 날립니다.,29,1,0,0,False
149, 에게 눈덩이를 던집니다.,29,1,0,0,False
150, 에게 무릎 꿇고 사죄합니다.,29,1,0,0,False
151,  보고 행복해합니다.,29,1,0,0,False
152,  보고 좌절합니다.,29,1,0,0,False
153, 에게 전투태세를 취해 보입니다.,29,1,0,0,False
154, 에게 승리의 기쁨을 전합니다.,29,1,0,0,False
155,  앞에서 공중제비를 돕니다.,29,1,0,0,False
156, 에게 포권의 예를 취합니다.,29,1,0,0,False
157,  보고 번뜩이는 생각을 떠올립니다.,29,1,0,0,False
158,,0,0,0,0,False
159,,0,0,0,0,False
160,,0,0,0,0,False
161,  보고 정색합니다.,29,1,0,0,False
162, 에게 미소를 짓습니다.,29,1,0,0,False
163, 에게 웃어 보입니다.,29,1,0,0,False
164, 에게 자신감 넘치는 표정을 짓습니다.,29,1,0,0,False
165,  보고 음흉하게 웃습니다.,29,1,0,0,False
166,  앞에서 눈을 감습니다.,29,1,0,0,False
167,  앞에서 울상을 짓습니다.,29,1,0,0,False
168,  보고 공포에 질린 얼굴을 합니다.,29,1,0,0,False
169, 에게 어리둥절한 표정을 짓습니다.,29,1,0,0,False
170, 에게 아픈 표정을 짓습니다.,29,1,0,0,False
171, 에게 불쾌한 표정을 짓습니다.,29,1,0,0,False
172, 에게 무언가 깨달은 표정을 짓습니다.,29,1,0,0,False
173, 에게 걱정스러운 표정을 짓습니다.,29,1,0,0,False
174,  보고 싱글벙글 웃습니다.,29,1,0,0,False
175, 에게 화난 표정을 짓습니다.,29,1,0,0,False
176, 에게 미안한 표정을 짓습니다.,29,1,0,0,False
177, 에게 놀란 표정을 짓습니다.,29,1,0,0,False
178, 에게 기도합니다.,29,1,0,0,False
179, 에게 제국식으로 경례합니다.,29,1,0,0,False
180, 에게 무언가를 던집니다.,29,1,0,0,False
181,라라펠족만 들어갈 수 있습니다.,60,8,0,0,False
182,  앞에서 탭댄스를 춥니다.,29,1,0,0,False
183,  앞에서 풍요의 춤을 춥니다.,29,1,0,0,False
184, 에게 궁중 무용을 선보입니다.,29,1,0,0,False
185,  앞에서 신사의 춤을 춥니다.,29,1,0,0,False
186,  쓰다듬습니다.,29,1,0,0,False
187, 에게 무언가를 건넵니다.,29,1,0,0,False
188, 에게 먹이를 줍니다.,29,1,0,0,False
189,  앞에서 축제의 춤을 춥니다.,29,1,0,0,False
190, 에게 승리의 함성을 지릅니다!,29,1,0,0,False
