#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0.0,0,0,0,0,0
1.0,0,0,0,0,7
1.1,7854777,60,20,0,1
1.2,11,0,0,0,3
1.3,7841042,60,20,0,1
1.4,7841043,50,10,0,1
1.5,12,0,0,0,3
1.6,7841044,40,10,0,1
1.7,7841045,60,10,0,1
1.8,2,0,0,0,7
1.9,100,1016306,0,0,4
1.10,15,0,0,0,3
1.11,7854779,300,15,0,2
1.12,15,0,0,0,6
1.13,7854779,20,0,0,2
1.14,3,0,0,0,7
1.15,101,1016306,0,0,4
1.16,1,0,0,0,7
1.17,7841046,60,10,0,1
1.18,7841047,50,30,0,1
1.19,13,0,0,0,3
1.20,7841048,50,30,0,1
1.21,7841049,50,30,0,1
1.22,14,0,0,0,3
1.23,7841050,70,40,0,1
1.24,7841051,50,30,0,1
1.25,7841054,50,30,0,1
1.26,7841067,50,30,0,1
1.27,7841068,10,5,0,1
1.28,0,0,0,0,0
1.29,0,0,0,0,0
1.30,0,0,0,0,0
2.0,0,0,0,0,7
2.1,7854776,30,10,0,1
2.2,1,0,0,0,3
2.3,7826160,50,10,0,1
2.4,7826163,30,10,0,1
2.5,2,0,0,0,3
2.6,7826166,40,10,0,1
2.7,7826170,60,10,0,1
2.8,7826176,60,10,0,1
2.9,3,0,0,0,3
2.10,7826184,40,10,0,1
2.11,7826196,50,30,0,1
2.12,2,0,0,0,7
2.13,100,1016306,0,0,4
2.14,5,0,0,0,3
2.15,7826204,300,5,0,2
2.16,5,0,0,0,6
2.17,7826204,20,0,0,2
2.18,3,0,0,0,7
2.19,101,1016306,0,0,4
2.20,1,0,0,0,7
2.21,7826205,60,10,0,1
2.22,7826206,60,10,0,1
2.23,4,0,0,0,3
2.24,7826207,40,10,0,1
2.25,7826208,10,5,0,1
2.26,0,0,0,0,0
3.0,0,0,0,0,7
3.1,7854780,30,10,0,1
3.2,21,0,0,0,3
3.3,7841094,50,10,0,1
3.4,7841107,50,10,0,1
3.5,7841122,50,10,0,1
3.6,22,0,0,0,3
3.7,7841131,30,10,0,1
3.8,7841138,40,10,0,1
3.9,23,0,0,0,3
3.10,7841146,30,10,0,1
3.11,7841147,50,30,0,1
3.12,2,0,0,0,7
3.13,100,1016306,0,0,4
3.14,25,0,0,0,3
3.15,7841155,300,25,0,2
3.16,25,0,0,0,6
3.17,7841155,20,0,0,2
3.18,3,0,0,0,7
3.19,101,1016306,0,0,4
3.20,1,0,0,0,7
3.21,7841148,60,10,0,1
3.22,7841149,60,10,0,1
3.23,24,0,0,0,3
3.24,7841150,40,10,0,1
3.25,7841151,40,10,0,1
3.26,7841152,10,5,0,1
3.27,0,0,0,0,0
3.28,0,0,0,0,0
3.29,0,0,0,0,0
3.30,0,0,0,0,0
