#,Name,Icon,SortKey
0,설정 안 함,61762,0
1,던전,61801,20
2,토벌전,61804,21
3,레이드,61802,22
4,절 레이드,61832,23
5,딥 던전,61824,30
6,특수 필드 탐색,61837,31
7,PvP,61806,40
8,청마도사,61836,51
9,보물찾기,61808,52
10,마물 사냥,61819,53
11,제작,61816,100
12,채광/원예,61755,101
13,낚시,61756,102
14,주요 퀘스트,61757,10
15,골드 소서,61820,54
16,무작위 임무,61807,50
17,레벨 올리기,61752,150
18,역할극,61751,151
19,진지한 공략,61754,153
20,부담 없이 즐기기,61753,152
21,초보자,61823,154
22,멘토,61760,155
23,길 모으기,61758,200
24,단체 자세,61764,205
25,장비 투영,61759,204
26,악기 연주,61763,203
27,대화 나누기,61765,206
28,하우징,61761,202
29,플레이어 이벤트,61766,207
30,업적 수집,61767,201
31,특수 던전 탐색,61846,32
32,작패유희,61768,55
33,무인도 개척,61847,56
