#,Name,Description,Icon,Territory
0,,,0,1
1,안갯빛 마을 스타일,"라노시아 양식의 소형 주택용 건축 스타일.
해풍 방지가 잘 되어있다.",82107,282
2,안갯빛 마을 스타일,"라노시아 양식의 중형 주택용 건축 스타일.
해풍 방지가 잘 되어있다.",82108,283
3,안갯빛 마을 스타일,"라노시아 양식의 대형 주택용 건축 스타일.
해풍 방지가 잘 되어있다.",82109,284
4,라벤더 안식처 스타일,"검은장막 숲 양식의 소형 주택용 건축 스타일.
검은장막 숲의 목재가 사용되었다.",82104,342
5,라벤더 안식처 스타일,"검은장막 숲 양식의 중형 주택용 건축 스타일.
검은장막 숲의 목재가 사용되었다.",82105,343
6,라벤더 안식처 스타일,"검은장막 숲 양식의 대형 주택용 건축 스타일.
검은장막 숲의 목재가 사용되었다.",82106,344
7,하늘잔 마루 스타일,"다날란 양식의 소형 주택용 건축 스타일.
일교차를 신경 쓰지 않고 생활할 수 있도록 고안했다.",82101,345
8,하늘잔 마루 스타일,"다날란 양식의 중형 주택용 건축 스타일.
일교차를 신경 쓰지 않고 생활할 수 있도록 고안했다.",82102,346
9,하늘잔 마루 스타일,"다날란 양식의 대형 주택용 건축 스타일.
일교차를 신경 쓰지 않고 생활할 수 있도록 고안했다.",82103,347
10,시로가네 스타일,"동방 양식의 소형 주택용 건축 스타일.
사계절의 변화에 적합하도록 고안했다.",82113,649
11,시로가네 스타일,"동방 양식의 중형 주택용 건축 스타일.
사계절의 변화에 적합하도록 고안했다.",82114,650
12,시로가네 스타일,"동방 양식의 대형 주택용 건축 스타일.
사계절의 변화에 적합하도록 고안했다.",82115,651
13,지고천 거리 스타일,"커르다스 양식의 소형 주택용 건축 스타일.
매서운 추위를 견딜 수 있는 주택 기능이 구비되어 있다.",82110,980
14,지고천 거리 스타일,"커르다스 양식의 중형 주택용 건축 스타일.
매서운 추위를 견딜 수 있는 주택 기능이 구비되어 있다.",82111,981
15,지고천 거리 스타일,"커르다스 양식의 대형 주택용 건축 스타일.
매서운 추위를 견딜 수 있는 주택 기능이 구비되어 있다.",82112,982
16,깔끔한 스타일,"소형 주택용 깔끔한 내장 스타일.
특수한 건축 기법으로 기둥과 대들보를 줄여 깔끔한 느낌을 실현했다.",82116,1249
17,깔끔한 스타일,"중형 주택용 깔끔한 내장 스타일.
특수한 건축 기법으로 기둥과 대들보를 줄여 깔끔한 느낌을 실현했다.",82117,1250
18,깔끔한 스타일,"대형 주택용 깔끔한 내장 스타일.
특수한 건축 기법으로 기둥과 대들보를 줄여 깔끔한 느낌을 실현했다.",82118,1251
