#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
0,없음,196001,196251,1,0,0,0,0,0,0,0,0,0
1,반투명: 검은색,196002,196252,1,0,0,0,3,1,0,0,0,1
2,그라데이션: 회색,196003,196253,1,0,0,0,1,1,0,0,0,1
3,그라데이션: 보라색,196004,196254,1,0,0,0,2,1,0,0,0,1
4,상아색,196005,196255,1,0,0,0,5,2,0,0,0,1
5,창,196006,196256,1,0,0,0,9,1,0,0,0,1
6,고전 틀,196007,196257,1,0,0,0,10,1,0,0,0,1
7,나무조각,196008,196258,1,0,0,0,7,2,0,0,0,1
8,반투명: 남색,196009,196259,1,0,0,0,4,1,0,0,0,1
9,나무판,196010,196260,1,0,0,0,6,1,0,0,0,1
10,두루마리,196011,196261,1,0,0,0,8,1,0,0,0,1
11,절 바하무트 토벌전,196101,0,319,0,0,0,2500,1,0,0,0,4
12,절 알테마 웨폰 토벌전,196102,0,320,0,0,0,2501,1,0,0,0,4
13,절 알렉산더 토벌전,196103,0,321,0,0,0,2502,1,0,0,0,4
14,절 용시전쟁,196104,0,322,0,0,0,2503,1,0,0,0,4
15,오미크론족 '라스트 렘넌트',196216,196466,344,0,0,0,2315,1,0,0,0,3
16,음악,196012,196262,347,0,0,0,22,1,0,0,0,7
17,동방풍,196013,196263,1,0,0,0,23,1,0,0,0,1
18,마스킹 테이프: 림사 로민사,196014,196264,346,0,0,0,1000,1,0,0,0,9
19,마스킹 테이프: 그리다니아,196015,196265,346,0,0,0,1001,1,0,0,0,9
20,마스킹 테이프: 울다하,196016,196266,346,0,0,0,1002,1,0,0,0,9
21,픽시족 '꿈나라 요정',196212,196462,429,0,0,0,2311,1,0,0,0,3
22,키타리족 '루리 발굴대',196213,196463,430,0,0,0,2312,1,0,0,0,3
23,드워프족 '와츠의 망치 작업장',196214,196464,431,0,0,0,2313,1,0,0,0,3
24,아르카소다라족 '하마운송',196215,196465,432,0,0,0,2314,1,0,0,0,3
25,레포릿족 '꿈꾸는 체험관',196217,196467,433,0,0,0,2316,1,0,0,0,3
26,절 오메가 검증전,196105,0,434,0,0,0,2504,1,0,0,0,4
27,코우진족 '푸른등 보물찾기단',196210,196460,524,0,0,0,2308,1,0,0,0,3
28,아난타족 '아르파 국경경비대',196209,196459,525,0,0,0,2309,2,0,0,0,3
29,나마즈오족 '큰메기 대제전 실행위원회',196211,196461,526,0,0,0,2310,1,0,0,0,3
30,10주년 기념,196106,0,523,0,0,0,3950,1,0,0,0,7
31,세계를 낚는 자,196107,0,529,0,0,0,2346,1,0,0,0,8
32,강태공이 되는 길,196108,0,530,0,0,0,2347,1,0,0,0,8
33,월하의 작패꾼,196109,196351,531,0,0,0,2350,1,0,0,0,8
34,바누바누족 '유려한 군두',196206,196456,567,0,0,0,2305,1,0,0,0,3
35,그나스족 '끊어진 자들',196207,196457,568,0,0,0,2306,1,0,0,0,3
36,모그리족 '모그모그 복원단',196208,196458,569,0,0,0,2307,1,0,0,0,3
37,에오르제아의 신화,196113,0,572,0,0,0,2252,1,0,0,0,3
38,타타루의 대박 상점,196112,0,573,0,0,0,2250,1,0,0,0,3
39,쿠로의 공상 수첩,196110,0,570,0,0,0,2351,2,0,0,0,8
40,총당님의 환상반,196111,0,571,0,0,0,2352,1,0,0,0,8
41,블런더빌 1,196114,0,575,0,0,0,3951,1,0,0,0,7
42,블런더빌 2,196115,0,576,0,0,0,3952,1,0,0,0,7
43,블런더빌 3,196116,0,577,0,0,0,3953,1,0,0,0,7
44,요괴워치 뿌니뿌니,196117,0,607,0,0,0,3954,1,0,0,0,7
45,코볼드족 '제789땅굴단',196204,196454,694,0,0,0,2302,1,0,0,0,3
46,실프족 '임시 주거지 실프',196202,196452,695,0,0,0,2301,1,0,0,0,3
47,아말쟈족 '잿빛 일당',196201,196451,696,0,0,0,2300,1,0,0,0,3
48,사하긴족 '노부 일족',196205,196455,697,0,0,0,2303,2,0,0,0,3
49,이크살족 '에카틀 비행단',196203,196453,698,0,0,0,2304,1,0,0,0,3
50,툴라이욜라 1,196062,0,701,0,0,0,1036,1,0,0,0,9
51,툴라이욜라 2,196063,0,702,0,0,0,1037,1,0,0,0,9
52,솔루션 나인 1,196064,0,699,0,0,0,1038,1,0,0,0,9
53,솔루션 나인 2,196065,0,700,0,0,0,1039,2,0,0,0,9
54,펠루펠루족 '투랄 여행사',196218,196468,767,0,0,0,2317,1,0,0,0,3
55,이슈가르드 1,196054,0,768,0,0,0,1020,1,0,0,0,9
56,이슈가르드 2,196072,0,769,0,0,0,1021,1,0,0,0,9
57,이딜샤이어 1,196055,0,770,0,0,0,1022,2,0,0,0,9
58,이딜샤이어 2,196073,0,771,0,0,0,1023,1,0,0,0,9
59,쿠가네 1,196056,0,772,0,0,0,1024,1,0,0,0,9
60,쿠가네 2,196068,0,773,0,0,0,1025,2,0,0,0,9
61,랄거의 손길 1,196057,0,774,0,0,0,1026,1,0,0,0,9
62,랄거의 손길 2,196069,0,775,0,0,0,1027,1,0,0,0,9
63,크리스타리움 1,196058,0,776,0,0,0,1028,1,0,0,0,9
64,크리스타리움 2,196070,0,777,0,0,0,1029,1,0,0,0,9
65,율모어 1,196059,0,778,0,0,0,1030,1,0,0,0,9
66,율모어 2,196071,0,779,0,0,0,1031,1,0,0,0,9
67,올드 샬레이안 1,196060,0,780,0,0,0,1032,1,0,0,0,9
68,올드 샬레이안 2,196066,0,781,0,0,0,1033,2,0,0,0,9
69,라자한 1,196061,0,782,0,0,0,1034,1,0,0,0,9
70,라자한 2,196067,0,783,0,0,0,1035,1,0,0,0,9
71,절 또 하나의 미래,196118,0,872,0,0,0,2505,1,0,0,0,4
72,마무쟈족 '고크골마 농원',196219,196469,873,0,0,0,2318,1,0,0,0,3
73,초승달 섬,196119,0,879,0,0,0,2403,1,0,0,0,4
74,우주 개척 1,196120,0,878,0,0,0,2343,1,0,0,0,8
75,Monster Hunter Wilds 1,196121,0,943,0,0,0,3955,1,0,0,0,7
76,Monster Hunter Wilds 2,196122,0,944,0,0,0,3956,1,0,0,0,7
77,요카후이족 '지고테 제단 복구단',196220,196470,938,0,0,0,2319,1,0,0,0,3
78,우주 개척 2,196123,0,940,0,0,0,2344,1,0,0,0,8
79,무인도 개척 3,196124,196352,939,0,0,0,2342,1,0,0,0,8
80,우주 개척 3,196125,0,1020,0,0,0,2345,1,0,0,0,8
81,깔끔한 스타일 1,196017,0,1044,0,0,0,24,2,0,0,0,7
82,깔끔한 스타일 2,196018,0,1045,0,0,0,25,2,0,0,0,7
83,깔끔한 스타일 3,196019,0,1046,0,0,0,26,2,0,0,0,7
84,깔끔한 스타일 4,196020,0,1047,0,0,0,27,2,0,0,0,7
85,깔끔한 스타일 5,196021,0,1048,0,0,0,28,2,0,0,0,7
86,깔끔한 스타일 6,196022,0,1049,0,0,0,29,2,0,0,0,7
87,깔끔한 스타일 7,196023,0,1050,0,0,0,30,2,0,0,0,7
88,깔끔한 스타일 8,196024,0,1051,0,0,0,31,2,0,0,0,7
89,,0,0,0,0,0,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,0
