#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Countability,Pronoun,Article,ModelMain,ModelSub,DamagePhys,DamageMag,Delayms,BlockRate,Block,DefensePhys,DefenseMag,BaseParamValue[0],BaseParamValue[1],BaseParamValue[2],BaseParamValue[3],BaseParamValue[4],BaseParamValue[5],BaseParamValueSpecial[0],BaseParamValueSpecial[1],BaseParamValueSpecial[2],BaseParamValueSpecial[3],BaseParamValueSpecial[4],BaseParamValueSpecial[5],LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ClassJobUse,DamagePhysType,DefaultActionRange,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],BaseParam[4],BaseParam[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamSpecial[1],BaseParamSpecial[2],BaseParamSpecial[3],BaseParamSpecial[4],BaseParamSpecial[5],MaterializeType,MateriaSlotCount,SubStatCategory,IsAdvancedMeldingPermitted,IsPvP,IsGlamorous,AdditionalData,StackSize,PriceMid,PriceLow,ItemRepair,ItemGlamour,Icon,LevelItem,SubcategorySort,ItemAction,Cooldowns,Desynth,AetherialReduce,Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,DyeCount,CastTimeSeconds,ClassJobRepair,IsUnique,IsUntradable,IsIndisposable,Lot,CanBeHq,IsCrestWorthy,IsCollectable,AlwaysCollectable
0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,False,False,False,False,False,False,False,False
1,길,,,길,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,999999999,0,0,0,0,65002,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
2,불 샤드,,불의 성질을 전달하는 작은 결정.,불 샤드,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20001,1,10010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
3,얼음 샤드,,얼음의 성질을 전달하는 작은 결정.,얼음 샤드,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20003,1,10020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
4,바람 샤드,,바람의 성질을 전달하는 작은 결정.,바람 샤드,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20004,1,10030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
5,땅 샤드,,땅의 성질을 전달하는 작은 결정.,땅 샤드,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20006,1,10040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
6,번개 샤드,,번개의 성질을 전달하는 작은 결정.,번개 샤드,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20005,1,10050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
7,물 샤드,,물의 성질을 전달하는 작은 결정.,물 샤드,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20002,1,10060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
8,불 크리스탈,,불의 성질을 전달하는 결정.,불 크리스탈,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20007,25,20010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
9,얼음 크리스탈,,얼음의 성질을 전달하는 결정.,얼음 크리스탈,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20009,25,20020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
10,바람 크리스탈,,바람의 성질을 전달하는 결정.,바람 크리스탈,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20010,25,20030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
11,땅 크리스탈,,땅의 성질을 전달하는 결정.,땅 크리스탈,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20012,25,20040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
12,번개 크리스탈,,번개의 성질을 전달하는 결정.,번개 크리스탈,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20011,25,20050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
13,물 크리스탈,,물의 성질을 전달하는 결정.,물 크리스탈,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20008,25,20060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
14,불 클러스터,,불의 성질을 전달하는 가지 뻗은 결정.,불 클러스터,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20013,50,30010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
