key,0,1,2,3,4
#,,,,,
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"방비 효과 향상","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>방비<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 받는 피해량 감소 효과량이 90%로 증가합니다."
2,1,5,82202,"기도 효과 향상","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>기도<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 회복력이 5000으로 증가합니다."
3,2,3,82203,"날뛰기 효과 향상","15초 동안 자신에게 <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>육참골단<UIGlow>01</UIGlow><UIForeground>01</UIForeground>이 부여됩니다.
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>육참골단<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 효과 중에 받은 피해량에 비례해 <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>일격<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 위력이 증가합니다."
4,3,4,82204,"날아차기 효과 향상","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>날아차기<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 주는 피해량 증가 효과량이 7%로 증가합니다."
5,3,6,82205,"날아차기 효과 향상 2","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>날아차기<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 주는 피해량 증가 효과량이 9%로 증가합니다."
6,4,3,82206,"노리기 효과 향상","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>노리기<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 극대화 발동률과 직격 발동률이 30%로 증가하고, 공격이 반드시 명중합니다."
7,4,5,82207,"노리기 효과 향상 2","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>노리기<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 극대화 발동률과 직격 발동률이 50%로 증가하고, 공격이 반드시 명중합니다."
8,5,5,82208,"거합도 효과 향상","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>거합도<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 위력이 500으로, 즉사 확률이 10%로 증가합니다."
9,6,2,82209,"노래 효과 향상","서포트 음유시인 레벨에 따라 노래 효과가 향상됩니다."
10,12,6,82212,"자물쇠 풀기","던전 안에 있는 잠긴 문을 열 수 있게 됩니다."
11,9,5,82211,"대포 공격 효과 향상","대포 공격 실행 시 5% 확률로 일부 대상을 즉사시킵니다."
12,7,5,82210,"종 효과 향상","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>전투의 종<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 1중첩당 주는 피해량이 5%로 증가하고,
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>휴식의 종<UIGlow>01</UIGlow><UIForeground>01</UIForeground>의 회복력이 3000으로 향상됩니다."
13,16,5,82213,"선공격","전투 상태에 들어가면 자신에게 25초 동안 <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>선공격<UIGlow>01</UIGlow><UIForeground>01</UIForeground>을 부여합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>선공격<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어듭니다."
14,19,4,82214,"마기 점프 효과 향상","마기 점프의 위력이 500으로 증가하고, 받는 피해량 감소 효과량이 90%가 됩니다."
15,21,1,82215,"마기 체득 1","마기 미사일, 마기 물의 숨결을 체득할 수 있게 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>마기 미사일<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 일부 대상에게 35% 확률로 현재 HP의 75%만큼 피해를 줍니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>마기 물의 숨결<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 대상과 그 주위 적에게 무속성 범위 마법 공격을 가합니다."
16,21,2,82216,"마기 체득 2","마기 에어로라, 마기 강력 방어를 체득할 수 있게 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>마기 에어로라<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 대상에게 바람속성 마법 공격을 가합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>마기 강력 방어<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 일정 시간 동안 자신과 주위 파티원이 받는 피해량이 20% 감소합니다."
17,21,3,82217,"마기 체득 3","마기 하얀 바람을 체득할 수 있게 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>마기 하얀 바람<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 자신과 주위 파티원의 HP를 자신의 현재 HP만큼 회복합니다.
또한, 마기 에어로라를 습득한 경우, 마기 에어로가를 체득할 수 있게 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>마기 에어로가<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 대상과 그 주위 적에게 바람속성 범위 마법 공격을 가합니다."
18,22,6,82218,"연속 마법 시전","시전 시간이 있는 마법을 사용한 후 15초 동안은 다음 1회의 마법을 시전 시간 없이 사용할 수 있습니다.
지속시간 중에 자동 공격과 능력 이외의 기술을 사용하면 연속 마법 효과가 사라집니다."
19,0,24,82219,"임기응변","직업 변경 불가 상태 및 전투 상태에서도 서포트 잡을 변경할 수 있게 됩니다."
