#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,신체능력 +UNKNOWN%,10,10,15,15,20,100,100,100,100,100
2,정신력 +UNKNOWN%,10,10,15,15,20,100,100,100,100,100
3,전술 숙련도 +UNKNOWN%,10,10,15,15,20,100,100,100,100,100
4,파티원의 신체능력 +UNKNOWN%,3,3,3,3,5,100,100,100,100,100
5,파티원의 정신력 +UNKNOWN%,3,3,3,3,5,100,100,100,100,100
6,파티원의 전술 숙련도 +UNKNOWN%,3,3,3,3,5,100,100,100,100,100
7,획득 경험치 +UNKNOWN%,10,10,20,20,30,100,100,100,100,100
8,파티원의 획득 경험치 +UNKNOWN%,5,5,10,10,15,100,100,100,100,100
9,파티원의 행운의 법칙 획득률 +UNKNOWN%,10,20,30,40,50,100,100,100,100,100
10,UNKNOWN% 확률로 '전투기술 교본: 방어' 입수,0,0,0,0,0,10,20,30,40,50
11,UNKNOWN% 확률로 '전투기술 교본: 마법' 입수,0,0,0,0,0,10,20,30,40,50
12,UNKNOWN% 확률로 '전투기술 교본: 공격' 입수,0,0,0,0,0,10,20,30,40,50
13,UNKNOWN% 확률로 길 입수,0,0,0,0,0,10,20,30,40,50
14,UNKNOWN% 확률로 군표 입수,0,0,0,0,0,10,20,30,40,50
15,UNKNOWN% 확률로 MGP 입수,0,0,0,0,0,10,20,30,40,50
16,UNKNOWN% 확률로 방어용 마테리아 입수,0,0,0,0,0,10,20,30,40,50
17,UNKNOWN% 확률로 물리 공격용 마테리아 입수,0,0,0,0,0,10,20,30,40,50
18,UNKNOWN% 확률로 마법사용 마테리아 입수,0,0,0,0,0,10,20,30,40,50
19,UNKNOWN% 확률로 채집가용 마테리아 입수,0,0,0,0,0,10,20,30,40,50
20,UNKNOWN% 확률로 제작자용 마테리아 입수,0,0,0,0,0,10,20,30,40,50
21,UNKNOWN% 확률로 클러스터 입수,0,0,0,0,0,10,20,30,40,50
22,UNKNOWN% 확률로 채집가용 화폐 입수,0,0,0,0,0,10,20,30,40,50
23,UNKNOWN% 확률로 제작자용 화폐 입수,0,0,0,0,0,10,20,30,40,50
