#,Name,Icon,OrderMinor,OrderMajor
0,,0,0,0
1,격투무기,60101,6,1
2,한손검,60102,0,1
3,양손도끼,60103,1,1
4,활,60105,10,1
5,양손창,60104,4,1
6,한손 주술도구,60108,13,1
7,양손 주술도구,60108,14,1
8,한손 환술도구,60107,19,1
9,양손 환술도구,60107,20,1
10,마도서,60109,15,1
11,방패,60110,0,3
12,목수 주 도구,60112,0,2
13,목수 보조 도구,60112,1,2
14,대장장이 주 도구,60113,2,2
15,대장장이 보조 도구,60113,3,2
16,갑주제작사 주 도구,60114,4,2
17,갑주제작사 보조 도구,60114,5,2
18,보석공예가 주 도구,60115,6,2
19,보석공예가 보조 도구,60115,7,2
20,가죽공예가 주 도구,60116,8,2
21,가죽공예가 보조 도구,60116,9,2
22,재봉사 주 도구,60117,10,2
23,재봉사 보조 도구,60117,11,2
24,연금술사 주 도구,60118,12,2
25,연금술사 보조 도구,60118,13,2
26,요리사 주 도구,60119,14,2
27,요리사 보조 도구,60119,15,2
28,광부 주 도구,60120,16,2
29,광부 보조 도구,60120,17,2
30,원예가 주 도구,60121,18,2
31,원예가 보조 도구,60121,19,2
32,어부 주 도구,60122,20,2
33,낚시용 미끼,60123,29,7
34,머리 방어구,60124,1,3
35,몸통 방어구,60126,2,3
36,다리 방어구,60128,5,3
37,손 방어구,60129,3,3
38,발 방어구,60130,6,3
39,사용 불가 아이템,60131,254,7
40,목걸이,60132,1,4
41,귀걸이,60133,0,4
42,팔찌,60134,2,4
43,반지,60135,3,4
44,약품,60136,0,5
45,식재료,60137,0,6
46,요리,60146,1,5
47,수산물,60138,1,6
48,석재,60139,2,6
49,금속재,60140,3,6
50,목재,60141,4,6
51,옷감,60142,5,6
52,가죽재,60143,6,6
53,골재,60144,7,6
54,연금재,60145,8,6
55,염료,60147,10,6
56,부품,60148,9,6
57,가구,60164,20,7
58,마테리아,60150,0,7
59,크리스탈,60151,1,7
60,촉매,60152,2,7
61,잡화,60153,3,7
62,소울 크리스탈,60157,4,4
63,기타,60159,6,7
64,건축 허가증,60160,7,7
65,외장 건축재(지붕),60160,8,7
66,외장 건축재(외벽),60160,9,7
67,외장 건축재(창문),60160,10,7
68,외장 건축재(문),60160,11,7
69,외장 건축재(지붕 장식),60160,12,7
70,외장 건축재(외벽 장식),60160,13,7
71,외장 건축재(간판),60160,14,7
72,외장 건축재(울타리),60160,15,7
73,내장 건축재(내벽),60161,16,7
74,내장 건축재(바닥),60161,17,7
75,내장 건축재(천장 조명),60161,18,7
76,조경물,60168,19,7
77,소품(받침대),60162,21,7
78,소품(탁상),60163,22,7
79,소품(벽걸이),60166,23,7
80,소품(깔개),60167,24,7
81,꼬마 친구,60155,5,7
82,재배용품,60153,25,7
83,데미마테리아,60150,26,7
84,쌍검,60106,8,1
85,잡화(이벤트),60154,4,7
86,트리플 트라이어드 카드,60156,27,7
87,양손검,60170,2,1
88,총,60172,11,1
89,천구의,60171,22,1
90,비공정 부품(선체),60169,11,6
91,비공정 부품(의장),60169,12,6
92,비공정 부품(선미),60169,14,6
93,비공정 부품(선수),60169,13,6
94,오케스트리온 악보,60173,28,7
95,그림,60175,29,7
96,외날검,60177,7,1
97,세검,60176,16,1
98,학자용 마도서,60178,21,1
99,어부 보조 도구,60122,21,2
100,화폐,60179,255,7
101,잠수함 부품(함체),60169,15,6
102,잠수함 부품(함미),60169,16,6
103,잠수함 부품(함수),60169,17,6
104,잠수함 부품(함교),60169,18,6
105,청마기,60180,18,1
106,건블레이드,60181,3,1
107,투척무기,60182,12,1
108,양손낫,60183,5,1
109,현학도구,60184,23,1
110,쌍송곳니,60187,9,1
111,붓,60188,17,1
112,세트 의상,60159,253,7
