#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
10001,검술사 01,75,1,0,0,0,3,0,0,0
10002,검술사 02,180,206,0,0,0,3,0,0,0
10003,검술사 03,360,208,0,0,0,3,0,0,0
10004,검술사 04,410,209,0,0,0,3,0,0,0
10005,검술사 05,530,211,0,0,0,3,0,0,0
10006,검술사 06,980,213,0,0,0,3,0,0,0
10007,검술사 07,1100,210,0,0,0,3,0,0,0
10008,검술사 08,1300,217,0,0,0,3,0,0,0
10009,검술사 09,1600,220,0,0,0,3,0,0,0
10010,검술사 10,1700,223,224,0,0,3,3,0,0
10011,검술사 11,2300,228,229,0,0,3,3,0,0
10012,검술사 12,3200,227,0,0,0,3,0,0,0
10013,검술사 13,4000,230,0,0,0,3,0,0,0
10014,검술사 14,4500,232,0,0,0,3,0,0,0
10015,검술사 15,5000,234,0,0,0,3,0,0,0
10016,검술사 16,5300,235,0,0,0,3,0,0,0
10017,검술사 17,5500,237,0,0,0,3,0,0,0
10018,검술사 18,5700,240,0,0,0,3,0,0,0
10019,검술사 19,5900,238,0,0,0,3,0,0,0
10020,검술사 20,6100,242,244,0,0,3,3,0,0
10021,검술사 21,6300,32,137,0,0,4,3,0,0
10022,검술사 22,6500,245,0,0,0,4,0,0,0
10023,검술사 23,6700,138,0,0,0,4,0,0,0
10024,검술사 24,6900,34,0,0,0,4,0,0,0
10025,검술사 25,7100,150,0,0,0,4,0,0,0
10026,검술사 26,7600,252,0,0,0,4,0,0,0
10027,검술사 27,8600,255,0,0,0,4,0,0,0
10028,검술사 28,9400,158,0,0,0,4,0,0,0
10029,검술사 29,9700,161,0,0,0,4,0,0,0
10030,검술사 30,10000,37,38,0,0,4,3,0,0
10031,검술사 31,11000,165,42,0,0,4,3,0,0
10032,검술사 32,12000,39,166,0,0,4,3,0,0
10033,검술사 33,12500,265,0,0,0,4,0,0,0
10034,검술사 34,13000,171,0,0,0,4,0,0,0
10035,검술사 35,13500,64,0,0,0,4,0,0,0
10036,검술사 36,14000,271,0,0,0,4,0,0,0
10037,검술사 37,14500,294,0,0,0,4,0,0,0
10038,검술사 38,15000,176,0,0,0,4,0,0,0
10039,검술사 39,16000,301,0,0,0,4,0,0,0
10040,검술사 40,16500,306,66,0,0,4,3,0,0
10041,검술사 41,17000,67,72,0,0,5,2,0,0
10042,검술사 42,17500,179,184,0,0,5,2,0,0
10043,검술사 43,18000,73,187,0,0,5,2,0,0
10044,검술사 44,18500,319,0,0,0,5,0,0,0
10045,검술사 45,19000,311,0,0,0,5,0,0,0
10046,검술사 46,19500,313,0,0,0,3,0,0,0
10047,검술사 47,20000,280,0,0,0,5,0,0,0
10048,검술사 48,20500,200,0,0,0,5,0,0,0
10049,검술사 49,21000,290,0,0,0,5,0,0,0
10050,검술사 50,21500,332,90,0,0,5,5,0,0
20001,격투사 01,75,207,0,0,0,4,0,0,0
20002,격투사 02,180,206,0,0,0,4,0,0,0
20003,격투사 03,360,208,0,0,0,4,0,0,0
20004,격투사 04,410,209,0,0,0,4,0,0,0
20005,격투사 05,530,214,0,0,0,4,0,0,0
20006,격투사 06,980,9,0,0,0,4,0,0,0
20007,격투사 07,1100,217,0,0,0,4,0,0,0
20008,격투사 08,1300,218,0,0,0,4,0,0,0
20009,격투사 09,1600,219,0,0,0,4,0,0,0
20010,격투사 10,1700,225,226,222,0,2,2,2,0
20011,격투사 11,2300,228,0,0,0,4,0,0,0
20012,격투사 12,3200,227,0,0,0,4,0,0,0
20013,격투사 13,4000,233,0,0,0,4,0,0,0
20014,격투사 14,4500,232,0,0,0,4,0,0,0
20015,격투사 15,5000,115,234,235,0,2,2,2,0
20016,격투사 16,5300,237,0,0,0,4,0,0,0
20017,격투사 17,5500,241,0,0,0,4,0,0,0
20018,격투사 18,5700,239,0,0,0,4,0,0,0
20019,격투사 19,5900,238,0,0,0,4,0,0,0
20020,격투사 20,6100,243,242,244,0,2,2,2,0
20021,격투사 21,6300,134,0,0,0,5,0,0,0
20022,격투사 22,6500,136,0,0,0,5,0,0,0
20023,격투사 23,6700,33,0,0,0,5,0,0,0
20024,격투사 24,6900,34,0,0,0,5,0,0,0
20025,격투사 25,7100,139,149,258,0,3,3,3,0
20026,격투사 26,7600,157,0,0,0,5,0,0,0
20027,격투사 27,8600,260,0,0,0,5,0,0,0
20028,격투사 28,9400,156,0,0,0,5,0,0,0
20029,격투사 29,9700,160,0,0,0,5,0,0,0
20030,격투사 30,10000,37,169,167,0,3,3,3,0
20031,격투사 31,11000,41,0,0,0,5,0,0,0
20032,격투사 32,12000,264,0,0,0,5,0,0,0
20033,격투사 33,12500,269,0,0,0,5,0,0,0
20034,격투사 34,13000,171,0,0,0,5,0,0,0
20035,격투사 35,13500,51,56,58,0,3,3,3,0
20036,격투사 36,14000,64,0,0,0,5,0,0,0
20037,격투사 37,14500,296,0,0,0,5,0,0,0
20038,격투사 38,15000,298,0,0,0,5,0,0,0
20039,격투사 39,16000,300,0,0,0,5,0,0,0
20040,격투사 40,16500,303,177,178,0,3,3,3,0
20041,격투사 41,17000,275,0,0,0,6,0,0,0
20042,격투사 42,17500,73,0,0,0,6,0,0,0
20043,격투사 43,18000,189,0,0,0,2,0,0,0
20044,격투사 44,18500,190,0,0,0,6,0,0,0
20045,격투사 45,19000,334,309,317,0,3,3,3,0
20046,격투사 46,19500,312,0,0,0,6,0,0,0
20047,격투사 47,20000,321,0,0,0,6,0,0,0
20048,격투사 48,20500,193,0,0,0,6,0,0,0
20049,격투사 49,21000,326,0,0,0,6,0,0,0
20050,격투사 50,21500,282,290,88,0,3,3,4,0
30001,도끼술사 01,75,1,0,0,0,3,0,0,0
30002,도끼술사 02,180,2,0,0,0,3,0,0,0
30003,도끼술사 03,360,3,0,0,0,3,0,0,0
30004,도끼술사 04,410,7,0,0,0,3,0,0,0
30005,도끼술사 05,530,6,0,0,0,3,0,0,0
30006,도끼술사 06,980,8,0,0,0,3,0,0,0
30007,도끼술사 07,1100,11,0,0,0,3,0,0,0
30008,도끼술사 08,1300,12,0,0,0,3,0,0,0
30009,도끼술사 09,1600,15,0,0,0,3,0,0,0
30010,도끼술사 10,1700,17,0,0,0,3,0,0,0
30011,도끼술사 11,2300,18,0,0,0,4,0,0,0
30012,도끼술사 12,3200,20,0,0,0,4,0,0,0
30013,도끼술사 13,4000,21,0,0,0,4,0,0,0
30014,도끼술사 14,4500,22,0,0,0,4,0,0,0
30015,도끼술사 15,5000,23,0,0,0,4,0,0,0
30016,도끼술사 16,5300,24,0,0,0,4,0,0,0
30017,도끼술사 17,5500,25,26,27,0,4,3,2,0
30018,도끼술사 18,5700,29,0,0,0,4,0,0,0
30019,도끼술사 19,5900,28,0,0,0,4,0,0,0
30020,도끼술사 20,6100,30,0,0,0,4,0,0,0
30021,도끼술사 21,6300,32,0,0,0,4,0,0,0
30022,도끼술사 22,6500,135,0,0,0,4,0,0,0
30023,도끼술사 23,6700,246,0,0,0,4,0,0,0
30024,도끼술사 24,6900,145,0,0,0,4,0,0,0
30025,도끼술사 25,7100,149,0,0,0,4,0,0,0
30026,도끼술사 26,7600,252,0,0,0,4,0,0,0
30027,도끼술사 27,8600,150,251,257,0,4,3,2,0
30028,도끼술사 28,9400,256,0,0,0,4,0,0,0
30029,도끼술사 29,9700,159,0,0,0,4,0,0,0
30030,도끼술사 30,10000,165,0,0,0,4,0,0,0
30031,도끼술사 31,11000,168,0,0,0,4,0,0,0
30032,도끼술사 32,12000,166,269,48,0,4,3,2,0
30033,도끼술사 33,12500,46,0,0,0,4,0,0,0
30034,도끼술사 34,13000,52,0,0,0,4,0,0,0
30035,도끼술사 35,13500,56,0,0,0,4,0,0,0
30036,도끼술사 36,14000,294,0,0,0,4,0,0,0
30037,도끼술사 37,14500,297,296,300,0,4,3,2,0
30038,도끼술사 38,15000,302,0,0,0,4,0,0,0
30039,도끼술사 39,16000,303,0,0,0,4,0,0,0
30040,도끼술사 40,16500,66,0,0,0,4,0,0,0
30041,도끼술사 41,17000,178,0,0,0,5,0,0,0
30042,도끼술사 42,17500,275,73,187,0,5,3,2,0
30043,도끼술사 43,18000,186,0,0,0,1,0,0,0
30044,도끼술사 44,18500,190,0,0,0,5,0,0,0
30045,도끼술사 45,19000,309,0,0,0,5,0,0,0
30046,도끼술사 46,19500,322,0,0,0,5,0,0,0
30047,도끼술사 47,20000,78,192,278,0,5,3,2,0
30048,도끼술사 48,20500,202,0,0,0,5,0,0,0
30049,도끼술사 49,21000,283,0,0,0,5,0,0,0
30050,도끼술사 50,21500,93,0,0,0,5,0,0,0
40001,창술사 01,75,1,0,0,0,3,0,0,0
40002,창술사 02,180,95,0,0,0,3,0,0,0
40003,창술사 03,360,96,0,0,0,3,0,0,0
40004,창술사 04,410,97,0,0,0,3,0,0,0
40005,창술사 05,530,100,0,0,0,3,0,0,0
40006,창술사 06,980,102,0,0,0,3,0,0,0
40007,창술사 07,1100,103,104,0,0,3,3,0,0
40008,창술사 08,1300,105,0,0,0,3,0,0,0
40009,창술사 09,1600,108,111,0,0,3,3,0,0
40010,창술사 10,1700,109,0,0,0,3,0,0,0
40011,창술사 11,2300,115,0,0,0,3,0,0,0
40012,창술사 12,3200,116,0,0,0,3,0,0,0
40013,창술사 13,4000,118,0,0,0,3,0,0,0
40014,창술사 14,4500,119,0,0,0,3,0,0,0
40015,창술사 15,5000,120,121,0,0,3,3,0,0
40016,창술사 16,5300,122,0,0,0,3,0,0,0
40017,창술사 17,5500,123,126,0,0,3,3,0,0
40018,창술사 18,5700,132,0,0,0,3,0,0,0
40019,창술사 19,5900,130,131,0,0,3,3,0,0
40020,창술사 20,6100,133,0,0,0,3,0,0,0
40021,창술사 21,6300,32,0,0,0,4,0,0,0
40022,창술사 22,6500,136,0,0,0,4,0,0,0
40023,창술사 23,6700,246,0,0,0,4,0,0,0
40024,창술사 24,6900,147,0,0,0,4,0,0,0
40025,창술사 25,7100,248,151,0,0,3,4,0,0
40026,창술사 26,7600,252,0,0,0,4,0,0,0
40027,창술사 27,8600,257,158,0,0,4,3,0,0
40028,창술사 28,9400,261,0,0,0,4,0,0,0
40029,창술사 29,9700,162,37,0,0,4,3,0,0
40030,창술사 30,10000,164,0,0,0,4,0,0,0
40031,창술사 31,11000,165,0,0,0,4,0,0,0
40032,창술사 32,12000,40,0,0,0,4,0,0,0
40033,창술사 33,12500,268,269,0,0,4,3,0,0
