#,Name,Icon,UnlockLink,TextCommand,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],Order,LogMessageTargeted,LogMessageUntargeted,Patch,EmoteCategory,EmoteMode,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,HasCancelEmote,DrawsWeapon,Unknown6
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,True,False,False,False,False,False
1,놀라기,246201,0,402,689,0,674,674,674,0,0,5016,100,200,1,1,0,True,True,True,False,True,False,False,False
2,불만 표시,246202,0,403,690,0,639,639,639,0,0,5010,101,201,1,1,0,True,True,True,False,True,False,False,False
3,화내기,246203,0,404,691,0,664,664,664,0,0,5003,102,202,1,1,0,True,True,True,False,True,False,False,False
4,수줍어하기,246204,0,405,693,0,0,0,0,0,0,1006,103,203,1,1,0,False,False,False,False,True,False,False,False
5,공손하게 인사,246205,0,406,694,0,0,0,0,0,0,1,104,204,1,1,0,False,False,False,False,True,False,False,False
6,응원,246206,0,407,695,0,675,675,675,0,0,2004,105,205,1,1,0,True,True,True,False,True,False,False,False
7,박수,246207,0,408,696,0,656,645,676,0,0,2002,106,206,1,1,0,True,True,True,False,True,False,False,False
8,손짓,246208,0,409,697,0,0,0,0,0,0,5101,107,207,1,1,0,False,False,False,False,True,False,False,False
9,위로,246209,0,410,698,0,677,677,677,0,0,1007,108,208,1,1,0,True,True,True,False,True,False,False,False
10,엉엉 울기,246210,0,411,699,0,678,678,678,0,0,5002,109,209,1,1,0,True,True,True,False,True,False,False,False
11,춤추기,246211,0,412,700,0,0,0,0,0,0,1040,110,210,1,1,0,False,False,False,False,True,False,False,False
12,추궁,246212,0,413,702,0,0,0,0,0,0,5018,111,211,1,1,0,False,False,False,False,True,False,False,False
13,꾸벅꾸벅 졸기,246213,0,414,703,0,657,646,679,0,0,5107,112,212,1,1,0,True,True,True,False,True,False,False,False
14,분개,246214,0,415,704,0,0,0,0,0,0,5004,113,213,1,1,0,False,False,False,False,True,False,False,False
15,작별 인사,246215,0,416,705,0,680,680,680,0,0,6,114,214,1,1,0,True,True,True,False,True,False,False,False
16,손 흔들어 인사,246216,0,417,706,0,663,652,681,0,0,7,115,215,1,1,0,True,True,True,False,True,False,False,False
17,어이없음,246217,0,418,707,0,660,649,682,0,0,5012,116,216,1,1,0,True,True,True,False,True,False,False,False
18,기쁨,246218,0,419,708,0,683,683,683,0,0,1002,117,217,1,1,0,True,True,True,False,True,False,False,False
19,무릎 꿇기,246219,0,420,710,0,0,0,0,0,0,8,118,218,1,1,0,False,False,False,False,True,False,False,False
20,웃기,246220,0,421,711,0,662,651,685,0,0,1000,119,219,1,1,0,True,True,True,False,True,False,False,False
21,폭소,246221,0,422,712,0,638,635,686,0,0,1001,120,220,1,1,0,True,True,True,False,True,False,False,False
22,주위 둘러보기,246222,0,423,713,0,665,665,665,0,0,5111,121,221,1,1,0,True,True,True,False,True,False,False,False
23,자신 가리키기,246223,0,424,715,0,745,745,745,0,0,5113,122,222,1,1,0,True,True,True,False,True,False,False,False
24,고개 젓기,246224,0,425,716,0,666,666,666,0,0,5000,123,223,1,1,0,True,True,True,False,True,False,False,False
25,부정,246225,0,426,717,0,746,746,746,0,0,5001,124,224,1,1,0,True,True,True,False,True,False,False,False
26,당황,246226,0,427,719,0,0,0,0,0,0,5006,125,225,1,1,0,False,False,False,False,True,False,False,False
27,손가락으로 가리키기,246227,0,428,720,0,687,687,687,0,0,5108,126,226,1,1,0,True,True,True,False,True,False,False,False
28,쿡쿡 찌르기,246228,0,429,721,0,748,748,748,0,3185,5109,127,227,1,1,0,True,True,True,False,True,False,False,False
29,칭찬,246229,0,430,723,0,749,749,749,0,0,2003,128,228,1,1,0,True,True,True,False,True,False,False,False
30,힘 불어넣기,246230,0,431,724,0,0,0,0,0,0,1008,129,229,1,1,0,False,False,False,False,True,False,False,False
31,경례,246231,0,432,725,0,750,750,750,0,0,9,130,230,1,1,0,True,True,True,False,True,False,False,False
32,기겁,246232,0,433,729,0,751,751,751,0,0,5013,131,231,1,1,0,True,True,True,False,True,False,False,False
33,어깨 으쓱하기,246233,0,434,730,0,752,752,752,0,0,5014,132,232,1,1,0,True,True,True,False,True,False,False,False
34,격려,246234,0,435,731,0,0,0,0,0,0,1004,133,233,1,1,0,False,False,False,False,True,False,False,False
35,진정시키기,246235,0,436,732,0,753,753,753,0,0,1005,134,234,1,1,0,True,True,True,False,True,False,False,False
36,비틀거리기,246236,0,437,733,0,0,0,0,0,0,5015,135,235,1,1,0,False,False,False,False,True,False,False,False
37,기지개 켜기,246237,0,438,734,0,588,588,588,0,0,5110,136,236,1,1,0,True,True,True,False,True,False,False,False
38,삐치기,246238,0,439,735,0,0,0,0,0,0,5009,137,237,1,1,0,False,False,False,False,True,False,False,False
39,생각에 잠기기,246239,0,440,736,0,589,589,589,0,0,5105,138,238,1,1,0,True,True,True,False,True,False,False,False
40,실망,246240,0,441,737,0,670,590,590,0,0,5007,139,239,1,1,0,True,True,True,False,True,False,False,False
41,환영,246241,0,442,738,0,591,591,591,0,0,4,140,240,1,1,0,True,True,True,False,True,False,False,False
42,고개 끄덕이기,246242,0,443,739,0,671,671,671,0,0,2000,141,241,1,1,0,True,True,True,False,True,False,False,False
43,엄지 세우기,246243,0,444,740,0,592,592,592,0,0,2001,142,242,1,1,0,True,True,True,False,True,False,False,False
44,자기 모습 확인,246244,0,445,714,0,744,744,744,0,0,5106,143,243,1,1,0,True,True,True,False,True,False,False,False
45,멋진 자세 취하기,246245,0,446,722,0,0,0,0,0,0,5050,144,244,1,1,0,False,False,False,False,True,False,False,False
46,손키스 날리기,246249,0,447,692,0,0,0,0,0,0,1020,148,248,1,1,0,False,False,False,False,True,False,False,False
47,무릎 꿇고 사죄,246251,0,448,701,0,0,0,0,0,0,5019,150,250,1,1,0,False,False,False,False,True,False,False,False
48,행복,246252,0,449,709,0,684,684,684,0,0,1003,151,251,1,1,0,True,True,True,False,True,False,False,False
49,좌절,246253,0,450,718,0,668,747,747,0,0,5008,152,252,1,1,0,True,True,True,False,True,False,False,False
50,앉기,246256,0,451,643,642,0,643,0,0,0,13001,0,0,1,2,2,False,False,False,False,False,True,False,False
51,서기,246254,0,0,644,0,0,644,0,0,0,0,0,0,1,2,2,False,False,False,True,False,False,False,False
52,바닥에 앉기,246254,0,453,654,653,654,0,0,0,0,13002,0,0,1,2,1,False,False,False,False,False,True,False,False
53,서기,246254,0,0,655,0,655,0,0,0,0,0,0,0,1,2,1,False,False,False,True,False,False,False,False
54,강조,246263,0,455,688,0,673,673,673,0,0,5112,0,0,1,1,0,True,True,True,False,True,False,False,False
55,흑와단식 경례,246246,0,456,726,0,0,0,0,0,0,10,145,245,1,1,0,False,False,False,False,True,False,False,False
56,쌍사당식 경례,246247,0,457,727,0,0,0,0,0,0,10,146,246,1,1,0,False,False,False,False,True,False,False,False
57,불멸대식 경례,246248,0,458,728,0,0,0,0,0,0,10,147,247,1,1,0,False,False,False,False,True,False,False,False
58,기도하기,246264,0,459,742,0,4814,4813,4813,0,0,1009,178,278,1,1,0,True,True,True,False,True,False,False,False
59,제국식 경례,246266,23,460,587,0,0,0,0,0,0,11,179,279,1,1,0,False,False,False,False,True,False,False,False
60,머리 장비 조작,246265,0,461,0,0,0,0,0,0,0,19999,0,0,1,2,0,True,True,True,False,False,False,False,False
61,머리 장비 조작,246265,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,True,True,True,False,False,False,False,False
62,메가플레어,246327,379,463,6240,0,0,0,0,0,0,12003,8078,8079,1,2,0,False,False,False,False,True,False,False,False
63,연무,246328,378,464,6249,0,0,0,0,0,0,6009,8080,8081,1,1,0,False,False,False,False,True,False,False,False
64,매혹적인 포옹,246329,384,465,6242,6241,0,0,0,0,0,10021,8082,8083,1,2,33,False,False,False,False,True,False,False,False
65,정면 응원(파랑),246330,381,466,6244,6243,0,0,0,0,0,10022,8084,8085,1,2,34,False,False,False,False,True,False,False,False
66,물결 응원(노랑),246331,382,467,6246,6245,0,0,0,0,0,10025,8086,8087,1,2,35,False,False,False,False,True,False,False,False
67,점프 응원(빨강),246332,383,468,6248,6247,0,0,0,0,0,10028,8088,8089,1,2,36,False,False,False,False,True,False,False,False
