#,StartupText,RunningText,Unknown0
0,,,0
1,"달 관문 기지에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지에서 공동 시공 작업 '제1차 기지 확장 계획' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1978
2,"달 관문 기지에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지에서 공동 시공 작업 '제1차 우주 라이너 설치 지원' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1979
3,"달 관문 기지 남동쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 남동쪽에서 공동 시공 작업 '거주 모듈 설치 지원' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1980
4,"달 관문 기지 북서쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 북서쪽에서 공동 시공 작업 '제1차 우주 공항 정비 지원' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1981
5,"달 관문 기지 북동쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 북동쪽에서 공동 시공 작업 '제1차 격납고 확장 계획' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1982
6,"동경의 만 북서부에서 건설 중인 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
7,"동경의 만 남동부에서 건설 중인 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
8,"동경의 만 남부에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","동경의 만 남부에서 공동 시공 작업 '제1차 터널 굴착 공사' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1983
9,"동경의 만 남부에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","동경의 만 남부에서 공동 시공 작업 '제2차 터널 굴착 공사' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1984
10,"동경의 만 남서부에서 터널 안쪽에 건설 중인 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
11,"달 관문 기지에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지에서 공동 시공 작업 '제2차 기지 확장 계획' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1985
12,"달 관문 기지 남서쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 남서쪽에서 공동 시공 작업 '에너지 설비 확충 지원' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1986
13,"달 관문 기지 서쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 서쪽에서 공동 시공 작업 '급수 설비 확충 지원' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1987
14,"달 관문 기지 북동쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 북동쪽에서 공동 시공 작업 '제2차 격납고 확장 계획' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1988
15,"달 관문 기지 북서쪽에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지 북서쪽에서 공동 시공 작업 '제2차 우주 공항 정비 작업' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1989
16,"동경의 만 북동부에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","동경의 만 북동부에서 공동 시공 작업 '제1차 승강기용 부지 정비' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1990
17,"동경의 만 북동부에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","동경의 만 북동부에서 공동 시공 작업 '제2차 승강기용 부지 정비' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1991
18,"동경의 만 북동부에서 건설 중인 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
19,"달 관문 기지에서 공동 시공 작업이 시작될 예정입니다.
참가하실 협력자 여러분을 모집합니다!","달 관문 기지에서 공동 시공 작업 '기지 종합 설비 확충 공사' 발생 중!
참가하실 협력자 여러분을 모집합니다!",1992
20,"유리직공 기지에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제1차 기지 확장 계획' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2008
21,"유리직공 바위굴에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제1차 우주 라이너 설치 지원' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2009
22,"유리직공 기지 북동부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '거주 모듈 설치 지원' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2010
23,"유리직공 기지 남동부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '에너지 설비 건설 지원' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2011
24,"유리직공 기지 남동부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '급수 설비 건설 지원' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2012
25,"유리직공 기지 북서부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제1차 격납고 확장 계획' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2013
26,"평야 지대의 우주 라이너 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
27,"밀레피오리 언덕 남동쪽에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제1차 하강 기중기 건설 공사' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2014
28,"캡슐 협곡 북동쪽에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제2차 하강 기중기 건설 공사' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2015
29,"캡슐 협곡 바닥의 우주 라이너 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
30,"유리직공 기지에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제2차 기지 확장 계획' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2016
31,"유리직공 기지 북서부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제2차 격납고 확장 계획' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2017
32,"유리직공 기지 남서부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '우주 공항 정비 지원' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2018
33,"단백석 네거리 북서쪽에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제1차 에너지 집적 시설 공사' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2019
34,"밀레피오리 언덕 북서쪽에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제2차 에너지 집적 시설 공사' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2020
35,"유리조각 강가 남부에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '무인 냉각기 거점 건설 공사' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2021
36,"퓨징웨이 분화구에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제1차 녹은 유리 냉각 작전' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2022
37,"퓨징웨이 분화구에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '제2차 녹은 유리 냉각 작전' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2023
38,"퓨징웨이 분화구의 우주 라이너 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
39,"유리직공 기지에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 모여 주시기 바랍니다!","공동 시공 작업 '기지 종합 설비 확충 공사' 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2024
40,"마른땅 기지 북쪽에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","마른땅 기지 북쪽에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2046
41,"중앙 평야의 우주 라이너 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
42,"마른땅 기지 서쪽에서 2연속 공동 시공 작업 중 첫 번째 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","마른땅 기지 서쪽에서 2연속 공동 시공 작업 중 첫 번째 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2047
43,"마른땅 기지 서쪽에서 2연속 공동 시공 작업 중 두 번째 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","마른땅 기지 서쪽에서 2연속 공동 시공 작업 중 두 번째 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2048
44,"닻산에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","닻산에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2049
45,"푸른줄 부유대지의 우주 라이너 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
46,"마른땅 기지에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","마른땅 기지에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2050
47,"마른땅 기지에서 공동 작업 실시 중!
협력하실 분께서는 기지 내 상층 발판으로 모여 주시기 바랍니다!","마른땅 기지에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2051
48,"마른땅 기지 북쪽에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","마른땅 기지 북쪽에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2052
49,"비취핵 골짜기에서 공동 시공 작업이 실시될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","비취핵 골짜기에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2053
50,"비취핵 골짜기에서 공동 시공 작업이 실시될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","비취핵 골짜기에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2054
51,"비취핵 골짜기 유적 내부에서 공동 시공 작업이 실시될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","비취핵 골짜기 유적 내부에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2055
52,"비취핵 골짜기 유적 내부에서 공동 시공 작업이 실시될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","비취핵 골짜기 유적 내부에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2056
53,"비취핵 골짜기 유적 내부의 우주 라이너 시설이 곧 완공됩니다.
완공 예정 시간이 되면 해당 지역은 출입이 금지되므로 주의해 주십시오.",,0
54,"마른땅 기지에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 시작 시간까지 모여 주시기 바랍니다!","마른땅 기지에서 공동 시공 작업 실시 중!
협력하실 분께서는 모여 주시기 바랍니다!",2057
55,"마른땅 기지 옥상층에서 공동 시공 작업이 시작될 예정입니다.
협력하실 분께서는 기지에 있는 엘리베이터에 타서 모여 주시기 바랍니다!","마른땅 기지 옥상층에서 공동 시공 작업 실시 중!
협력하실 분께서는 기지에 있는 엘리베이터에 타서 모여 주시기 바랍니다!",2058
