#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,방어 역할 장비,1,75
2,근거리 물리 공격 역할 장비(용기사/리퍼),2,76
3,근거리 물리 공격 역할 장비(몽크/사무라이),3,77
4,원거리 물리 공격 역할 장비,4,78
5,근거리 물리 공격 역할 장비(닌자/바이퍼),5,104
6,회복 역할 장비,6,80
7,마법 공격 역할 장비,7,79
8,전투 관련 아이템,8,0
9,제작자 장비,9,33
10,제작 관련 아이템,10,0
11,채집가 장비,11,32
12,채집 관련 아이템,12,0
13,방어 역할 장비,13,75
14,근거리 물리 공격 역할 장비(용기사/리퍼),14,76
15,근거리 물리 공격 역할 장비(몽크/사무라이),15,77
16,원거리 물리 공격 역할 장비,16,78
17,근거리 물리 공격 역할 장비(닌자/바이퍼),17,104
18,회복 역할 장비,18,80
19,마법 공격 역할 장비,19,79
20,전투 관련 아이템,20,0
21,제작자 장비,21,33
22,제작 관련 아이템,22,0
23,채집가 장비,23,32
24,채집 관련 아이템,24,0
25,방어 역할 장비,25,75
26,근거리 물리 공격 역할 장비(용기사/리퍼),26,76
27,근거리 물리 공격 역할 장비(몽크/사무라이),27,77
28,원거리 물리 공격 역할 장비,28,78
29,근거리 물리 공격 역할 장비(닌자/바이퍼),29,104
30,회복 역할 장비,30,80
31,마법 공격 역할 장비,31,79
32,전투 관련 아이템,32,0
33,제작자 장비,33,33
34,제작 관련 아이템,34,0
35,채집가 장비,35,32
36,채집 관련 아이템,36,0
37,방어 역할 장비,37,75
38,근거리 물리 공격 역할 장비(용기사/리퍼),38,76
39,근거리 물리 공격 역할 장비(몽크/사무라이),39,77
40,원거리 물리 공격 역할 장비,40,78
41,근거리 물리 공격 역할 장비(닌자/바이퍼),41,104
42,회복 역할 장비,42,80
43,마법 공격 역할 장비,43,79
44,전투 관련 아이템,44,0
45,제작자 장비,45,33
46,제작 관련 아이템,46,0
47,채집가 장비,47,32
48,채집 관련 아이템,48,0
49,제작자용 화폐 거래: 장비,49,0
50,제작자용 화폐 거래: 비전서/재료/잡화,50,33
51,채집가용 화폐 거래: 장비,51,0
52,채집가용 화폐 거래: 전승록/재료/잡화,52,32
53,제작자용 화폐 거래: 마테리아,53,33
54,채집가용 화폐 거래: 마테리아,54,32
55,제작자용 화폐 거래: 장비,55,0
56,제작자용 화폐 거래: 비전서/재료/잡화,56,0
57,채집가용 화폐 거래: 장비,57,0
58,채집가용 화폐 거래: 전승록/재료/잡화,58,0
59,제작자용 화폐 거래: 장비,59,0
60,제작자용 화폐 거래: 비전서/재료/잡화,60,0
61,채집가용 화폐 거래: 장비,61,0
62,채집가용 화폐 거래: 전승록/재료/잡화,62,0
63,명예 점수 거래(투사용 무기),63,0
64,명예 점수 거래(마법사용 무기),64,0
65,명예 점수 거래(투사용 방어구),65,0
66,명예 점수 거래(마법사용 방어구),66,0
67,명예 점수 거래(기타),67,1
68,,0,0
69,,0,0
70,제작자용 화폐 거래: 장비,70,0
71,제작자용 화폐 거래: 비전서/재료/잡화,71,0
72,채집가용 화폐 거래: 장비,72,0
73,채집가용 화폐 거래: 전승록/재료/잡화,73,0
74,방어 역할 장비,74,75
75,근거리 물리 공격 역할 장비(용기사/리퍼),75,76
76,근거리 물리 공격 역할 장비(몽크/사무라이),76,77
77,근거리 물리 공격 역할 장비(닌자/바이퍼),77,104
78,원거리 물리 공격 역할 장비,78,78
79,회복 역할 장비,80,80
80,마법 공격 역할 장비,79,79
81,전투 관련 아이템,81,0
82,제작자 장비,82,33
83,제작 관련 아이템,83,0
84,채집가 장비,84,32
85,채집 관련 아이템,85,0
86,,0,0
