#,Unknown0,Unknown1,Unknown2
0,,4,True
1,"파괴된 마도 아머의 잔해가 있다.
격렬한 전투가 벌어졌던 것일까?",7,False
2,"오랫동안 사용한 듯한 검과 방패가 있다.
갈레말 제국군의 장비는 아닌 듯하다.
누가 쓰던 것일까?",7,False
3,"젊은 날의 시드가 기록한, 
달의 위성 '달라가브'의 관측 데이터인 듯하다. 
또박또박한 글씨로 난해한 수식과 숫자가 나열되어 있다. 
시드의 추론에 따르면 '달라가브'는 태양 에너지를 모아 
파장을 바꿔 내보내는 기능이 있을 가능성이 높다고 한다. 

수신 설비가 부족한 상태로 '달라가브'를 기동시키면, 
수천 년에 걸쳐 축적된 방대한 에너지가 쏟아져 내려 
심각한 사고가 발생할 것이라고 결론짓고 있다. ",4,True
4,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….",7,False
5,"다리가 불량인 마도 리퍼다.
이전 전투에서 파손되어 이제 사용할 수 없을 듯하다…….",7,False
6,"이미 숨이 끊어졌다.
자신의 몸이었더라면 구할 수 있었을지도 모른다…….

서둘러 깨진 유리 전초지로 가서 제노스의 악행을 막자.",7,False
7,"매료된 제국 병사에게 습격당했는지, 이미 숨이 끊어졌다.


품속에서 '군용 물약'을 발견했다. 고맙게 사용해야겠다.",7,False
8,"필사적으로 저항한 흔적이 있지만, 이미 숨이 끊어졌다.


품속에서 '군용 물약'을 발견했다. 고맙게 사용해야겠다.",7,False
9,"다리가 불량인 마도 리퍼다.
방금 전까지 움직였던 듯, 아직 기체가 따뜻하다.
마도 리퍼 인증 열쇠와 연료가 있으면 기동할 것 같다.
이 기체로 마도포를 사용하면, 
전방의 적들을 단번에 처치할 수 있을지도 모른다…….",7,False
10,"다리가 불량인 마도 리퍼다.
인증 열쇠를 사용했지만 연료가 없어 기동할 수 없다.

연료가 남아 있는 마도 리퍼 잔해를 찾아 보자.",7,False
11,"마도 리퍼 잔해다.
조종석 계기판을 보니 아직 연료가 남아 있다.
청린수 탱크만 떼어내서 옮길 수 있을 것 같다.",7,False
12,"다리가 불량인 마도 리퍼다.
이전 전투에서 파손되어 이제 사용할 수 없을 듯하다…….",7,False
13,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….",7,False
14,"마도 리퍼 잔해다.
조종석 계기판을 보니 연료는 아직 남아 있지만,
손상이 심해 사용할 수 없을 듯하다…….",7,False
15,"이미 숨이 끊어졌다.
자신의 몸이었더라면 구할 수 있었을지도 모른다…….",7,False
16,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….",7,False
17,"신병으로 보이는 젊은 제국 병사다. 이미 숨이 끊어졌다.


품속에서 '군용 물약'을 발견했다.
고맙게 사용해야겠다.",7,False
18,"매료된 제국 병사가 '군용 물약'을 가지고 있었다!


이 퀘스트 전투에서는 평소와 같은 전투 능력을 발휘할 수 없습니다.
그러므로 되도록 적을 피해 깨진 유리 전초지로 가야 합니다.
한번 발견되어 전투 상태에 돌입하면, 매료된 제국 병사와 마도 병기가 집요하게 쫓아옵니다.
특히 마도 병기는 맨몸으로 싸우면 위험합니다.
HP는 임무용 기술 '군용 물약'을 사용하면 회복할 수 있습니다.
사용 횟수가 제한되어 있지만, 적 병사 시체나 잔해 등에서 추가로 획득할 수 있으니 적극적으로 찾아 보세요.",7,False
19,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '제국식 강장제'를 발견했다!",7,False
20,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '군용 물약'을 발견했다!",7,False
21,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '군용 물약'을 발견했다!",7,False
22,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '군용 물약'을 발견했다!",7,False
23,이미 숨이 끊어졌다.,7,False
24,"등뒤에서 습격받아 숨이 끊어진 듯하다.


품속에서 '군용 물약'을 발견했다. 고맙게 사용해야겠다.",7,False
25,이미 숨이 끊어졌다.,7,False
26,"너덜너덜한 작은 포대다.


포대 속에서 '군용 물약'을 발견했다!",7,False
27,"너덜너덜한 작은 포대다.


포대 속에서 '제국식 회복제'를 발견했다!",7,False
28,"다리가 불량인 마도 리퍼다.
연료는 충분하지만 인증 열쇠가 없어서 기동할 수 없다.

탑승했던 사람이 근처에 숨어 있을지 모르니 찾아보자.",7,False
29,"수면이 작게 흔들리며 작은 기포가 나오고 있다…….
나뭇잎 뒤에 어린 머윗잎 요정이 북적거리는 모습을 상상했다.",7,False
30,"나뭇잎 표면에 밟힌 자국이 있다.
누군가가 물을 채취할 때 생긴 걸까……?",7,False
31,"물밑에 식물이 기생했던 동물 사체가 보인다.
먹이를 찾다가 길을 잃은 걸까……?",7,False
32,"작게 탄 자국이 있는 물풀이 보인다.
현자의 공격 술식과 비슷한 흔적이다…….",7,False
