#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,無効,無効,無効,0,0,0
1,전서버,world,전서버,0,0,1
2,림사 로민사,Limsa Lominsa,림사 로민사,500,1,2
3,라노시아,La Noscea,라노시아,502,1,3
4,늑대우리,The Wolves' Den,늑대우리,501,1,4
5,그리다니아,Gridania,그리다니아,506,2,5
6,검은장막 숲,The Black Shroud,검은장막 숲,507,2,6
7,울다하,Ul'dah,울다하,504,3,7
8,다날란,Thanalan,다날란,505,3,8
9,골드 소서,The Gold Saucer,골드 소서,503,3,9
10,이슈가르드,Ishgard,이슈가르드,512,4,10
11,커르다스,Coerthas,커르다스,508,4,11
12,아발라시아,Abalathia's Spine,아발라시아,510,4,12
13,이딜샤이어,Idyllshire,이딜샤이어,4136,4,13
14,드라바니아,Dravania,드라바니아,511,4,14
15,랄거의 손길,Rhalgr's Reach,랄거의 손길,4137,5,15
16,기라바니아,Gyr Abania,기라바니아,514,5,16
17,쿠가네,Kugane,쿠가네,513,6,17
18,오사드,Othard,오사드,515,6,18
19,라자한,Radz-at-Han,라자한,3745,7,19
20,사베네어 섬,Thavnair,사베네어 섬,3741,7,20
21,갈레말드,Garlemald,갈레말드,4138,7,21
22,크리스타리움,Crystarium,크리스타리움,516,8,22
23,율모어,Eulmore,율모어,517,8,23
24,노르브란트,Norvrandt,노르브란트,518,8,24
25,모르도나,Mor Dhona,모르도나,509,9,25
26,올드 샬레이안,Old Sharlayan,올드 샬레이안,3744,11,26
27,라비린토스,Labyrinthos,라비린토스,3740,11,27
28,외계 우주,The Sea of Stars,외계 우주,3742,9,28
29,고대세계,The World Unsundered,고대세계,3743,9,29
30,기타 지역,Elsewhere,기타 지역,519,9,35
31,툴라이욜라,Tuliyollal,툴라이욜라,4515,10,30
32,요카 투랄,Yok Tural,요카 투랄,4511,10,31
33,사카 투랄,Xak Tural,사카 투랄,4512,10,32
34,솔루션 나인,Solution Nine,솔루션 나인,4514,10,33
35,언로스트 월드,Unlost World,언로스트 월드,4513,9,34
