#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,없음,0,82091,0,0,0,0,0,0
1,단색: 회색,190002,82091,1,0,0,0,1,1
2,사각형,190003,82091,1,0,0,0,3,1
3,단색: 보라색,190004,82091,1,0,0,0,4,1
4,그라데이션: 방어 역할,190005,82091,1,0,0,0,5,1
5,그라데이션: 공격 역할,190006,82091,1,0,0,0,7,1
6,그라데이션: 회복 역할,190007,82091,1,0,0,0,6,1
7,양피지,190008,82091,1,0,0,0,2,1
8,에테르 공간,190009,82091,1,0,0,0,9,1
9,나무판,190010,82091,1,0,0,0,8,1
10,보이드 공간,190011,82091,1,0,0,0,10,1
11,나이트(역동적),190301,82091,124,0,0,0,2150,2
12,전사(역동적),190302,82091,125,0,0,0,2151,2
13,암흑기사(역동적),190303,82091,126,0,0,0,2152,2
14,건브레이커(역동적),190304,82091,127,0,0,0,2153,2
15,백마도사(역동적),190305,82091,128,0,0,0,2154,2
16,학자(역동적),190306,82091,129,0,0,0,2155,2
17,점성술사(역동적),190307,82091,130,0,0,0,2156,2
18,현자(역동적),190308,82091,131,0,0,0,2157,2
19,몽크(역동적),190309,82091,132,0,0,0,2158,2
20,용기사(역동적),190310,82091,133,0,0,0,2159,2
21,닌자(역동적),190311,82091,134,0,0,0,2160,2
22,사무라이(역동적),190312,82091,135,0,0,0,2161,2
23,리퍼(역동적),190313,82091,136,0,0,0,2162,2
24,음유시인(역동적),190314,82091,137,0,0,0,2164,2
25,기공사(역동적),190315,82091,138,0,0,0,2165,2
26,무도가(역동적),190316,82091,139,0,0,0,2166,2
27,흑마도사(역동적),190317,82091,140,0,0,0,2167,2
28,소환사(역동적),190318,82091,141,0,0,0,2168,2
29,적마도사(역동적),190319,82091,142,0,0,0,2169,2
30,별빛 팀,190401,82091,143,0,0,0,3000,10
31,그림자 팀,190402,82091,144,0,0,0,3001,10
32,크리스탈라인 컨플릭트: 제왕(시즌 1),190403,82091,145,0,0,0,3200,5
33,크리스탈라인 컨플릭트: 용자(시즌 1),190404,82091,146,0,0,0,3201,5
34,크리스탈라인 컨플릭트: 입상자(시즌 1),190405,82091,147,0,0,0,3202,5
35,크리스탈라인 컨플릭트: 브론즈(시즌 1),190406,82091,148,0,0,0,3208,5
36,크리스탈라인 컨플릭트: 실버(시즌 1),190407,82091,149,0,0,0,3207,5
37,크리스탈라인 컨플릭트: 골드(시즌 1),190408,82091,150,0,0,0,3206,5
38,크리스탈라인 컨플릭트: 플래티넘(시즌 1),190409,82091,151,0,0,0,3205,5
39,크리스탈라인 컨플릭트: 다이아몬드(시즌 1),190410,82091,152,0,0,0,3204,5
40,크리스탈라인 컨플릭트: 크리스탈(시즌 1),190411,82091,153,0,0,0,3203,5
41,,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0
43,검술사,190201,82091,156,0,0,0,2000,2
44,도끼술사,190202,82091,157,0,0,0,2001,2
45,환술사,190203,82091,158,0,0,0,2002,2
46,격투사,190204,82091,159,0,0,0,2003,2
47,창술사,190205,82091,160,0,0,0,2004,2
48,쌍검사,190206,82091,161,0,0,0,2005,2
49,궁술사,190207,82091,162,0,0,0,2006,2
50,주술사,190208,82091,163,0,0,0,2007,2
51,비술사,190209,82091,164,0,0,0,2008,2
52,나이트(단순),190210,82091,165,0,0,0,2050,2
53,전사(단순),190211,82091,166,0,0,0,2051,2
54,암흑기사(단순),190212,82091,167,0,0,0,2052,2
55,건브레이커(단순),190213,82091,168,0,0,0,2053,2
56,백마도사(단순),190214,82091,169,0,0,0,2054,2
57,학자(단순),190215,82091,170,0,0,0,2055,2
58,점성술사(단순),190216,82091,171,0,0,0,2056,2
59,현자(단순),190217,82091,172,0,0,0,2057,2
60,몽크(단순),190218,82091,173,0,0,0,2058,2
61,용기사(단순),190219,82091,174,0,0,0,2059,2
62,닌자(단순),190220,82091,175,0,0,0,2060,2
63,사무라이(단순),190221,82091,176,0,0,0,2061,2
64,리퍼(단순),190222,82091,177,0,0,0,2062,2
65,음유시인(단순),190223,82091,178,0,0,0,2064,2
66,기공사(단순),190224,82091,179,0,0,0,2065,2
67,무도가(단순),190225,82091,180,0,0,0,2066,2
68,흑마도사(단순),190226,82091,181,0,0,0,2067,2
69,소환사(단순),190227,82091,182,0,0,0,2068,2
70,적마도사(단순),190228,82091,183,0,0,0,2069,2
71,청마도사(단순),190229,82091,184,0,0,0,2071,2
72,목수(단순),190230,82091,244,0,0,0,2100,2
73,대장장이(단순),190231,82091,245,0,0,0,2101,2
74,갑주제작사(단순),190232,82091,246,0,0,0,2102,2
75,보석공예가(단순),190233,82091,247,0,0,0,2103,2
76,가죽공예가(단순),190234,82091,248,0,0,0,2104,2
77,재봉사(단순),190235,82091,249,0,0,0,2105,2
78,연금술사(단순),190236,82091,250,0,0,0,2106,2
79,요리사(단순),190237,82091,251,0,0,0,2107,2
80,광부(단순),190238,82091,276,0,0,0,2108,2
81,원예가(단순),190239,82091,277,0,0,0,2109,2
82,어부(단순),190240,82091,278,0,0,0,2110,2
83,그리다니아,190652,82091,299,0,0,0,1001,9
84,림사 로민사,190651,82091,299,0,0,0,1000,9
85,울다하,190653,82091,299,0,0,0,1002,9
86,절 바하무트 토벌전,190701,82091,319,0,0,0,2500,4
87,절 알테마 웨폰 파괴작전,190702,82091,320,0,0,0,2501,4
88,절 알렉산더 토벌전,190703,82091,321,0,0,0,2502,4
89,절 용시전쟁,190704,82091,322,0,0,0,2503,4
90,크리스탈라인 컨플릭트: 제왕(시즌 2),190412,82091,323,0,0,0,3209,5
91,크리스탈라인 컨플릭트: 용자(시즌 2),190413,82091,324,0,0,0,3210,5
92,크리스탈라인 컨플릭트: 입상자(시즌 2),190414,82091,325,0,0,0,3211,5
93,크리스탈라인 컨플릭트: 브론즈(시즌 2),190415,82091,326,0,0,0,3217,5
94,크리스탈라인 컨플릭트: 실버(시즌 2),190416,82091,327,0,0,0,3216,5
95,크리스탈라인 컨플릭트: 골드(시즌 2),190417,82091,328,0,0,0,3215,5
96,크리스탈라인 컨플릭트: 플래티넘(시즌 2),190418,82091,329,0,0,0,3214,5
97,크리스탈라인 컨플릭트: 다이아몬드(시즌 2),190419,82091,330,0,0,0,3213,5
98,크리스탈라인 컨플릭트: 크리스탈(시즌 2),190420,82091,331,0,0,0,3212,5
99,크리스탈라인 컨플릭트: 제왕(시즌 3),190421,82091,332,0,0,0,3218,5
100,크리스탈라인 컨플릭트: 용자(시즌 3),190422,82091,333,0,0,0,3219,5
101,크리스탈라인 컨플릭트: 입상자(시즌 3),190423,82091,334,0,0,0,3220,5
102,크리스탈라인 컨플릭트: 브론즈(시즌 3),190424,82091,335,0,0,0,3226,5
103,크리스탈라인 컨플릭트: 실버(시즌 3),190425,82091,336,0,0,0,3225,5
104,크리스탈라인 컨플릭트: 골드(시즌 3),190426,82091,337,0,0,0,3224,5
105,크리스탈라인 컨플릭트: 플래티넘(시즌 3),190427,82091,338,0,0,0,3223,5
106,크리스탈라인 컨플릭트: 다이아몬드(시즌 3),190428,82091,339,0,0,0,3222,5
107,크리스탈라인 컨플릭트: 크리스탈(시즌 3),190429,82091,340,0,0,0,3221,5
108,크리스탈라인 컨플릭트: 파랑,190430,82091,341,0,0,0,3002,10
109,크리스탈라인 컨플릭트: 빨강,190431,82091,342,0,0,0,3003,10
110,변형 던전: 실디하 지하수도,190705,82091,343,0,0,0,2403,4
111,오미크론족 '라스트 렘넌트',190966,82091,344,0,0,0,2315,3
112,푸른 하늘,190012,82091,1,0,0,0,12,1
113,모래사장,190013,82091,1,0,0,0,11,1
114,밤하늘,190014,82091,1,0,0,0,13,1
115,벽돌,190015,82091,1,0,0,0,19,1
116,만화,190016,82091,1,0,0,0,20,1
117,검은색 누비천,190017,82091,1,0,0,0,17,1
118,흰색 누비천,190018,82091,1,0,0,0,18,1
119,기하학 모양: 원,190019,82091,1,0,0,0,21,1
120,에테르 효과: 보라,190020,82091,1,0,0,0,16,1
121,에테르 효과: 파랑,190021,82091,1,0,0,0,14,1
122,에테르 효과: 빨강,190022,82091,1,0,0,0,15,1
123,악보,190023,82091,347,0,0,0,22,7
124,동방풍,190024,82091,1,0,0,0,23,1
125,아이템 희귀도 1,190025,82091,1,0,0,0,900,1
