key,0,1,2,3,4,5,6,7,8,9
#,Masculine,Feminine,,,STR,DEX,VIT,INT,MND,PIE
int32,str,str,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte
0,"","",0,0,0,0,0,0,0,0
1,"중원 부족","중원 부족",0,0,2,0,-1,3,-1,0
2,"고원 부족","고원 부족",0,0,3,2,0,-2,0,0
3,"숲 부족","숲 부족",0,0,0,-1,3,2,-1,0
4,"황혼 부족","황혼 부족",0,0,0,-1,0,3,1,0
5,"평원 부족","평원 부족",0,0,-1,-1,3,2,0,0
6,"사막 부족","사막 부족",0,0,-1,-2,1,2,3,0
7,"태양의 추종자","태양의 추종자",0,0,2,0,3,-1,-1,0
8,"달의 수호자","달의 수호자",0,0,-1,-2,2,1,3,0
9,"바다늑대","바다늑대",0,0,2,3,-1,-2,1,0
10,"불꽃지킴이","불꽃지킴이",0,0,0,3,-2,0,2,0
11,"아우라 렌","아우라 렌",0,0,-1,-1,2,0,3,0
12,"아우라 젤라","아우라 젤라",0,0,3,2,0,0,-2,0
