key,0,1,2,3,4,5,6,7,8
#,Color,Shade,SubOrder,Name,Name2,,,,
int32,Color,byte,byte,uint32,uint32,str,str,bit&01,bit&02
0,0,2,1,5728,0,"염색 안 함","염색 안 함",False,True
1,14999504,2,2,52254,0,"하얀 눈색","하얀 눈색",False,True
2,11315362,2,3,52254,0,"회색","회색",False,True
3,9013124,2,4,52254,0,"구부 회색","구부 회색",False,True
4,6645093,2,5,52254,0,"진회색","진회색",False,True
5,4736834,2,6,52254,0,"탄회색","탄회색",False,True
6,2828579,2,7,52254,0,"숯검정색","숯검정색",False,True
7,15114134,4,1,52254,0,"장미색","장미색",False,True
8,8612201,4,2,52254,0,"라일락색","라일락색",False,True
9,5969705,4,3,52254,0,"롤란베리색","롤란베리색",False,True
10,7871002,4,4,52254,0,"달라가브색","달라가브색",False,True
11,6431239,4,5,52254,0,"녹슨 빨간색","녹슨 빨간색",False,True
12,4527377,4,6,52254,0,"포도주색","포도주색",False,True
13,13397086,4,7,52254,0,"산호색","산호색",False,True
14,9517863,4,8,52254,0,"선홍색","선홍색",False,True
15,14985866,4,9,52254,0,"연어색","연어색",False,True
16,12016685,5,1,52254,0,"노을색","노을색",False,True
17,8206598,5,2,52254,0,"황야의 붉은색","황야의 붉은색",False,True
18,6966071,5,3,52254,0,"나무껍질색","나무껍질색",False,True
19,7224612,5,4,52254,0,"초콜릿색","초콜릿색",False,True
20,5188895,5,5,52254,0,"적갈색","적갈색",False,True
21,3154203,5,6,52254,0,"코볼드색","코볼드색",False,True
22,13209942,5,7,52254,0,"코르크색","코르크색",False,True
23,10055231,5,8,52254,0,"키키룬색","키키룬색",False,True
24,8084525,5,9,52254,0,"오포오포색","오포오포색",False,True
25,10651484,5,10,52254,0,"큰뿔염소색","큰뿔염소색",False,True
26,12940324,5,11,52254,0,"늙은호박색","늙은호박색",False,True
27,9328667,5,12,52254,0,"도토리색","도토리색",False,True
28,6570518,5,13,52254,0,"과수원 흙색","과수원 흙색",False,True
29,4008205,5,14,52254,0,"밤색","밤색",False,True
30,12166281,5,15,52254,0,"고블린색","고블린색",False,True
31,9601388,5,16,52254,0,"찰흙색","찰흙색",False,True
32,6378053,5,17,52254,0,"두더지색","두더지색",False,True
33,4141865,5,18,52254,0,"비옥토색","비옥토색",False,True
34,15455136,6,1,52254,0,"상아색","상아색",False,True
35,12034928,6,2,52254,0,"울다하 갈색","울다하 갈색",False,True
36,14398551,6,3,52254,0,"사막노란색","사막노란색",False,True
37,16434731,6,4,52254,0,"꿀색","꿀색",False,True
38,14982708,6,5,52254,0,"옥수수색","옥수수색",False,True
39,12355588,6,6,52254,0,"커얼색","커얼색",False,True
40,15914864,6,7,52254,0,"크림색","크림색",False,True
41,10847280,6,8,52254,0,"할라탈리 노란색","할라탈리 노란색",False,True
42,4207377,6,9,52254,0,"건포도색","건포도색",False,True
43,5788208,7,1,52254,0,"습지 녹색","습지 녹색",False,True
44,12303242,7,2,52254,0,"실프색","실프색",False,True
45,11251796,7,3,52254,0,"라임색","라임색",False,True
46,7369510,7,4,52254,0,"이끼색","이끼색",False,True
47,9149539,7,5,52254,0,"풀색","풀색",False,True
48,4936242,7,6,52254,0,"올리브색","올리브색",False,True
49,3290657,7,7,52254,0,"늪지 녹색","늪지 녹색",False,True
50,10204003,7,8,52254,0,"풋사과색","풋사과색",False,True
51,6652481,7,9,52254,0,"선인장색","선인장색",False,True
52,2640684,7,10,52254,0,"진녹색","진녹색",False,True
53,4219705,7,11,52254,0,"오츄색","오츄색",False,True
