#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
0,,0,0,0,0,0,0,0,0,False
1,활력 증가,0,0,0,0,0,0,0,0,False
2,활력 증가 2,0,0,0,0,0,0,0,0,False
3,활력 증가 3,0,0,0,0,0,0,0,0,False
4,활력 증가,0,0,0,0,0,0,0,0,False
5,활력 증가 2,0,0,0,0,0,0,0,0,False
6,활력 증가 3,0,0,0,0,0,0,0,0,False
7,힘 증가,0,0,0,0,0,0,0,0,False
8,힘 증가 2,0,0,0,0,0,0,0,0,False
9,힘 증가 3,0,0,0,0,0,0,0,0,False
10,질풍번개 효과 향상,0,0,0,0,0,0,0,0,False
11,질풍번개 효과 향상 2,0,0,0,0,0,0,0,0,False
12,힘 증가,0,0,0,0,0,0,0,0,False
13,힘 증가 2,0,0,0,0,0,0,0,0,False
14,힘 증가 3,0,0,0,0,0,0,0,0,False
15,민첩성 증가,0,0,0,0,0,0,0,0,False
16,민첩성 증가 2,0,0,0,0,0,0,0,0,False
17,육중한 사격 효과 향상,0,5321,0,5,50,2,50,0,False
18,기술 공격력 증가,0,5302,10,5,50,20,50,0,False
19,민첩성 증가 3,0,0,0,0,0,0,0,0,False
20,기술 공격력 증가 2,0,5303,20,5,50,40,50,0,False
21,정신력 증가,0,0,0,0,0,0,0,0,False
22,정신력 증가 2,0,0,0,0,0,0,0,0,False
23,공격력 및 회복량 증가,0,5185,10,6,53,20,53,0,False
24,정신력 증가 3,0,0,0,0,0,0,0,0,False
25,케알라 효과 향상,0,5330,0,6,53,32,53,0,False
26,공격력 및 회복량 증가 2,0,5186,30,6,53,40,53,0,False
27,지능 증가,0,0,0,0,0,0,0,0,False
28,지능 증가 2,0,0,0,0,0,0,0,0,False
29,공격력 및 회복량 증가,0,5185,10,7,55,20,55,0,False
30,지능 증가 3,0,0,0,0,0,0,0,0,False
31,공격력 및 회복량 증가 2,0,5186,30,7,55,40,55,0,False
32,파이가 효과 향상,0,5352,0,7,55,42,55,0,False
33,선더 계열 효과 향상,0,5355,0,0,0,0,0,0,False
34,원예가의 눈 자동화,0,5451,0,17,18,2,18,0,False
35,은신 효과 향상,0,0,30,0,0,0,0,0,False
36,은신 효과 향상 2,0,0,40,0,0,0,0,0,False
37,은신 효과 향상 3,0,0,50,0,0,0,0,0,False
38,광부의 눈 자동화,0,5426,0,16,17,2,17,0,False
39,은신 효과 향상,0,0,30,0,0,0,0,0,False
40,은신 효과 향상 2,0,0,40,0,0,0,0,0,False
41,은신 효과 향상 3,0,0,50,0,0,0,0,0,False
42,숲의 속삭임,0,5455,0,17,18,11,18,0,False
43,숲의 속삭임 2,0,5456,0,17,18,16,18,0,False
44,숲의 속삭임 3,0,5457,0,17,18,21,18,0,False
45,숲의 속삭임 4,0,5458,0,17,18,26,18,0,False
46,열두 신의 가호 효과 향상,0,5459,0,17,18,41,18,0,False
