#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting,PlaceName,HousingSize
262144,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,해변의 아담한 목조 주택,,0,0,0,1,0,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262146,해변의 아담한 복합조 주택,,0,0,0,1,0,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262147,해변의 아담한 석조 주택,,0,0,0,1,0,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262148,해변의 목조 주택,,0,0,0,1,0,0,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262149,해변의 복합조 주택,,0,0,0,1,0,0,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262150,해변의 석조 주택,,0,0,0,1,0,0,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262151,해변의 대형 목조 주택,,0,0,0,1,0,0,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262152,해변의 대형 복합조 주택,,0,0,0,1,0,0,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262153,해변의 대형 석조 주택,,0,0,0,1,0,0,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262154,숲속의 아담한 목조 주택,,0,0,0,1,0,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262155,숲속의 아담한 복합조 주택,,0,0,0,1,0,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262156,숲속의 아담한 석조 주택,,0,0,0,1,0,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262157,숲속의 목조 주택,,0,0,0,1,0,0,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262158,숲속의 복합조 주택,,0,0,0,1,0,0,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262159,숲속의 석조 주택,,0,0,0,1,0,0,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262160,숲속의 대형 목조 주택,,0,0,0,1,0,0,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262161,숲속의 대형 복합조 주택,,0,0,0,1,0,0,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262162,숲속의 대형 석조 주택,,0,0,0,1,0,0,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262163,오아시스의 아담한 목조 주택,,0,0,0,1,0,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262164,오아시스의 아담한 복합조 주택,,0,0,0,1,0,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262165,오아시스의 아담한 석조 주택,,0,0,0,1,0,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262166,오아시스의 목조 주택,,0,0,0,1,0,0,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262167,오아시스의 복합조 주택,,0,0,0,1,0,0,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262168,오아시스의 석조 주택,,0,0,0,1,0,0,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262169,오아시스의 대형 목조 주택,,0,0,0,1,0,0,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262170,오아시스의 대형 복합조 주택,,0,0,0,1,0,0,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262171,오아시스의 대형 석조 주택,,0,0,0,1,0,0,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262172,,,0,0,0,1,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0,0,0
262173,,,0,0,0,1,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0,0,0
262174,,,0,0,0,1,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0,0,0
262175,동방의 아담한 목조 주택,,0,0,0,1,0,0,20680,20689,20698,20701,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262176,동방의 아담한 남방식 주택,,0,0,0,1,0,0,20681,20690,20699,20702,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262177,동방의 아담한 회벽 주택,,0,0,0,1,0,0,20682,20691,20700,20703,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262178,동방의 목조 주택,,0,0,0,1,0,0,20683,20692,20698,20701,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262179,동방의 남방식 주택,,0,0,0,1,0,0,20684,20693,20699,20702,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262180,동방의 회벽 주택,,0,0,0,1,0,0,20685,20694,20700,20703,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262181,동방의 대형 목조 주택,,0,0,0,1,0,0,20686,20695,20698,20701,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262182,동방의 대형 남방식 주택,,0,0,0,1,0,0,20687,20696,20699,20702,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262183,동방의 대형 회벽 주택,,0,0,0,1,0,0,20688,20697,20700,20703,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262184,,,0,0,0,1,0,0,0,0,0,0,20716,20718,20720,0,0,0,0,0,0,0,0,0
262185,커르다스의 아담한 목조 주택,,0,0,0,1,0,0,36863,36872,36881,36884,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262186,커르다스의 아담한 석조 주택,,0,0,0,1,0,0,36864,36873,36882,36885,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
