#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,알라그 석판: 전승을 시학으로 교환하기,5,1,50,False
2,알라그 석판: 성전을 시학으로 교환하기,4,1,50,False
3,알라그 석판: 진리를 만물로 교환하기,4,2,25,False
4,알라그 석판: 만물을 허구로 교환하기,4,2,25,False
5,알라그 석판: 허구를 시학으로 교환하기,5,1,50,False
6,알라그 석판: 창세를 시학으로 교환하기,4,1,50,False
7,알라그 석판: 마전을 환상으로 교환하기,4,2,25,False
8,알라그 석판: 환상을 기담으로 교환하기,4,2,25,False
9,알라그 석판: 기담을 시학으로 교환하기,5,1,50,False
10,알라그 석판: 묵시를 시학으로 교환하기,4,1,50,False
11,알라그 석판: 경전을 천문으로 교환하기,4,2,25,False
12,알라그 석판: 천문을 인과로 교환하기,4,2,25,False
13,알라그 석판: 인과를 시학으로 교환하기,5,1,50,False
14,알라그 석판: 신곡을 시학으로 교환하기,4,1,50,False
15,알라그 석판: 미학을 천도로 교환하기,4,2,25,False
16,알라그 석판: 천도를 수리로 교환하기,4,2,25,True
