#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,게임 시작,,,0,0,0
2,환경 설정,,,0,0,0
3,오프닝 영상,,,0,0,0
4,제작진,,,0,0,0
5,,,,0,0,0
6,"게임패드의 버튼을 설정하시겠습니까?
※ 시스템 설정에서 언제든지 변경하실 수 있습니다.",,,0,0,0
7,예,,,0,0,0
8,아니요,,,0,0,0
9,,,,0,0,0
10,서비스 계정,,,0,0,0
11,서비스 계정을 선택하십시오.,,,0,0,0
12,게임 버전: UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**주의**: 저해상도(480p/i 576p/i)로 실행되고 있습니다.
이 게임은 고해상도(720p)로 실행하실 것을 권장합니다.",,,0,0,0
14,,,,0,0,0
15,확인,,,0,0,0
16,취소,,,0,0,0
17,"편집할 항목을 오른쪽 목록에서 선택하십시오.
???는 아직 결정되지 않은 항목입니다.",,,0,0,0
18,"편집할 항목을 오른쪽 목록에서 선택하십시오.
확인 버튼을 누르면 변경 내용이 반영됩니다.",,,0,0,0
19,"편집할 항목을 오른쪽 목록에서 선택하십시오.
???는 아직 결정되지 않은 항목입니다.",,,0,0,0
20,캐릭터 삭제,,,0,0,0
21,"'UNKNOWN' 삭제하시겠습니까?
캐릭터를 삭제하면 소지한 아이템과 길, 고용 중인 집사도 함께 삭제됩니다.
캐릭터가 자유부대의 부대장인 경우, 새로 부대장이 될 수 있는 부대원이 없으면 자유부대가 해체됩니다.
자유부대가 소유한 주택과 부대 금고에 있는 아이템 등도 모두 사라지므로 주의하시기 바랍니다.",,,0,0,0
22,"네, 주의 사항을 확인했으며 삭제하겠습니다.",,,0,0,0
23,이름 변경,,,0,0,0
24,집사 이름 변경,,,0,0,0
25,UNKNOWN 접속하시겠습니까?,,,0,0,0
26,이 캐릭터로 접속하려면 이름을 변경해야 합니다. 새 이름을 정해 주십시오.,,,0,0,0
27,캐릭터 정보를 불러온 후에 이름을 변경하십시오.,,,0,0,0
28,"이름을 UNKNOWN
변경하시겠습니까?",,,0,0,0
29,집사의 이름을 UNKNOWN 변경하시겠습니까?,,,0,0,0
30,캐릭터 생성,,,0,0,0
31,캐릭터 생성을 종료합니다. 생성 중인 캐릭터 정보는 사라집니다. 계속하시겠습니까?,,,0,0,0
32,생성한 캐릭터로 게임을 시작하시겠습니까?,,,0,0,0
33,새 캐릭터를 생성하시겠습니까?,,,0,0,0
34,,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,현재 위치,,,0,0,0
37,별빛1월 UNKNOWN일,,,0,0,0
38,(UNKNOWN월 UNKNOWN일),,,0,0,0
39,,,,0,0,0
40,별빛1월,,,0,0,0
41,그림자1월,,,0,0,0
42,별빛2월,,,0,0,0
43,그림자2월,,,0,0,0
44,별빛3월,,,0,0,0
45,그림자3월,,,0,0,0
46,별빛4월,,,0,0,0
47,그림자4월,,,0,0,0
48,별빛5월,,,0,0,0
49,그림자5월,,,0,0,0
50,별빛6월,,,0,0,0
51,그림자6월,,,0,0,0
52,,,,0,0,0
53,별빛1월 UNKNOWN일,,,0,0,0
54,,,,0,0,0
55,,,,0,0,0
56,UNKNOWN,,,0,0,0
57,서버 목록을 불러옵니다.,,,0,0,0
58,서버 목록을 불러오지 못했습니다.,,,0,0,0
59,각 서버의 상황을 최신으로 갱신합니다. 갱신 후 UNKNOWN분 동안은 다시 갱신할 수 없습니다.,,,0,0,0
60,"더는 캐릭터를 보유할 수 없습니다. 새 캐릭터를 생성하려면 기존 캐릭터를 삭제해야 합니다.
삭제할 캐릭터를 선택한 다음, 세부 메뉴에서 삭제하십시오.",,,0,0,0
61,"전체 서버에서 보유할 수 있는 총 캐릭터 수의 상한에 도달하여, 새 캐릭터를 생성할 수 없습니다. 새 캐릭터를 생성하려면 기존 캐릭터를 삭제해야 합니다.
삭제할 캐릭터를 선택한 다음, 세부 메뉴에서 삭제하십시오.",,,0,0,0
62,이 서버에서 더는 캐릭터를 보유할 수 없습니다.,,,0,0,0
63,현재 이 서버는 신규 캐릭터 생성이 제한되어 있습니다. 생성 제한이 풀릴 때까지 기다리거나 다른 서버를 선택하십시오.,,,0,0,0
64,결제하신 서비스 상품에서는 이 캐릭터를 사용하실 수 없습니다.,,,0,0,0
65,"종족, 성별, 외모 및 이름을 한 번만 변경하실 수 있습니다.",,,0,0,0
66,캐릭터 정보를 불러온 후에 집사의 이름을 변경하십시오.,,,0,0,0
67,"종족과 성별, 외모를 변경하실 수 있습니다. (남은 시간: UNKNOWN분)",,,0,0,0
68,캐릭터가 '' 지역에 있으므로 접속할 수 없습니다.,,,0,0,0
69,"캐릭터가 '' 지역에 있으므로 종족과 성별, 외모를 변경할 수 없습니다.",,,0,0,0
70,이 캐릭터는 버전 1.0에서 이전된 캐릭터입니다. 접속하여 게임을 시작하려면 전투 클래스를 설정해야 합니다.,,,0,0,0
71,확인,,,0,0,0
72,취소,,,0,0,0
73,"초기 전투 클래스를  결정하셨습니다.
게임이 시작되는 도시는 입니다.",,,0,0,0
74,확인,,,0,0,0
75,취소,,,0,0,0
76,"이 캐릭터는 버전 1.0에서 이전된 캐릭터입니다. 접속하여 게임을 시작하려면 전투 클래스를 설정해야 하며, 이때 종족과 성별을 포함한 외모 및 이름을 한 번만 변경하실 수 있습니다.",,,0,0,0
77,지금 바로 편집,,,0,0,0
78,나중에 편집,,,0,0,0
79,캐릭터 재편집,,,0,0,0
80,저장한 외모를 이용해 새로 생성,,,0,0,0
81,외모 정보 저장,,,0,0,0
82,저장한 외모 정보 불러오기,,,0,0,0
83,"원활한 접속을 위해,
캐릭터 정보가 간략하게 표시됩니다.
캐릭터의 외모나 이름을 변경하려는 경우에는
세부 메뉴에서 '캐릭터 정보 불러오기'를
선택하세요.",,,0,0,0
84,"파이널판타지14의
세계에 오신 것을 환영합니다.
캐릭터를 생성하여 모험을 시작하세요.",,,0,0,0
85,확인,,,0,0,0
86,"파이널판타지14의 세계에 오신 것을 환영합니다.
캐릭터를 선택하거나 신규 캐릭터를 생성하여 모험을 시작하세요.
현재 선택된 서버 UNKNOWN에는 UNKNOWN명의 캐릭터가 있습니다. 서버를 변경하려면 서버 선택 버튼을 누르십시오.",,,0,0,0
87,확인,,,0,0,0
88,캐릭터 목록을 확인할 서버를 선택하십시오.,,,0,0,0
89,,,,0,0,0
90,,,,0,0,0
91,,,,0,0,0
92,,,,0,0,0
93,,,,0,0,0
94,,,,0,0,0
95,"UNKNOWN 접속합니다.

**이 캐릭터는 현재 고향 서버가 아닌 서버에 있습니다.
림사 로민사/그리다니아/울다하의 에테라이트 광장에서 에테라이트 메뉴 중 '다른 서버 방문'을 선택하면
고향 서버로 돌아갈 수 있습니다.**",,,0,0,0
96,"UNKNOWN 접속합니다.

**이 캐릭터는 현재 고향 서버와는 다른 데이터 센터에 있습니다.
고향 서버로 돌아가려면, 접속하기 전에 캐릭터 세부 메뉴에서 '고향 서버로 돌아가기'를 선택하십시오.**",,,0,0,0
97,,,,0,120,0
98,,,,0,0,0
99,"

초기 능력치: 힘 UNKNOWN/민첩성 UNKNOWN/활력 UNKNOWN/지능 UNKNOWN/정신력 UNKNOWN",,,0,0,0
100,? ? ?,,,0,0,0
101,종족 및 성별,種族,,0,0,0
102,부족,部族,,0,0,0
103,성별,性別,,0,0,0
104,외모,ルックス,,0,0,0
105,생일,誕生日,,0,0,0
106,수호신,守護神,,0,0,0
107,클래스,クラス,,0,0,0
108,고향 서버,ワールド,,0,0,0
109,이름,名前,,0,0,0
110,휴런 남,,"보통 체구를 가졌으며 에오르제아를 대표하는 민족.
먼 옛날에는 인구수가 그리 많지 않았으나, 민족 대이동을 세 번 거치면서
에오르제아에서 인구가 가장 많은 주요 민족이 되었다.
같은 민족이라 해도 출신지가 다양한 탓인지 동족 의식은 극히 희박하며,
개인의 자유를 중시하는 기질이 강하다.",0,0,0
111,,,,0,0,0
