key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
#,Item{TradeIn}[0],Item{TradeIn}[1],Item{TradeIn}[2],Item{TradeIn}[3],Item{TradeIn}[4],Item{TradeIn}[5],Item{TradeIn}[6],Item{TradeIn}[7],Item{TradeIn}[8],Item{TradeIn}[9],Item{TradeIn}[10],Item{TradeIn}[11],Item{TradeIn}[12],Item{TradeIn}[13],Item{TradeIn}[14],Item{TradeIn}[15],Level[0],Level[1],Level[2],Level[3],Level[4],Level[5],Level[6],Level[7],Level[8],Level[9],Level[10],Level[11],Level[12],Level[13],Level[14],Level[15],LevelMax[0],LevelMax[1],LevelMax[2],LevelMax[3],LevelMax[4],LevelMax[5],LevelMax[6],LevelMax[7],LevelMax[8],LevelMax[9],LevelMax[10],LevelMax[11],LevelMax[12],LevelMax[13],LevelMax[14],LevelMax[15],,,,,,,,,,,,,,,,,BaseCollectable{Rating}[0],BaseCollectable{Rating}[1],BaseCollectable{Rating}[2],BaseCollectable{Rating}[3],BaseCollectable{Rating}[4],BaseCollectable{Rating}[5],BaseCollectable{Rating}[6],BaseCollectable{Rating}[7],BaseCollectable{Rating}[8],BaseCollectable{Rating}[9],BaseCollectable{Rating}[10],BaseCollectable{Rating}[11],BaseCollectable{Rating}[12],BaseCollectable{Rating}[13],BaseCollectable{Rating}[14],BaseCollectable{Rating}[15],MidBaseCollectable{Rating}[0],MidBaseCollectable{Rating}[1],MidBaseCollectable{Rating}[2],MidBaseCollectable{Rating}[3],MidBaseCollectable{Rating}[4],MidBaseCollectable{Rating}[5],MidBaseCollectable{Rating}[6],MidBaseCollectable{Rating}[7],MidBaseCollectable{Rating}[8],MidBaseCollectable{Rating}[9],MidBaseCollectable{Rating}[10],MidBaseCollectable{Rating}[11],MidBaseCollectable{Rating}[12],MidBaseCollectable{Rating}[13],MidBaseCollectable{Rating}[14],MidBaseCollectable{Rating}[15],HighBaseCollectable{Rating}[0],HighBaseCollectable{Rating}[1],HighBaseCollectable{Rating}[2],HighBaseCollectable{Rating}[3],HighBaseCollectable{Rating}[4],HighBaseCollectable{Rating}[5],HighBaseCollectable{Rating}[6],HighBaseCollectable{Rating}[7],HighBaseCollectable{Rating}[8],HighBaseCollectable{Rating}[9],HighBaseCollectable{Rating}[10],HighBaseCollectable{Rating}[11],HighBaseCollectable{Rating}[12],HighBaseCollectable{Rating}[13],HighBaseCollectable{Rating}[14],HighBaseCollectable{Rating}[15],BaseCollectable{Reward}[0],BaseCollectable{Reward}[1],BaseCollectable{Reward}[2],BaseCollectable{Reward}[3],BaseCollectable{Reward}[4],BaseCollectable{Reward}[5],BaseCollectable{Reward}[6],BaseCollectable{Reward}[7],BaseCollectable{Reward}[8],BaseCollectable{Reward}[9],BaseCollectable{Reward}[10],BaseCollectable{Reward}[11],BaseCollectable{Reward}[12],BaseCollectable{Reward}[13],BaseCollectable{Reward}[14],BaseCollectable{Reward}[15],MidCollectable{Reward}[0],MidCollectable{Reward}[1],MidCollectable{Reward}[2],MidCollectable{Reward}[3],MidCollectable{Reward}[4],MidCollectable{Reward}[5],MidCollectable{Reward}[6],MidCollectable{Reward}[7],MidCollectable{Reward}[8],MidCollectable{Reward}[9],MidCollectable{Reward}[10],MidCollectable{Reward}[11],MidCollectable{Reward}[12],MidCollectable{Reward}[13],MidCollectable{Reward}[14],MidCollectable{Reward}[15]
int32,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward,HWDCrafterSupplyReward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28725,28733,28741,28749,28757,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
2,28726,28734,28742,28750,28758,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
3,28727,28735,28743,28751,28759,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
4,28728,28736,28744,28752,28760,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
5,28729,28737,28745,28753,28761,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
6,28730,28738,28746,28754,28762,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
7,28731,28739,28747,28755,28763,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
8,28732,28740,28748,28756,28764,0,0,0,0,0,0,0,0,0,0,0,20,40,60,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,90,300,550,1500,0,0,0,0,0,0,0,0,0,0,0,80,150,850,2450,2100,0,0,0,0,0,0,0,0,0,0,0,105,380,1320,3240,3500,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,15,0,0,0,0,0,0,0,0,0,0,0
