key,0,1
#,,
int32,byte,str
0,0,""
1,0,"추천 상품"
51,0,"온라인 전용 판매 의상"
52,0,"NPC 의상"
101,0,"파이널판타지13"
102,0,"강신제"
103,0,"발렌티온데이"
104,0,"프린세스데이"
105,0,"알 사냥 축제"
106,0,"불꽃축제"
107,0,"신생제"
108,0,"쌍달맞이"
109,0,"수호천절"
110,0,"별빛축제"
111,0,"골드 소서 축제"
151,0,"기타 이벤트"
201,0,"팬페스티벌 아이템"
202,0,"파이널판타지10"
203,0,"파이널판타지9"
1000,0,""
1001,0,""
1051,0,""
1101,0,""
1102,0,""
1103,0,""
1104,0,""
1105,0,""
1106,0,""
1151,0,""
1201,0,""
1202,0,""
1203,0,""
1204,0,""
1205,0,""
1206,0,""
1207,0,""
1208,0,""
1209,0,""
1210,0,""
2000,0,""
2001,0,"추천 상품"
2051,0,"온라인 전용 판매 의상"
2052,0,"NPC 의상"
2101,0,"파이널판타지13"
2102,0,"강신제"
2103,0,"발렌티온데이"
2104,0,"프린세스데이"
2105,0,"알 사냥 축제"
2106,0,"불꽃축제"
2107,0,"신생제"
2108,0,"쌍달맞이"
2109,0,"수호천절"
2110,0,"별빛축제"
2111,0,"골드 소서 축제"
2151,0,"기타 이벤트"
2201,0,"팬페스티벌 아이템"
2202,0,"파이널판타지10"
2251,0,"모조 제작자/채집가"
3000,0,""
3001,0,""
3051,0,""
3052,0,""
3101,0,""
3102,0,""
3103,0,""
3104,0,""
3105,0,""
3106,0,""
3107,0,""
3108,0,""
3109,0,""
3110,0,""
