#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
0,,,0,0,483,927,0,1,0,0,0,0,True
1,A　하얀 여울,A,10610,180,640,880,100,1,1,1,1,10,False
2,B　익몰해 01,B,10610,180,570,750,300,1,1,1,1,10,False
3,C　익몰해 02,C,27840,240,740,700,300,1,1,4,1,10,False
4,D　검은 해분,D,27840,240,400,850,500,1,1,4,2,10,False
5,E　익몰해 03,E,46660,300,650,610,200,1,1,7,2,11,False
6,F　리미라라 해구 남단,F,46660,300,850,850,600,1,1,7,3,11,False
7,G　우산 해협,G,75920,360,260,760,100,1,1,10,1,11,False
8,H　포로섬,H,102600,420,120,840,100,1,2,14,1,12,False
9,I　석인도,I,118350,420,380,660,100,1,2,17,1,12,False
10,J　이름 없는 침몰선,J,146210,480,900,600,600,1,2,20,3,12,False
11,K　쪽빛 여울,K,146210,480,520,550,300,1,2,20,6,12,False
12,L　신비로운 해분,L,174980,540,260,570,600,1,3,24,6,13,False
13,M　익몰해 04,M,200430,600,90,630,100,1,3,27,6,13,False
14,N　리미라라 해구 중턱,N,200430,600,800,550,400,1,3,27,6,13,False
15,O　발견호 잔해,O,231750,660,630,490,500,1,3,30,6,14,False
16,P　덤불 섬,P,231750,660,290,365,100,1,3,30,6,14,False
17,Q　금산도,Q,263530,720,115,350,0,1,4,34,6,14,False
18,R　해군의 비밀 항구,R,292170,780,150,540,600,1,4,37,6,15,False
19,S　익몰해 05,S,292170,780,320,230,200,1,4,37,6,15,False
20,T　연옥도,T,338330,840,130,180,100,1,4,40,6,15,False
21,U　익몰해 06,U,338330,840,465,330,100,1,4,40,6,15,False
22,V　리미라라 해구 급경사면,V,374020,900,555,225,600,1,5,44,6,16,False
23,W　익몰해 07,W,374020,900,710,370,300,1,5,44,6,16,False
24,X　빛모래 해분,X,406590,960,900,355,800,1,5,47,6,16,False
25,Y　저녁놀 열곡,Y,406590,960,210,90,100,1,5,47,6,16,False
26,Z　전진호 잔해,Z,440990,1020,430,100,1000,1,5,50,6,17,False
27,AA　용승하는 해역,AA,440990,1020,830,210,800,1,5,50,6,17,False
28,AB　리미라라 해구 최심부,AB,440990,1020,750,90,1000,1,5,50,6,17,False
29,AC　석조 사원터,AC,440990,1020,895,100,1000,1,5,50,6,17,False
30,AD　옛 보물고,AD,440990,1020,595,100,800,1,5,50,6,17,False
31,,,0,0,483,927,0,2,0,0,0,0,True
32,A　조조난 섬 남단,A,440990,480,290,750,100,2,1,50,6,12,False
33,B　풍운호 잔해,B,440990,480,150,840,100,2,1,50,6,12,False
34,C　조조난 섬 북단,C,480270,540,280,570,100,2,2,54,6,13,False
35,D　잿빛 바다 01,D,480270,540,430,660,300,2,2,54,6,13,False
36,E　화장로 해구 남단,E,522300,600,590,750,600,2,2,57,6,14,False
37,F　잿빛 바다 02,F,522300,600,180,440,300,2,2,57,6,14,False
