#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,SortKey,FontColor,Unknown3,Category,Unknown1,Unknown2
0,없음,0,0,0,0,0,0,0,0,0,True,True
1,,0,0,0,0,0,0,0,0,0,False,False
2,단색: 검은색,193002,1,0,0,0,1,1,0,1,True,True
3,단색: 흰색,193003,1,0,0,0,2,2,0,1,True,True
4,단색: 보라색,193004,1,0,0,0,5,1,0,1,True,True
5,그라데이션: 방어 역할,193005,1,0,0,0,6,1,0,1,True,True
6,그라데이션: 공격 역할,193006,1,0,0,0,8,1,0,1,True,True
7,그라데이션: 회복 역할,193007,1,0,0,0,7,1,0,1,True,True
8,단색: 상아색,193008,1,0,0,0,4,2,0,1,True,True
9,반투명,193009,1,0,0,0,10,1,0,1,True,True
10,단색: 베이지색,193010,1,0,0,0,3,2,0,1,True,True
11,그라데이션: 분홍,193011,1,0,0,0,9,2,0,1,True,True
12,,0,0,0,0,0,0,0,0,0,False,False
13,,0,0,0,0,0,0,0,0,0,False,False
14,,0,0,0,0,0,0,0,0,0,False,False
15,,0,0,0,0,0,0,0,0,0,False,False
16,,0,0,0,0,0,0,0,0,0,False,False
17,,0,0,0,0,0,0,0,0,0,False,False
18,,0,0,0,0,0,0,0,0,0,False,False
19,,0,0,0,0,0,0,0,0,0,False,False
20,,0,0,0,0,0,0,0,0,0,False,False
21,,0,0,0,0,0,0,0,0,0,False,False
22,,0,0,0,0,0,0,0,0,0,False,False
23,,0,0,0,0,0,0,0,0,0,False,False
24,,0,0,0,0,0,0,0,0,0,False,False
25,,0,0,0,0,0,0,0,0,0,False,False
26,,0,0,0,0,0,0,0,0,0,False,False
27,,0,0,0,0,0,0,0,0,0,False,False
28,,0,0,0,0,0,0,0,0,0,False,False
29,,0,0,0,0,0,0,0,0,0,False,False
30,,0,0,0,0,0,0,0,0,0,False,False
31,,0,0,0,0,0,0,0,0,0,False,False
32,,0,0,0,0,0,0,0,0,0,False,False
33,,0,0,0,0,0,0,0,0,0,False,False
34,,0,0,0,0,0,0,0,0,0,False,False
35,,0,0,0,0,0,0,0,0,0,False,False
36,,0,0,0,0,0,0,0,0,0,False,False
37,,0,0,0,0,0,0,0,0,0,False,False
38,,0,0,0,0,0,0,0,0,0,False,False
39,,0,0,0,0,0,0,0,0,0,False,False
40,,0,0,0,0,0,0,0,0,0,False,False
41,,0,0,0,0,0,0,0,0,0,False,False
42,,0,0,0,0,0,0,0,0,0,False,False
43,,0,0,0,0,0,0,0,0,0,False,False
44,,0,0,0,0,0,0,0,0,0,False,False
45,,0,0,0,0,0,0,0,0,0,False,False
46,,0,0,0,0,0,0,0,0,0,False,False
47,,0,0,0,0,0,0,0,0,0,False,False
48,,0,0,0,0,0,0,0,0,0,False,False
49,,0,0,0,0,0,0,0,0,0,False,False
50,,0,0,0,0,0,0,0,0,0,False,False
51,,0,0,0,0,0,0,0,0,0,False,False
52,,0,0,0,0,0,0,0,0,0,False,False
53,,0,0,0,0,0,0,0,0,0,False,False
54,절 바하무트 토벌전,193701,319,0,0,0,2500,1,0,4,True,True
55,절 알테마 웨폰 파괴작전,193702,320,0,0,0,2501,1,0,4,True,True
56,절 알렉산더 토벌전,193703,321,0,0,0,2502,2,0,4,True,True
57,절 용시전쟁,193704,322,0,0,0,2503,1,0,4,True,True
58,오미크론족 '라스트 렘넌트',193966,344,0,0,0,2315,1,0,3,True,True
59,커피 타임,193012,1,0,0,0,11,1,0,1,True,True
60,기하학 모양: 원,193013,1,0,0,0,12,1,0,1,True,True
61,음악,193014,347,0,0,0,13,1,0,7,True,True
62,동방풍,193015,1,0,0,0,14,1,0,1,True,True
63,픽시족 '꿈나라 요정',193962,429,0,0,0,2311,1,0,3,True,True
64,키타리족 '루리 발굴대',193963,430,0,0,0,2312,1,0,3,True,True
65,드워프족 '와츠의 망치 작업장',193964,431,0,0,0,2313,1,0,3,True,True
66,아르카소다라족 '하마운송',193965,432,0,0,0,2314,1,0,3,True,True
67,레포릿족 '꿈꾸는 체험관',193967,433,0,0,0,2316,1,0,3,True,True
68,절 오메가 검증전,193705,434,0,0,0,2504,1,0,4,True,True
