#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,삭제된 전략적 대화,783,0,0,0
1,안녕하세요,9901,11030,1,1
2,수고하셨습니다,9902,11031,2,2
3,감사합니다,9903,11032,3,3
4,잘하셨어요,9904,11033,4,5
5,PvP 보조 기술 1,9927,11034,0,6
6,리미트 브레이크,9906,11035,6,23
7,공격 상자,9907,11036,0,10
8,방어 상자,9908,11037,0,11
9,아드레날린 단지,9909,11038,0,12
10,목표: 늑대심장 상자,9910,11039,0,13
11,공격: 방어 역할,9911,11040,0,14
12,공격: 회복 역할,9912,11041,0,15
13,공격: 근거리 공격 역할,9913,11042,0,16
14,공격: 원거리 공격 역할,9914,11043,0,17
15,속박: 방어 역할,9915,11044,0,19
16,속박: 회복 역할,9916,11045,0,20
17,속박: 근거리 공격 역할,9917,11046,0,21
18,속박: 원거리 공격 역할,9918,11047,0,22
19,메달 주울게요,9919,11048,0,24
20,메달 주워주세요,9920,11049,0,25
21,전원 공격,9921,11050,21,53
22,전원 후퇴,9922,11051,22,55
23,MP 잔량,9923,11052,23,22
24,TP 잔량,9924,11053,0,9
25,대상 공격,9925,11054,25,50
26,대상 방해,9926,11055,26,51
27,PvP 보조 기술 2,9928,11056,0,7
28,집중 공격 개시,9935,11057,0,28
29,집중 공격 중지,9936,11058,0,29
30,죄송합니다,9965,11713,30,4
31,자신 전진,9966,11714,31,40
32,자신 후퇴,9967,11715,32,41
33,전술 크리스탈 운반,9968,11716,33,56
34,전술 크리스탈 운반 요청,9969,11717,34,57
35,대상 지원,9964,11718,35,52
36,리미트 브레이크 실행,9970,14904,36,24
37,집합,9971,14905,37,54
38,정화,9905,11034,0,20
39,방어,9972,11034,39,21
