#,Name,Description,Score,IsVisible
0,,,0,False
1,누구보다 빠르게,이상적 기록보다 빨리 완료,15000,True
2,시간의 수호자,표준 기록보다 빨리 완료,5000,True
3,10개면 충분해,2종류 이상 10종류 이하의 청마법을 사용,3000,True
4,4개면 충분해,2종류 이상 4종류 이하의 청마법을 사용,10000,True
5,나는 무적이다,받은 피해 0,20000,True
6,공격은 최선의 방어,회복량 0,15000,True
7,시전방해꾼,적의 시전을 중단시킴,1000,True
8,뚜벅이,전력 질주 사용 안 함,3000,True
9,불의 지배자,불속성과 무속성 청마법만 사용,10000,True
10,물의 지배자,물속성과 무속성 청마법만 사용,10000,True
11,땅의 지배자,땅속성과 무속성 청마법만 사용,10000,True
12,바람의 지배자,바람속성과 무속성 청마법만 사용,10000,True
13,얼음의 지배자,얼음속성과 무속성 청마법만 사용,10000,True
14,번개의 지배자,번개속성과 무속성 청마법만 사용,10000,True
15,원소의 지배자,"불, 얼음, 바람, 땅, 번개, 물의 공격 속성을 사용",15000,True
16,기술의 지배자,"불, 얼음, 바람, 땅, 번개, 물, 베기, 찌르기, 타격의 공격 속성을 사용",20000,True
17,약화 전문가,적에게 6종류 이상의 약화 효과를 부여,5000,True
18,약화의 달인,적에게 9종류 이상의 약화 효과를 부여,12000,True
19,근육의 지배자,물리 공격 유형의 청마법만 사용,15000,True
20,상급 마도사,4등급과 5등급의 청마법만 사용,15000,True
21,초보 마도사,1등급과 2등급의 청마법만 사용,15000,True
22,4개의 얼굴,얼굴에서 발사되는 청마법을 4종류 이상 사용,10000,True
23,아마지나의 지배자,,20000,False
24,얍삽이,,-30000,False
25,야만신,,20000,False
26,거인 사냥꾼,,50000,False
27,문어발 애호가,,50000,False
28,완벽한 청마도사,,80000,False
29,8개의 얼굴,얼굴에서 발사되는 청마법을 8종류 이상 사용,20000,True
30,치유의 지배자,"폼폼 케알, 허물 벗기, 하얀 바람을 사용",10000,True
31,알렉산더광,,25000,False
32,청린의 마도사,,80000,False
33,진파랑,,80000,False
34,금빛 청마도사,,80000,False
