#,Expac,Unknown0
0,,0
1,창천의 이슈가르드,2
2,홍련의 해방자,3
3,칠흑의 반역자,4
4,레이드,1
5,연합 레이드,2
6,토벌전,3
7,힐디브랜드,1
8,성 앙달림 신학원기,3
9,주요 퀘스트 번외편,2
10,목수,1
11,대장장이,2
12,갑주제작사,3
13,보석공예가,4
14,가죽공예가,5
15,재봉사,6
16,연금술사,7
17,요리사,8
18,광부,1
19,원예가,2
20,어부,3
21,검술사/나이트,1
22,도끼술사/전사,2
23,환술사/백마도사,1
24,비술사/소환사,22
25,격투사/몽크,1
26,창술사/용기사,2
27,쌍검사/닌자,3
28,궁술사/음유시인,11
29,주술사/흑마도사,21
30,신생 에오르제아,1
31,암흑기사,3
32,건브레이커,4
33,학자,2
34,점성술사,3
35,사무라이,4
36,기공사,12
37,무도가,13
38,,0
39,적마도사,23
40,청마도사(리미티드 잡),99
41,방어 역할,0
42,회복 역할,0
43,공격 역할,0
44,역할 퀘스트 외전,5
45,보이드 재생 계획,6
46,효월의 종언,5
47,현자,4
48,리퍼,5
49,변형 던전,7
50,제7재해 회고록,8
51,타타루의 대박 상점,9
52,황금의 유산,6
53,바이퍼,6
54,픽토맨서,24
55,역할 퀘스트 도입,4
