#,Singular,Plural,Description,Name,Unknown_70_1,Unknown_70_2,Unknown_70_3,Unknown_70_4,Unknown_70_5,Unknown_70_6,Unknown_70_7,Icon,Unknown_70_8,Style
0,,,,,0,0,0,1,0,0,0,0,0,-1
1,타원형 안경,,고유색 얼굴 소품,타원형 안경,0,0,0,1,0,0,71037,200049,0,0
2,은색 타원형 안경,,은색 얼굴 소품,은색 타원형 안경,0,0,0,1,0,0,136573,200053,0,0
3,금색 타원형 안경,,금색 얼굴 소품,금색 타원형 안경,0,0,0,1,0,0,202109,200052,0,0
4,검은색 타원형 안경,,검은색 얼굴 소품,검은색 타원형 안경,0,0,0,1,0,0,267645,200054,0,0
5,흰색 타원형 안경,,흰색 얼굴 소품,흰색 타원형 안경,0,0,0,1,0,0,333181,200059,0,0
6,회색 타원형 안경,,회색 얼굴 소품,회색 타원형 안경,0,0,0,1,0,0,398717,200050,0,0
7,빨간색 타원형 안경,,빨간색 얼굴 소품,빨간색 타원형 안경,0,0,0,1,0,0,464253,200057,0,0
8,파란색 타원형 안경,,파란색 얼굴 소품,파란색 타원형 안경,0,0,0,1,0,0,529789,200056,0,0
9,초록색 타원형 안경,,초록색 얼굴 소품,초록색 타원형 안경,0,0,0,1,0,0,595325,200060,0,0
10,구리색 타원형 안경,,구리색 얼굴 소품,구리색 타원형 안경,0,0,0,1,0,0,660861,200051,0,0
11,보라색 타원형 안경,,보라색 얼굴 소품,보라색 타원형 안경,0,0,0,1,0,0,726397,200055,0,0
12,갈색 타원형 안경,,갈색 얼굴 소품,갈색 타원형 안경,0,0,0,1,0,0,791933,200058,0,0
13,검은알 안경,,고유색 얼굴 소품,검은알 안경,0,0,0,1,0,0,71038,200085,0,1
14,은색 검은알 안경,,은색 얼굴 소품,은색 검은알 안경,0,0,0,1,0,0,136574,200089,0,1
15,금색 검은알 안경,,금색 얼굴 소품,금색 검은알 안경,0,0,0,1,0,0,202110,200088,0,1
16,검은색 검은알 안경,,검은색 얼굴 소품,검은색 검은알 안경,0,0,0,1,0,0,267646,200090,0,1
17,흰색 검은알 안경,,흰색 얼굴 소품,흰색 검은알 안경,0,0,0,1,0,0,333182,200095,0,1
18,회색 검은알 안경,,회색 얼굴 소품,회색 검은알 안경,0,0,0,1,0,0,398718,200086,0,1
19,빨간색 검은알 안경,,빨간색 얼굴 소품,빨간색 검은알 안경,0,0,0,1,0,0,464254,200093,0,1
20,파란색 검은알 안경,,파란색 얼굴 소품,파란색 검은알 안경,0,0,0,1,0,0,529790,200092,0,1
21,초록색 검은알 안경,,초록색 얼굴 소품,초록색 검은알 안경,0,0,0,1,0,0,595326,200096,0,1
