#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,,,,,,0,0,0,0,0,0,0
1,"/다시보기
임무 다시보기 메뉴를 엽니다.",/다시보기,,/record,,0,32,1,0,0,0,0
2,"/다시보기준비 보조명령어
다시보기 준비 확인을 합니다.
>>보조명령어
""시간(5-30)""
　…다시보기 준비 확인을 실행하여 전원이 '예'를 누르면 지정한 시간으로 전투 시작 초읽기를 시작합니다. 다시보기 녹화 동의가 완료된 후에 사용하면 일반 준비 확인과 전투 시작 초읽기를 실행합니다.
※ 보조명령어 생략
　…다시보기 준비 확인 메뉴를 엽니다.",/다시보기준비,,/recordready,,0,0,2,1,0,0,0
3,"/팀메뉴
PvP팀 메뉴를 엽니다.",/팀메뉴,,/pvpteamcmd,,0,0,1,0,0,0,0
4,"/초코보가방
초코보 가방 메뉴를 엽니다.",/초코보가방,,/saddlebag,,0,0,1,0,0,0,0
5,"/마정오
마정반을 시계방향으로 돌립니다.",/마정오,,/magiaright,,0,0,1,0,0,0,0
6,"/마정왼
마정반을 반시계방향으로 돌립니다.",/마정왼,,/magialeft,,0,0,1,0,0,0,0
7,"/서버초월링크셸명령(/서초링명령)
서버 초월 링크셸 메뉴를 엽니다.",/서버초월링크셸명령,/서초링명령,/cwlinkshellcmd,/cwlcmd,0,0,1,0,0,0,0
8,"/전략적대화(/전략) ""전략적 대화 이름"" ""대명사""
전략적 대화를 출력합니다.
※ 크리스탈라인 컨플릭트에서만 사용할 수 있습니다.
용례
/전략적대화 ""전원 공격""
　…""공격하세요!""를 출력합니다.
/전략적대화 ""대상 공격"" <t>
　…선택한 대상에 대해 ""[직업 이름] 공격합니다!""를 출력합니다.",/전략적대화,/전략,/quickchat,/qchat,0,1021,3,1,17,0,0
9,"/청마도서 보조명령어
활성 기술로 사용할 청마법을 설정합니다.
>>보조명령어
설정(set) ""청마법 이름"" 켜기(on)
　…지정한 청마법을 활성 기술에 등록합니다.
설정(set) ""청마법 이름"" 끄기(off)
　…지정한 청마법울 활성 기술에서 해제합니다.
사전설정(preset) 활성 기술 세트 번호 (1-5)
　…지정한 번호의 활성 기술 세트로 변경합니다.
해제(clear)
　…현재 활성 기술 세트에 등록된 기술을 모두 해제합니다.
※ 보조명령어 생략
　…청마도서 메뉴를 엽니다.

용례
/청마도서 설정 ""물대포""
　…청마법 '물대포'를 활성 기술로 등록 또는 해제합니다.
/청마도서 사전설정 2
　…활성 기술 세트 2로 변경합니다.",/청마도서,,/bluespellbook,,0,36,4,3,2,18,2
10,"/마정반공격 ""대명사""
마정반 속성을 선택한 대상의 취약 속성으로 변경합니다. 대명사는 생략할 수 있습니다.

용례
/마정반공격 <t>
　…마정반 속성을 선택한 대상의 취약 속성으로 변경합니다.",/마정반공격,,/magiaattack,,0,0,2,1,2,0,0
11,"/마정반방어 ""대명사""
마정반 속성을 선택한 대상과 같은 속성으로 변경합니다. 대명사는 생략할 수 있습니다.

용례
/마정반방어 <t>
　…마정반 속성을 선택한 대상과 같은 속성으로 변경합니다.",/마정반방어,,/magiadefense,,0,0,2,1,2,0,0
12,"/마정반자동 보조명령어
마정반 속성 자동 변경 설정을 실행합니다. 자동 변경 설정이 켜져 있으면, 대상을 선택할 때 마정반 속성이 자동으로 변경됩니다.
>>보조명령어
공격(atk)
　…공격 속성으로 자동 변경합니다.
방어(def)
　…방어 속성으로 자동 변경합니다.
끄기(off)
　…자동 변경 설정을 해제합니다.
※ 보조명령어 생략
　…위 보조명령어 순서대로 설정을 변경합니다.

용례
/마정반자동 공격
　…적 대상 선택 시, 마정반을 공격 속성으로 자동 변경합니다.",/마정반자동,,/magiaauto,,0,0,2,1,2,0,0
13,"/서초링1(/서) 내용
서버 초월 링크셸 [1]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링1만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [1]로 변경합니다.

용례
/서초링1 안녕하세요.
　…서버 초월 링크셸 [1]에 ""안녕하세요.""라고 말합니다.
/서초링1
　…기본 대화 방식을 서버 초월 링크셸 [1]로 변경합니다.",/서초링1,/서1,/cwlinkshell1,/cwl1,0,1021,1,0,0,0,0
14,"/서초링2(/서2) 내용
서버 초월 링크셸 [2]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링2만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [2]로 변경합니다.

용례
/서초링2 안녕하세요.
　…서버 초월 링크셸 [2]에 ""안녕하세요.""라고 말합니다.
/서초링2
　…기본 대화 방식을 서버 초월 링크셸 [2]로 변경합니다.",/서초링2,/서2,/cwlinkshell2,/cwl2,0,1021,1,0,0,0,0
15,"/서초링3(/서3) 내용
서버 초월 링크셸 [3]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링3만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [3]으로 변경합니다.

용례
/서초링3 안녕하세요.
　…서버 초월 링크셸 [3]에 ""안녕하세요.""라고 말합니다.
/서초링3
　…기본 대화 방식을 서버 초월 링크셸 [3]으로 변경합니다.",/서초링3,/서3,/cwlinkshell3,/cwl3,0,1021,1,0,0,0,0
16,"/서초링4(/서4) 내용
서버 초월 링크셸 [4]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링4만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [4]로 변경합니다.

용례
/서초링4 안녕하세요.
　…서버 초월 링크셸 [4]에 ""안녕하세요.""라고 말합니다.
/서초링4
　…기본 대화 방식을 서버 초월 링크셸 [4]로 변경합니다.",/서초링4,/서4,/cwlinkshell4,/cwl4,0,1021,1,0,0,0,0
17,"/서초링5(/서5) 내용
서버 초월 링크셸 [5]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링5만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [5]로 변경합니다.

용례
/서초링5 안녕하세요.
　…서버 초월 링크셸 [5]에 ""안녕하세요.""라고 말합니다.
/서초링5
　…기본 대화 방식을 서버 초월 링크셸 [5]로 변경합니다.",/서초링5,/서5,/cwlinkshell5,/cwl5,0,1021,1,0,0,0,0
18,"/서초링6(/서6) 내용
서버 초월 링크셸 [6]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링6만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [6]으로 변경합니다.

용례
/서초링6 안녕하세요.
　…서버 초월 링크셸 [6]에 ""안녕하세요.""라고 말합니다.
/서초링6
　…기본 대화 방식을 서버 초월 링크셸 [6]으로 변경합니다.",/서초링6,/서6,/cwlinkshell6,/cwl6,0,1021,1,0,0,0,0
19,"/서초링7(/서7) 내용
서버 초월 링크셸 [7]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링7만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [7]로 변경합니다.

용례
/서초링7 안녕하세요.
　…서버 초월 링크셸 [7]에 ""안녕하세요.""라고 말합니다.
/서초링7
　…기본 대화 방식을 서버 초월 링크셸 [7]로 변경합니다.",/서초링7,/서7,/cwlinkshell7,/cwl7,0,1021,1,0,0,0,0
20,"/서초링8(/서8) 내용
서버 초월 링크셸 [8]에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링8만 입력한 경우에는 기본 대화 방식을 서버 초월 링크셸 [8]로 변경합니다.

용례
/서초링8 안녕하세요.
　…서버 초월 링크셸 [8]에 ""안녕하세요.""라고 말합니다.
/서초링8
　…기본 대화 방식을 서버 초월 링크셸 [8]로 변경합니다.",/서초링8,/서8,/cwlinkshell8,/cwl8,0,1021,1,0,0,0,0
21,"/그래픽간단설정 번호
그래픽 설정을 지정한 번호의 간단 설정으로 변경합니다.

>>번호(1-5)
1: 표준품질(Mac)
2: 중상 품질(Mac)
3: 고품질(Mac)
4: 특 고품질(Mac)
5: 최고품질(Mac)

용례
/그래픽간단설정 1
　…그래픽 설정을 '표준품질(Mac)'로 변경합니다.
/그래픽간단설정 3
　…그래픽 설정을 '고품질(Mac)'로 변경합니다.",/그래픽간단설정,,/graphicpresets,/gpresets,0,993,2,0,0,0,0
22,"/동아리
동아리 메뉴를 엽니다.",/동아리,,/fellowship,/fs,0,32,1,0,0,0,0
23,"/동아리찾기(/동찾)
동아리 모집 메뉴를 엽니다.",/동아리찾기,/동찾,/fellowshipfinder,/fsfinder,0,32,1,0,0,0,0
24,"/중요아이템(/중요)
중요 아이템 메뉴를 엽니다.",/중요아이템,/중요,/collection,/coll,0,32,1,0,0,0,0
25,"/임무다시하기(/임무다시)
임무 다시하기 메뉴를 엽니다.",/임무다시하기,/임무다시,/newgame+,/ng+,0,32,1,0,0,0,0
26,"/대화주사위 대화방식 최대치
주사위를 굴려 무작위로 선택된 숫자를 특정 대화 방식으로 표시합니다.
>>유효한 대화 방식
파티(party)
연합파티(연합, alliance)
자유부대(부대, freecompany)
pvp팀(pvpteam)
링크셸1-링크셸8(링1-링8, linkshell1-linkshell8)
서초링1-서초링8(cwlinkshell1-cwlinkshell8)
대화 방식을 생략할 경우, 위의 대화 방식 중 활성화되어 있는 대화 방식으로 표시됩니다.
※ 매크로로 설정할 때에는 대화 방식을 생략할 수 없습니다.
※ 귓속말, 말하기, 떠들기, 외치기로는 이 명령어를 사용할 수 없습니다.

>>최대치(2-999)
무작위로 선택할 숫자 범위를 지정합니다. 1부터 최대치 사이에서 숫자가 선택되며, 최대치를 생략하면 0~999 범위에서 숫자가 선택됩니다.

용례
/대화주사위
　…유효한 대화 방식이 활성화되어 있을 경우, 0부터 999까지의 숫자 중에서 주사위 결과를 표시합니다.
/대화주사위 16
　…유효한 대화 방식이 활성화되어 있을 경우, 1부터 16까지의 숫자 중에서 주사위 결과를 표시합니다.
/대화주사위 서초링1
　…서버 초월 링크셸 [1]에 0~999 범위의 주사위 결과를 표시합니다.
/대화주사위 서초링1 16
　…서버 초월 링크셸 [1]에 1~16 범위의 주사위 결과를 표시합니다.",/대화주사위,,/dice,,1000,36,2,1,2,0,0
27,,,,,,0,0,0,0,0,0,0
28,"/이름표시 대상 번호
플레이어의 이름 표시 설정을 변경합니다.
>>대상
모두(all)
　…모든 플레이어
자신(self)
　…자신
파티(party)
　…파티원
연합(alliance)
　…연합 파티원
기타(other)
　…기타 플레이어
친구(friend)
　…친구
피스트(feast)
　…크리스탈라인 컨플릭트의 적군

>>번호(1-5)
1: 항상 표시
2: 전투 시 표시
3: 대상 지정 시 표시
4: 표시하지 않음
5: 비전투 시 표시

용례
/이름표시 모두 4
　…'모든 플레이어'의 이름 표시 설정을 '표시하지 않음'으로 설정합니다.",/이름표시,,/nameplatedisp,,0,36,3,1,2,0,0
29,"/패션 ""패션 소품 이름""
지정한 패션 소품을 사용합니다.

용례
/패션 우산
　…패션 소품 '우산'을 씁니다.
/패션 ""하늘색 우산""
　…패션 소품 '하늘색 우산'을 씁니다.",/패션,,/fashion,,0,36,2,1,20,0,0
30,"/패션목록
패션 소품 목록을 엽니다.",/패션목록,,/fashionguide,,0,32,1,0,0,0,0
31,"/공식홈페이지(/공홈)
공식 홈페이지 메뉴를 엽니다.",/공식홈페이지,/공홈,/officialsite,/site,0,32,1,0,0,0,0
32,"//setGearset
リアルイベント用コマンド。
アーマリーチェスト内のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。",,,//setGearset,,0,32,1,0,0,0,0
33,"/소환수외형(/에기외형)  ""소환수 이름"" ""외형 이름""
다음부터 소환하는 소환수의 외형을 변경합니다.
단, PvP 임무 중에는 적용되지 않습니다.
>>소환수 이름
""카벙클""
""가루다 에기""
""타이탄 에기""
""이프리트 에기""
""요정 에오스""
>>외형 이름
""카벙클""
""카벙클 에메랄드""
""카벙클 토파즈""
""카벙클 루비""
""이프리트 에기""
""타이탄 에기""
""가루다 에기""
""요정 셀레네""
※ 외형 이름 생략(clear)
  …소환수의 모습을 원래대로 되돌립니다.
※ 보조명령어 생략
  …소환수 외형 설정 상태가 대화창에 표시됩니다.

  용례
/소환수외형 ""가루다 에기"" ""카벙클 루비""
  …가루다 에기의 외형을 카벙클 루비로 변경합니다./소환수외형 ""가루다 에기""
  …가루다 에기의 외형을 원래대로 되돌립니다.
/소환수외형
  …소환수 외형 설정 상태를 대화창에 표시합니다.",/소환수외형,/에기외형,/petmirage,,0,36,3,2,7,15,0
34,"/소환수크기 ""소환수 이름"" 크기
자신의 화면에 보이는 소환수의 크기를 변경합니다.
이 설정은 PvP 임무에는 적용되지 않습니다.
다른 플레이어의 화면에는 반영되지 않습니다.

>>소환수 이름
""데미바하무트""
""데미피닉스""
""이프리트 루비""
""타이탄 토파즈""
""가루다 에메랄드""
""솔 바하무트""
""모두""(all)

>>크기
대(large)
　…크기를 대형으로 변경합니다.
중(medium)
　…크기를 중형으로 변경합니다.
소(small)
　…크기를 소형으로 변경합니다.
※ 크기 생략
   …""소→중→대"" 순서로 크기를 변경합니다. 소환수 이름을 ""모두""로 지정한 경우, 오류 메시지를 출력합니다.

용례
/소환수크기 ""데미바하무트"" 중
　…데미바하무트 크기를 중형으로 변경합니다.
/소환수크기 ""모두"" 소
　…모든 소환수 크기를 소형으로 변경합니다.",/소환수크기,,/petsize,,0,36,3,2,7,2,0
35,"/같이타기(/합승) 대명사 번호
선택한 파티원의 다인승 탈것에 올라탑니다.

>>번호(1-7)
자신이 탈 자리를 번호로 지정합니다. 지정한 자리에 이미 다른 파티원이 앉아 있다면 비어 있는 자리에 앉습니다. 생략할 경우, 1번 자리에 탑승을 시도합니다.

용례
/같이타기 <2> 1
　…2번 파티원의 탈것 1번 자리에 앉습니다.",/같이타기,/합승,/ridepillion,,0,36,3,0,0,0,0
36,"/업데이트노트
공식 홈페이지의 업데이트 노트 페이지를 엽니다.
※ 웹브라우저를 실행합니다.",/업데이트노트,,/patchnote,,1000,32,1,0,0,0,0
37,"/초상화
초상화 편집 메뉴를 엽니다.",/초상화,,/portrait,,0,32,1,0,0,0,0
38,"/모험가카드(/내카드)
자신의 모험가 카드를 엽니다.",/모험가카드,/내카드,/adventurerplate,/myplate,0,32,1,0,0,0,0
39,"/오클플 보조명령어
캐릭터 설정의 '오른쪽 클릭으로 선택 시 플레이어 제외' 설정을 전환합니다.
>>보조명령어
켜기(on)
　…제외 설정을 켭니다.
끄기(off)
　…제외 설정을 끕니다.
※ 보조명령어 생략
　…제외 설정을 끄거나 켭니다.",/오클플,,/rclickpc,,0,36,2,1,2,0,0
40,"/오클적 보조명령어
캐릭터 설정의 '오른쪽 클릭으로 선택 시 적/아군 NPC 제외' 설정을 전환합니다.
>>보조명령어
켜기(on)
　…제외 설정을 켭니다.
끄기(off)
　…제외 설정을 끕니다.
※ 보조명령어 생략
　…제외 설정을 끄거나 켭니다.",/오클적,,/rclickbattlenpc,,0,36,2,1,2,0,0
41,"/오클꼬 보조명령어
캐릭터 설정의 '오른쪽 클릭으로 선택 시 꼬마 친구 제외' 설정을 전환합니다.
>>보조명령어
켜기(on)
　…제외 설정을 켭니다.
끄기(off)
　…제외 설정을 끕니다.
※ 보조명령어 생략
　…제외 설정을 끄거나 켭니다.",/오클꼬,,/rclickminion,,0,36,2,1,2,0,0
42,"/얼굴소품 ""얼굴 소품 이름""
지정한 얼굴 소품을 사용합니다.

용례
/얼굴소품 ""타원형 안경""
　…얼굴 소품 '타원형 안경'을 씁니다.",/얼굴소품,,/facewear,,0,36,2,1,21,0,0
43,"/대화차단목록
대화 차단 목록 메뉴를 엽니다.",/대화차단목록,,/mutelist,,0,32,1,0,0,0,0
44,"/단어필터
단어 필터 메뉴를 엽니다.",/단어필터,,/termfilter,,0,32,1,0,0,0,0
45,"/얼굴소품목록
얼굴 소품 메뉴를 엽니다.",/얼굴소품목록,,/facewearlist,,0,32,1,0,0,0,0
46,"/시각적음향 보조명령어
시스템 설정 '시각적 음향 표현'을 설정합니다.
>>보조명령어
켜기 (on)
　…시각적 표현을 켭니다.
끄기 (off)
　…시각적 표현을 끕니다.
※ 보조명령어 생략
　…기능 켜기/끄기를 전환합니다.",/시각적음향,,/visualalerts,,0,509,2,1,2,0,0
47,"/색각보정 보조명령어
시스템 설정 '색각 보정 활성화 / 비활성화'를 설정합니다.
>>보조명령어
켜기 (on)
　…색각 보정을 킵니다.
끄기 (off)
　…색각 보정을 끕니다.
※ 보조명령어 생략
　…기능 켜기/끄기를 전환합니다.",/색각보정,,/colorfiltering,,0,509,2,1,2,0,0
48,"/대상자동선택 보조명령어
사용자 인터페이스 설정의 '적대 기술 실행 시 대상 자동 선택'을 설정합니다.
>>보조명령어
켜기 (on)
　…대상 자동 선택을 켭니다.
끄기 (off)
　…대상 자동 선택을 끕니다.
※ 보조명령어 생략
　…기능 켜기/끄기를 전환합니다.",/대상자동선택,,/autotargetpriority,,0,36,2,1,2,0,0
49,"/비에라귀 보조명령어
비에라의 귀 표시 설정을 변경합니다.
※ 귀 표시에 대응하는 장비에 반영됩니다.
>>보조명령어
켜기(on)
　…귀가 표시됩니다.
끄기(off)
　…귀가 표시되지 않습니다.
※ 보조명령어 생략
　…귀 표시 설정을 끄거나 켭니다.",/비에라귀,,/vieraears,/vears,0,36,2,1,2,0,0
50,"/빠른메뉴
빠른 메뉴를 엽니다.",/빠른메뉴,,/quickpanel,,0,32,1,0,0,0,0
51,"/전략게시판
전략 게시판 메뉴를 엽니다.",/전략게시판,,/strategyboard,,0,32,1,0,0,0,0
52,,,,,,0,0,0,0,0,0,0
53,,,,,,0,0,0,0,0,0,0
54,,,,,,0,0,0,0,0,0,0
55,,,,,,0,0,0,0,0,0,0
56,,,,,,0,0,0,0,0,0,0
57,,,,,,0,0,0,0,0,0,0
58,,,,,,0,0,0,0,0,0,0
59,,,,,,0,0,0,0,0,0,0
60,,,,,,0,0,0,0,0,0,0
61,,,,,,0,0,0,0,0,0,0
62,,,,,,0,0,0,0,0,0,0
63,,,,,,0,0,0,0,0,0,0
64,,,,,,0,0,0,0,0,0,0
65,,,,,,0,0,0,0,0,0,0
66,,,,,,0,0,0,0,0,0,0
67,,,,,,0,0,0,0,0,0,0
68,,,,,,0,0,0,0,0,0,0
69,,,,,,0,0,0,0,0,0,0
70,,,,,,0,0,0,0,0,0,0
71,,,,,,0,0,0,0,0,0,0
72,,,,,,0,0,0,0,0,0,0
73,,,,,,0,0,0,0,0,0,0
74,,,,,,0,0,0,0,0,0,0
75,,,,,,0,0,0,0,0,0,0
76,,,,,,0,0,0,0,0,0,0
77,,,,,,0,0,0,0,0,0,0
78,,,,,,0,0,0,0,0,0,0
79,,,,,,0,0,0,0,0,0,0
80,,,,,,0,0,0,0,0,0,0
81,,,,,,0,0,0,0,0,0,0
82,,,,,,0,0,0,0,0,0,0
83,,,,,,0,0,0,0,0,0,0
84,,,,,,0,0,0,0,0,0,0
85,,,,,,0,0,0,0,0,0,0
86,,,,,,0,0,0,0,0,0,0
87,,,,,,0,0,0,0,0,0,0
88,,,,,,0,0,0,0,0,0,0
89,,,,,,0,0,0,0,0,0,0
90,,,,,,0,0,0,0,0,0,0
91,"/대인팀(/팀) 내용
같은 PvP팀 소속 플레이어에게 거리, 지역에 상관없이 내용을 보냅니다.
'/대인팀(/팀)'만 입력하면 기본 대화 방식을 PvP팀으로 변경합니다.

용례
/대인팀 안녕하세요.
　…PvP팀 팀원들에게 '안녕하세요.'라고 보냅니다.
/대인팀
　…기본 대화 방식을 PvP팀으로 변경합니다.",/대인팀,/팀,/pvpteam,/pt,0,1021,1,0,0,0,0
92,"/서초링(/서) 내용
현재 활성화된 서버 초월 링크셸에 참가 중인 플레이어에게 거리나 지역에 상관없이 이야기합니다.
/서초링(/서)만 입력한 경우에는 기본 대화 방식을 활성화된 서버 초월 링크셸로 변경합니다.

용례
/서초링 안녕하세요.
　…현재 활성화된 서버 초월 링크셸에 ""안녕하세요.""라고 말합니다.
/서초링
　…기본 대화 방식을 활성화된 서버 초월 링크셸로 변경합니다.",/서초링,/서,/cwlinkshell,/cwl,0,1021,1,0,0,0,0
93,,,,,,0,0,0,0,0,0,0
94,,,,,,0,0,0,0,0,0,0
95,,,,,,0,0,0,0,0,0,0
96,,,,,,0,0,0,0,0,0,0
97,,,,,,0,0,0,0,0,0,0
98,,,,,,0,0,0,0,0,0,0
99,,,,,,0,0,0,0,0,0,0
100,,,,,,0,0,0,0,0,0,0
101,"/초보(/초) 내용
초보자 채널에 말합니다.
/초보(/초)만 입력하면 기본 대화 방식을 초보자 채널로 변경합니다.

용례
/초보(/초) 안녕하세요.
초보자 채널에 '안녕하세요.'라고 말합니다.",/초보,/초,/beginner,/b,0,1021,1,0,0,0,0
102,"/말(/ㄴ) 내용
자신 주변의 좁은 범위에 있는 사람들에게 보이도록 말합니다. 
/말(/ㄴ)만 입력한 경우에는 기본 대화 방식을 말하기로 변경합니다.",/말,/ㄴ,/say,/s,0,1023,1,0,0,0,0
103,"/외(/ㅇ) 내용
현재 자신이 있는 지역 내의 모든 플레이어에게 보이도록 크게 외칩니다.",/외,/ㅇ,/shout,/sh,0,1021,1,0,0,0,0
104,"/귓(/ㅅ) ""플레이어 이름@서버 이름"" 내용
같은 서버에 있는 특정 플레이어에게 내용을 보냅니다.
다른 서버에 있는 플레이어에게 귓속말을 하려면 친구이거나 모집 중인 파티의 파티장이어야 합니다.
/귓(/ㅅ) ""플레이어 이름@서버 이름""만 입력하면, 기본 대화 방식이 상대 플레이어에게 귓속말을 보내는 형식으로 변경됩니다.

용례
/귓 빛의영자@카벙클 안녕하세요.
　…카벙클 서버에 있는 빛의영자에게 '안녕하세요.'라고 보냅니다.",/귓,/ㅅ,/tell,/t,0,1021,3,0,0,0,0
105,"/파(/ㅔ) 내용
같은 파티원 모두에게 보이도록 말합니다.
/파(/ㅔ)만 입력한 경우에는 기본 대화 방식을 파티로 변경합니다.",/파,/ㅔ,/party,/p,0,1021,1,0,0,0,0
