#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,없음,0,0,0,0,0,0,10,False,False,False
1,시작,0,120021,2,10,0,200,10,False,False,False
2,완료,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,재시작,0,120024,2,10,0,203,10,False,False,False
5,퀘스트 수락,0,120001,2,11,0,100,10,False,False,False
6,퀘스트 완료,0,120002,2,11,0,101,10,False,False,False
7,돌발 임무 발생,0,120081,2,12,0,303,10,False,False,False
8,돌발 임무 완료,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,레벨 업!,0,120111,2,5,0,10,10,False,False,False
11,돌발 게임 발생,0,121561,2,13,0,400,10,False,False,False
12,돌발 게임 완료,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,초코보 레이스: 출발,0,121551,2,13,0,403,10,False,False,False
15,초코보 레이스: 완주,0,121552,2,13,0,404,10,False,False,False
16,초코보 레이스: 도전 완료!,0,121553,2,13,0,405,10,False,False,False
17,마물 자유투: 성공!,0,121501,2,13,0,406,10,False,False,False
18,마물 자유투: 실패,0,121502,2,13,0,407,10,False,False,False
19,미니 게임: 훌륭해요!!!,0,121511,2,13,0,408,10,False,False,False
20,미니 게임: 잘했어요!!,0,121512,2,13,0,409,10,False,False,False
21,미니 게임: 좋아요!,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,소규모 파티,0,120114,2,5,0,23,10,False,False,False
24,대규모 파티,0,120115,2,5,0,24,10,False,False,False
25,레벨 다운,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV ONLINE(흰색),0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV ONLINE(검은색),0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,국기: 알렉산드리아,70495,230715,1,6,0,15,1,True,False,False
30,트리플 트라이어드: ★,0,230111,1,4,0,1,10,True,False,False
31,트리플 트라이어드: ★★,0,230112,1,4,0,2,10,True,False,False
32,트리플 트라이어드: ★★★,0,230113,1,4,0,3,10,True,False,False
33,트리플 트라이어드: ★★★★,0,230114,1,4,0,4,10,True,False,False
34,트리플 트라이어드: ★★★★★,0,230115,1,4,0,5,10,True,False,False
35,트리플 트라이어드: 1,0,230120,1,4,0,12,10,True,False,False
36,트리플 트라이어드: 2,0,230121,1,4,0,13,10,True,False,False
37,트리플 트라이어드: 3,0,230122,1,4,0,14,10,True,False,False
38,트리플 트라이어드: 4,0,230123,1,4,0,15,10,True,False,False
39,트리플 트라이어드: 5,0,230124,1,4,0,16,10,True,False,False
40,트리플 트라이어드: 6,0,230125,1,4,0,17,10,True,False,False
41,트리플 트라이어드: 7,0,230126,1,4,0,18,10,True,False,False
42,트리플 트라이어드: 8,0,230127,1,4,0,19,10,True,False,False
43,트리플 트라이어드: 9,0,230128,1,4,0,20,10,True,False,False
44,트리플 트라이어드: A,0,230129,1,4,0,21,10,True,False,False
45,트리플 트라이어드: 0,0,230119,1,4,0,11,10,True,False,False
46,국기: 샬레이안,0,230711,1,6,0,11,10,True,False,False
47,국기: 라자한,0,230713,1,6,0,12,10,True,False,False
48,국기: 갈레말,0,230712,1,6,0,13,10,True,False,False
49,국기: 툴라이욜라,0,230714,1,6,0,14,10,True,False,False
50,국기: 그리다니아,0,230701,1,6,0,2,10,True,False,False
51,국기: 림사 로민사,0,230702,1,6,0,1,10,True,False,False
52,국기: 울다하,0,230703,1,6,0,3,10,True,False,False
53,국기: 이슈가르드,0,230704,1,6,0,4,10,True,False,False
54,국기: 알라미고,0,230705,1,6,0,5,10,True,False,False
55,국기: 쿠가네,0,230706,1,6,0,6,10,True,False,False
56,국기: 도마,0,230707,1,6,0,7,10,True,False,False
57,국기: 크리스타리움,0,230708,1,6,0,8,10,True,False,False
58,국기: 율모어,0,230709,1,6,0,9,10,True,False,False
59,국기: 보즈야,0,230710,1,6,0,10,10,True,False,False
60,정색,0,230626,1,3,0,1,10,True,True,True
61,미소,0,230627,1,3,0,2,10,True,True,True
62,웃는 얼굴,0,230628,1,3,0,3,10,True,True,True
63,윙크,0,230629,1,3,0,4,10,True,True,True
64,,0,0,0,0,0,0,0,False,False,False
65,자신감 넘치는 표정,0,230631,1,3,0,5,10,True,True,True
66,음흉한 웃음,0,230632,1,3,0,6,10,True,True,True
67,감은 눈,0,230633,1,3,0,7,10,True,True,True
68,어리둥절한 표정,0,230634,1,3,0,8,10,True,True,True
69,깨달은 표정,0,230635,1,3,0,9,10,True,True,True
70,오므린 입,0,230636,1,3,0,10,10,True,True,True
71,진지한 표정,0,230637,1,3,0,11,10,True,True,True
72,온화한 표정,0,230638,1,3,0,12,10,True,True,True
73,만족스러운 표정,0,230639,1,3,0,13,10,True,True,True
74,씨익 웃는 얼굴,0,230640,1,3,0,14,10,True,True,True
75,심사숙고,0,230641,1,3,0,15,10,True,True,True
76,,0,0,0,0,0,0,0,False,False,False
77,,0,0,0,0,0,0,0,False,False,False
78,,0,0,0,0,0,0,0,False,False,False
79,,0,0,0,0,0,0,0,False,False,False
80,,0,0,0,0,0,0,0,False,False,False
81,,0,0,0,0,0,0,0,False,False,False
82,,0,0,0,0,0,0,0,False,False,False
83,,0,0,0,0,0,0,0,False,False,False
84,,0,0,0,0,0,0,0,False,False,False
85,,0,0,0,0,0,0,0,False,False,False
86,,0,0,0,0,0,0,0,False,False,False
87,,0,0,0,0,0,0,0,False,False,False
88,,0,0,0,0,0,0,0,False,False,False
89,,0,0,0,0,0,0,0,False,False,False
90,느낌표,0,230401,1,7,0,1,10,True,False,False
91,물음표,0,230402,1,7,0,2,10,True,False,False
92,느낌표+물음표,0,230403,1,7,0,3,10,True,False,False
93,물음표+느낌표,0,230404,1,7,0,4,10,True,False,False
94,말줄임표,0,230405,1,7,0,5,10,True,False,False
95,,0,0,0,0,0,0,0,False,False,False
96,,0,0,0,0,0,0,0,False,False,False
97,,0,0,0,0,0,0,0,False,False,False
98,,0,0,0,0,0,0,0,False,False,False
99,,0,0,0,0,0,0,0,False,False,False
100,다음 상대!: 1,70501,230791,2,10,0,204,1,True,False,False
101,다음 상대!: 2,70830,230792,2,10,0,205,1,True,False,False
102,퍼펙트 그루브,70830,128404,2,10,0,206,1,False,False,False
103,Monster Hunter Wilds: 퀘스트 수락,70910,180186,2,29,0,207,1,False,False,False
104,Monster Hunter Wilds: 퀘스트 시작,70910,180187,2,29,0,208,1,False,False,False
105,Monster Hunter Wilds: 퀘스트 완료,70910,180188,2,29,0,209,1,False,False,False
106,,0,0,0,0,0,0,0,False,False,False
107,,0,0,0,0,0,0,0,False,False,False
108,,0,0,0,0,0,0,0,False,False,False
109,,0,0,0,0,0,0,0,False,False,False
110,기본,0,230101,1,2,0,1,10,True,True,True
111,생각,0,230102,1,2,0,2,10,True,True,True
112,외침,0,230103,1,2,0,3,10,True,True,True
113,,0,0,0,0,0,0,0,False,False,False
114,,0,0,0,0,0,0,0,False,False,False
