#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
0,표준,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False
1,회상,0,-0.2,-0.2,0,0,0.6,0,0,0,0,0,0,1,60,False
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,세피아 1,0,0,-0.3,0,0,1,-0.2,0,0,0,0,0.1,0.9,5,False
4,흑백 1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,False
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,환하게 1,0,0,0,0,-0.2,0,-0.2,0.1,0,0.1,0,0,1,15,False
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,색조 분리 1,0,0,0,0,0.5,0.2,0,0,0,0,0,0.5,0.5,20,False
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,색조 분리 2,0,0,0,0,1,0,0,0,0,0,0,0.9,0,21,False
13,색연필,0,0,0.1,-0.3,-0.1,0.2,0,0,0,0,-0.2,0.4,0.6,30,False
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,파스텔 1,0,0,0.1,-0.3,0,0.2,-0.1,0.6,0.6,0.6,-0.2,0.1,0.4,50,False
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,에테르 측정기,0,0,0,0,-1,-0.8,1,1,0.7,0.3,1,0.3,1,61,False
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,환하게 3,0,0.2,-0.1,0,0.2,0,0.4,0.8,0.8,1,0,0.2,0.8,17,False
24,세피아 2,0,-1,0,0.1,-0.2,0,0.2,0.9,0.3,0,0,0.2,0.8,6,False
25,흑백 2,0,0,0,0,1,0,0,0,0,0,0,0.5,1,11,False
26,파스텔 2,0,-0.4,0,-0.2,0,0,0,0,0,0,0,0.1,0.3,51,True
27,환하게 2,0,0.6,0,0,0.2,-0.6,0.4,0.8,0.6,0.4,0.1,0.2,0.6,16,True
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,색사인펜 1,0,0,-0.2,0.6,0.2,-0.3,0,0,0,0,0,0,0.4,40,True
30,연필,0,0,0,0,1,-0.2,0,0,0,0,0,0.4,0.7,35,False
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,특수효과 강조,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0.25,0.5,70,True
35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,단일 색조 1,0,-1,0,0.2,0,0,0.2,0.9,0.1,0.5,0,0.1,0.9,55,True
39,단일 색조 2,0,-1,0,0.1,0,-0.2,0.2,0.1,0.4,0.1,0,0.1,0.9,56,False
40,단일 색조 3,0,-1,0,0.1,-0.2,0,0.3,0.1,0.4,1,0,0.1,0.9,57,False
41,환하게 4,0,0.6,0,0,0.2,-0.6,0.4,0.7,0.6,0.5,0,0,0.8,18,True
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,파스텔 3,0,0,0.1,-0.3,-0.2,0.2,-0.2,0.7,0.7,0.7,-0.2,0.1,0.4,52,False
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,색사인펜 2,0,-0.2,-0.2,0.4,0.4,-0.3,0,0,0,0,0,0,0.35,42,True
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,공식 트레일러,0,-0.3,0,0.1,0.4,0.2,-0.1,1,0,0.8,-0.1,0,1,59,False
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
