#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,베리 크림 하트 케이크,4,10,16,22,0,0,0,0,4,4,4,4,0,0,0,0
2,베리 크림 하트 케이크,4,7,8,13,14,22,0,0,4,2,2,2,2,4,0,0
3,베리 크림 모그리 케이크,4,8,11,14,15,19,0,0,4,2,2,2,2,4,0,0
4,베리 크림 모그리 케이크,4,11,10,17,16,19,0,0,4,2,2,2,2,4,0,0
5,베리 크림 달걀 초콜릿 케이크,4,9,7,15,17,20,0,0,4,2,2,2,2,4,0,0
6,베리 크림 달걀 초콜릿 케이크,4,10,11,16,13,20,0,0,4,2,2,2,2,4,0,0
7,베리 크림 초코보 케이크,4,7,11,13,15,23,0,0,4,2,2,2,2,4,0,0
8,베리 크림 초코보 케이크,4,8,9,14,16,23,0,0,4,2,2,2,2,4,0,0
9,베리 크림 사보텐더 케이크,4,11,9,17,14,21,0,0,4,2,2,2,2,4,0,0
10,베리 크림 사보텐더 케이크,4,9,10,15,16,21,0,0,4,2,2,2,2,4,0,0
11,휘핑크림 하트 케이크,1,7,8,16,14,22,0,0,4,2,2,2,2,4,0,0
12,휘핑크림 하트 케이크,1,8,11,13,14,22,0,0,4,2,2,2,2,4,0,0
13,휘핑크림 모그리 케이크,1,7,13,19,0,0,0,0,4,4,4,4,0,0,0,0
14,휘핑크림 모그리 케이크,1,11,10,14,17,19,0,0,4,2,2,2,2,4,0,0
15,휘핑크림 달걀 초콜릿 케이크,1,9,7,17,13,20,0,0,4,2,2,2,2,4,0,0
16,휘핑크림 달걀 초콜릿 케이크,1,10,11,15,16,20,0,0,4,2,2,2,2,4,0,0
17,휘핑크림 초코보 케이크,1,7,11,13,16,23,0,0,4,2,2,2,2,4,0,0
18,휘핑크림 초코보 케이크,1,8,9,14,17,23,0,0,4,2,2,2,2,4,0,0
19,휘핑크림 사보텐더 케이크,1,11,9,17,15,21,0,0,4,2,2,2,2,4,0,0
20,휘핑크림 사보텐더 케이크,1,9,10,15,13,21,0,0,4,2,2,2,2,4,0,0
21,초콜릿 크림 하트 케이크,2,9,10,13,17,22,0,0,4,2,2,2,2,4,0,0
22,초콜릿 크림 하트 케이크,2,11,9,14,15,22,0,0,4,2,2,2,2,4,0,0
23,초콜릿 크림 모그리 케이크,2,8,9,17,16,19,0,0,4,2,2,2,2,4,0,0
24,초콜릿 크림 모그리 케이크,2,7,11,15,17,19,0,0,4,2,2,2,2,4,0,0
25,초콜릿 크림 달걀 초콜릿 케이크,2,8,14,20,0,0,0,0,4,4,4,4,0,0,0,0
26,초콜릿 크림 달걀 초콜릿 케이크,2,10,11,13,15,20,0,0,4,2,2,2,2,4,0,0
27,초콜릿 크림 초코보 케이크,2,9,7,14,17,23,0,0,4,2,2,2,2,4,0,0
28,초콜릿 크림 초코보 케이크,2,11,10,17,15,23,0,0,4,2,2,2,2,4,0,0
29,초콜릿 크림 사보텐더 케이크,2,8,11,15,17,21,0,0,4,2,2,2,2,4,0,0
30,초콜릿 크림 사보텐더 케이크,2,7,8,16,13,21,0,0,4,2,2,2,2,4,0,0
31,레몬 크림 하트 케이크,5,11,10,13,17,22,0,0,4,2,2,2,2,4,0,0
32,레몬 크림 하트 케이크,5,8,11,14,17,22,0,0,4,2,2,2,2,4,0,0
33,레몬 크림 모그리 케이크,5,7,8,15,13,19,0,0,4,2,2,2,2,4,0,0
34,레몬 크림 모그리 케이크,5,8,11,14,17,19,0,0,4,2,2,2,2,4,0,0
35,레몬 크림 달걀 초콜릿 케이크,5,10,11,15,17,20,0,0,4,2,2,2,2,4,0,0
36,레몬 크림 달걀 초콜릿 케이크,5,9,7,13,14,20,0,0,4,2,2,2,2,4,0,0
37,레몬 크림 초코보 케이크,5,11,17,23,0,0,0,0,4,4,4,4,0,0,0,0
38,레몬 크림 초코보 케이크,5,11,9,14,15,23,0,0,4,2,2,2,2,4,0,0
39,레몬 크림 사보텐더 케이크,5,8,9,17,13,21,0,0,4,2,2,2,2,4,0,0
40,레몬 크림 사보텐더 케이크,5,7,11,15,13,21,0,0,4,2,2,2,2,4,0,0
41,피스타치오 크림 하트 케이크,3,7,8,16,15,22,0,0,4,2,2,2,2,4,0,0
42,피스타치오 크림 하트 케이크,3,8,10,14,13,22,0,0,4,2,2,2,2,4,0,0
43,피스타치오 크림 모그리 케이크,3,10,11,15,13,19,0,0,4,2,2,2,2,4,0,0
44,피스타치오 크림 모그리 케이크,3,9,7,17,16,19,0,0,4,2,2,2,2,4,0,0
45,피스타치오 크림 달걀 초콜릿 케이크,3,11,9,15,14,20,0,0,4,2,2,2,2,4,0,0
46,피스타치오 크림 달걀 초콜릿 케이크,3,8,9,13,16,20,0,0,4,2,2,2,2,4,0,0
47,피스타치오 크림 초코보 케이크,3,7,11,16,15,23,0,0,4,2,2,2,2,4,0,0
48,피스타치오 크림 초코보 케이크,3,11,10,14,13,23,0,0,4,2,2,2,2,4,0,0
49,피스타치오 크림 사보텐더 케이크,3,9,15,21,0,0,0,0,4,4,4,4,0,0,0,0
50,피스타치오 크림 사보텐더 케이크,3,8,11,16,14,21,0,0,4,2,2,2,2,4,0,0
51,모험가 특제 케이크,6,12,18,24,0,0,0,0,4,4,4,4,0,0,0,0
