#,Name,Text,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,목적지까지 '운반'하세요!,"짐을 들어 올려, 제한시간 안에 지정된 장소까지 옮기세요!

운반 중에는 '운반' 상태가 부여됩니다.
운반 상태 지속시간 안에 운반을 마쳐야만 합니다.

공격을 받으면 지속시간이 줄어들기 때문에
되도록 적을 피하며 목적지로 향하세요.

또한 운반 중에는 사용할 수 있는 기술이 제한됩니다.",86902
12,'운반' 상태가 해제되었다면?,"지속시간이 0이 되거나
지역 이동 등으로 '운반' 상태가 해제되면
운반은 실패합니다.

그때는 '운반' 시작 지점에서 다시 도전할 수 있습니다.",86903
13,'투명' 상태로 행동하세요!,"일부 대상과 마물들이 인식하기 어려운 투명 상태가 되어
몰래 목적을 달성하세요!

진행 중에는 '투명' 상태가 부여됩니다.
투명 상태 지속시간 안에 목적을 달성해야만 합니다.

또한 투명 상태 중에는 사용할 수 있는 기술이 제한됩니다.",86904
14,'투명' 상태가 해제되었다면?,"지속시간이 0이 되거나
지역 이동 등으로 '투명' 상태가 해제되면
대상에게 보이게 되어 퀘스트를 진행할 수 없게 됩니다.

지속시간이 끝나기 전에
'투명' 시작 지점으로 돌아와 지속시간을 연장하세요.

상태가 해제되면
시작 지점에서 다시 '투명' 상태를 부여받을 수 있습니다.",86905
15,동료와 '동행'하며 탐색하세요!,"퀘스트 진행 중에 일시적으로 동료와 함께 걸어다닐 수 있습니다.
이 상태를 '동행'이라고 합니다.

동행자가 가까이 있는 상태로 함께 탐색하여
목적을 달성하세요!",86906
16,동료와 '동행'하며 탐색하세요!,"같은 지역 안이라면 텔레포나 도시 내 전송망을 이용해도
동행자와 떨어지지 않습니다.

탈것에 타거나 수영을 해도 '동행' 상태는 유지되지만
동행자가 일시적으로 보이지 않게 됩니다.",86906
17,동행자와 대화를 나눠보세요!,"동행자에게는 언제든 말을 걸 수 있습니다.

또한 목적지까지 가는 길에는
특수한 대화를 나눌 수 있는 '대화 지점'이 있기도 합니다.
'대화 지점'에 들어간 상태에서 동행자에게 말을 걸면
해당 지점에 관련된 대화를 나눌 수도 있습니다.

'대화 지점' 위치는 지도에도 표시되어 있으니
짬짬이 들러서 동행자와 즐거운 대화를 나눠보세요!",86907
18,'동행' 상태가 해제되었다면?,"동행자에게 말을 걸어 '동행 상태 해제'를 선택하거나
지역을 이동하면 '동행'이 중단됩니다.

처음 장소로 돌아간 동행자에게 말을 걸면
다시 '동행'을 시작할 수 있습니다.",86908
19,'인도'하는 동료를 따라가세요!,"동료가 앞장서서 목적지까지 인도합니다.
너무 뒤처지지 않도록 따라가세요!

동료와 너무 멀리 떨어지면 '인도'가 중단됩니다.

이 경우 처음 장소로 돌아간 동료에게 말을 걸면
'인도'를 다시 시작할 수 있습니다.",86909
20,들키지 않도록 '미행'하세요!,"대상에게 들키지 않도록 뒤에서 '미행'하세요!

미행 중에 대상의 시야에 들어가거나, 대상과 너무 가까워지면
대상에게 들켜 미행에 실패합니다.
또한 대상에게서 너무 멀리 떨어져도 실패합니다.

그때는 '미행' 시작 지점에서 다시 도전할 수 있습니다.",86910
21,'미행'에 성공하려면?,"대상 주변에 위의 그림과 같은 표시가 나타나면 주의해야 합니다!
대상이 돌아보면 들키게 된다는 표시이기 때문입니다.

몸을 숨길 수 있는 장소로 바로 이동하세요.",86911
22,'미행'에 성공하려면?,"대상에게 너무 가까이 가지 않는 것도 중요합니다.

위의 그림과 같은 원형 범위에 들어가지 않도록
일정 거리를 유지하며 '미행'하세요!",86912
23,'변신' 상태로 행동하세요!,"평소와 다른 모습으로 '변신'해 목적을 달성하세요!

변신 중에는 '변신' 상태가 부여됩니다.
변신 상태 지속시간 안에 목적을 달성해야만 합니다.

또한 변신 중에는 사용할 수 있는 기술이 제한됩니다.",86913
24,'변신' 상태가 해제되었다면?,"지속시간이 0이 되거나
유효 범위를 벗어나 '변신' 상태가 해제되면
퀘스트를 진행할 수 없게 됩니다.

지속시간이 끝나기 전에
'변신' 시작 지점으로 돌아와 지속시간을 연장하세요.

상태가 해제되면
시작 지점에서 다시 '변신'할 수 있습니다.",86914
