key,0,1,2,3,4,5
#,Name,Icon,Category,Order,ClassJob,
int32,str,Image,byte,byte,ClassJob,bit&01
0,"",0,0,0,0,False
1,"무기",60102,0,0,0,False
2,"제작도구",60113,0,0,0,False
3,"채집도구",60120,0,0,0,False
4,"방어구",60126,0,0,0,False
5,"장신구",60135,0,0,0,False
6,"약품 및 식품",60136,0,0,0,False
7,"재료",60137,0,0,0,False
8,"기타",60159,0,0,0,False
9,"격투무기",60101,1,6,2,False
10,"검",60102,1,0,1,False
11,"도끼",60103,1,1,3,False
12,"활",60105,1,9,5,False
13,"창",60104,1,4,4,False
14,"주술도구",60108,1,12,7,False
15,"환술도구",60107,1,15,6,False
16,"마도서",60109,1,13,26,False
17,"방패",60110,2,0,0,False
18,"투척무기",60111,0,0,0,False
19,"목공도구",60112,1,19,8,False
20,"대장장이도구",60113,1,20,9,False
21,"갑주제작도구",60114,1,21,10,False
22,"보석공예도구",60115,1,22,11,False
23,"가죽공예도구",60116,1,23,12,False
24,"재봉도구",60117,1,24,13,False
25,"연금도구",60118,1,25,14,False
26,"요리도구",60119,1,26,15,False
27,"채굴도구",60120,1,27,16,False
28,"원예도구",60121,1,28,17,False
29,"낚시도구",60122,1,29,18,False
30,"미끼",60123,1,30,18,False
31,"머리 방어구",60124,2,1,0,False
32,"속옷 상의",60125,0,0,0,False
33,"몸통 방어구",60126,2,2,0,False
34,"속옷 하의",60127,0,0,0,False
35,"다리 방어구",60128,2,4,0,False
36,"손 방어구",60129,2,3,0,False
37,"발 방어구",60130,2,5,0,False
38,"허리 방어구",60131,0,0,0,False
39,"목걸이",60132,2,7,0,False
40,"귀걸이",60133,2,6,0,False
41,"팔찌",60134,2,8,0,False
42,"반지",60135,2,9,0,False
43,"약품",60136,3,0,0,False
44,"식재료",60137,3,1,0,False
45,"요리",60146,3,2,0,False
46,"수산물",60138,3,3,0,False
47,"석재",60139,3,4,0,False
48,"금속재",60140,3,5,0,False
49,"목재",60141,3,6,0,False
50,"옷감",60142,3,7,0,False
51,"가죽재",60143,3,8,0,False
52,"골재",60144,3,9,0,False
53,"연금재",60145,3,10,0,False
54,"염료",60147,3,11,0,False
55,"부품",60148,3,12,0,False
56,"소품(일반)",60164,4,3,0,False
57,"마테리아",60150,3,13,0,False
58,"크리스탈",60151,3,14,0,False
59,"촉매",60152,3,15,0,False
60,"잡화",60153,3,16,0,False
61,"소울 크리스탈",60157,0,0,0,False
62,"화살",60153,0,0,0,False
63,"퀘스트 아이템",60158,0,0,0,False
64,"기타",60159,0,0,0,False
65,"외장 건축재",60160,4,0,0,False
66,"내장 건축재",60161,4,1,0,False
67,"조경물",60168,4,2,0,False
68,"소품(의자 및 침대)",60165,4,4,0,False
69,"소품(받침대)",60162,4,5,0,False
70,"소품(탁상)",60163,4,6,0,False
71,"소품(벽걸이)",60166,4,7,0,False
72,"소품(깔개)",60167,4,8,0,False
73,"쌍검",60106,1,8,29,False
74,"잡화(이벤트)",60154,3,17,0,False
75,"꼬마 친구",60155,3,19,0,True
76,"양손검",60170,1,2,32,False
77,"총",60172,1,10,31,False
78,"천구의",60171,1,17,33,False
79,"비공정 및 잠수함 부품",60169,3,20,0,False
80,"오케스트리온 관련",60173,3,21,0,True
81,"재배용품",60174,4,9,0,False
82,"그림",60175,4,10,0,False
83,"외날검",60177,1,7,34,False
84,"세검",60176,1,14,35,False
85,"학자용 마도서",60178,1,16,28,False
86,"건블레이드",60181,1,3,37,False
87,"투척무기",60182,1,11,38,False
88,"양손낫",60183,1,5,39,False
89,"현학도구",60184,1,18,40,False
90,"잡화(습득/등록 계열)",60185,3,18,0,True
91,"",0,0,0,0,False
92,"",0,0,0,0,False
93,"",0,0,0,0,False
94,"",0,0,0,0,False
95,"",0,0,0,0,False
96,"",0,0,0,0,False
97,"",0,0,0,0,False
98,"",0,0,0,0,False
99,"",0,0,0,0,False
100,"",0,0,0,0,False
