#,HyurMidlanderMale,HyurMidlanderFemale,HyurMidlanderLastName,HyurHighlanderMale,HyurHighlanderFemale,HyurHighlanderLastName,ElezenMale,ElezenFemale,ElezenWildwoodLastName,ElezenDuskwightLastName,MiqoteSunMale,MiqoteSunFemale,MiqoteSunMaleLastName,MiqoteSunFemaleLastName,MiqoteMoonMale,MiqoteMoonFemale,MiqoteMoonLastname,LalafellPlainsfolkFirstNameStart,LalafellPlainsfolkLastNameStart,LalafellPlainsfolkEndOfNames,LalafellDunesfolkMale,LalafellDunesfolkMaleLastName,LalafellDunesfolkFemale,LalafellDunesfolkFemaleLastName,RoegadynSeaWolfMale,RoegadynSeaWolfMaleLastName,RoegadynSeaWolfFemale,RoegadynSeaWolfFemaleLastName,RoegadynHellsguardFirstName,RoegadynHellsguardMaleLastName,RoegadynHellsguardFemaleLastName,AuRaRaenMale,AuRaRaenFemale,AuRaRaenLastName,AuRaXaelaMale,AuRaXaelaFemale,AuRaXaelaLastName,HrothgarHellionsFirstName,HrothgarHellionsLastName,HrothgarLostFirstName,HrothgarLostLastName,Unknown0,Unknown1,Unknown2,VieraFirstName,VieraRavaLastName,VieraVeenaLastName,Unknown_70_1,Unknown_70_2,Unknown_70_3
0,앤셀멧,헤민,Abbey,윌러헬름,애덜라,Alvey,에이베르탕,알부아즈,Alamenain,Alambertel,아티카,아린보,Tia,Taqa,네우아,네우,Jawantal,아,An,아카,비비,안,바,바,알두빌,Lonwoerdsyn,알츠위스,Lonwoerdwyn,춤추는청어,Coeurl,Herring,아카기,아오이,Kaneuchi,아바카,바구르치,Adarkim,이비카,Amira,다보르,Zlatasch,지바,아미라,즐라타쉬,빌가,Rehw-Nong,Sjadarwesfv,케린,Hyskaris,Roda
1,클레어볼드,알리센,Abel,윌러머,애덜버타,Archer,아르드리크,아망딘,Arscelin,Alboichamps,리티카,비니밀리,Tia,Dhen,미아토,미아,Molkot,아비,Aro,바스,부부,베타,비,차,아툰트,Wastwebbsyn,아렌스위스,Wastwebbwyn,헤매는연어,Buffalo,Salmon,잇세,아자미,Akiudo,아그시레타이,바르구진,Angura,마티야,Azora,티코미르,Liubasch,베스나,아조라,브란카쉬,이드가,Djt-Nong,Jgnewesfv,케틴,Eryut,Lesrekta
2,루드위커스,게바,Ackerman,빌헬름,애덜린드,Ashdale,알렉시,아멜린,Asturmaux,Archevauliere,야리카,카란마야,Tia,Rhiki,마샤토,마샤,Mhakaracca,아파,Ato,초,차차,도아,부,다,피르크만,Wistweinsyn,베라스위스,Wistweinwyn,구불구불한송어,Chocobo,Trout,우간,아지사이,Oshidari,아크살다이,바르쿠진,Arulaq,오소리오,Avesna,리림,Brankasch,조르야,아베스나,티라쉬,유셀,Rehw-Marouc,Monnawesfv,알리스,Camoa,Arda
3,탈랜,귈다,Addock,와인보드,애덜리나,Ashe,앙투안,아메니,Aubaints,Auberlaint,차리카,데원잘리,Tia,Rhof,루브아,루브,Epocan,바,Bu,진,체체,도가,차,프,아이스무르,Wuntwilfsyn,블레이스위스,Wuntwilfwyn,땅파는들소,Aurochs,Whale,우쿄,아토리,Gakuto,아그잠,바우구르치,Avagnar,블라디스가르,Azorya,크레시미르,Tirasch,로디카,아조르야,라트야쉬,켈타,Djt-Marouc,Huorlwesfv,파이스,Muscadet,Ymir
4,올더스,모트,Arkwright,위스카르드,에이베,Ayers,아리스몽,아미안,Aubierault,Aucheforne,이라트,에니븐파,Tia,Rahz,라크아,라크,Nelhah,차,Buli,그다,코코,포노,추,이,브룬파,Untawhasyn,발즈위스,Untawhawyn,구르는돌고래,Bull,Dolphin,우게츠,아야메,Ushikai,야부카,베루데,Bairon,네나드,Astana,도브,Ratyasch,루보브,아스타나,슬라나쉬,로이야,Rehw-Bidit,Ornedwesfv,루우이,Atoel,Bosco
5,에이브러햄,세실리아,Aubrey,위데킨드,앨리나,Bailey,아망텔,아스트렐,Aubrenard,Bamponcet,비라트,프말리보,Tia,Hena,나기리,나기,Amariyo,두,Buoy,호이,다다,이사,다,카,브룬포크,Ubyltusyn,브뢴스위스,Ubyltuwyn,떠오르는파도,Buck,Clam,우세후시,아와유키,Kataribe,리그단,볼지그치,Bayaqud,즐라탄,Arodica,데시미르,Slanasch,미르카,아로디카,엔야쉬,니르리,Djt-Bidit,Qufiswesfv,샤라,Bysnoe,Gucuma
6,맨셀,아미스,Bagley,월칸,에이노어,Baines,아르튀리우,아텔룬,Aurifort,Bardelaurain,오차다,그콘날라,Tia,Tyata,키트아,키트,Gamduhla,에,Dala,이포,디디,조니,데,케,브룬뷔른,Sykursyn,케일스위스,Sykurwyn,하품하는영양,Antelope,Wave,우도쿠,안즈,Bakuro,루브산,보라그친,Bolir,토플리카,Amilan,슬라타스,Enyasch,란야,아밀란,나타쉬,티이야,Rehw-Dvre,Foixewesfv,레나,Dei-Ijla,Kisne
7,워너,에버릴,Ballard,랙울프,아헬리사,Barrett,아르투아렐,오렐,Beltardois,Barnabontant,페차다,하알라발리,Tia,Bamu,카스아,카스,Chalahko,페,Du,지카,파파,라이,디,키,엘릴벤,Swarsweigsyn,뒤르프스위스,Swarsweigwyn,웃는늑대,Wolf,Ocean,운잔,이자요이,Urabe,아다르키다이,보로그친,Borlaaq,즈단,Amirka,마테이,Natasch,레드나,아미르카,스베나쉬,보디스,Djt-Dvre,Ubmuawesfv,라엘,Fyth,Tehp
8,파울,에디다,Barker,월트가,앨브리다,Battle,오귀스티에르,블레이지,Bertouaint,Beaudefoins,바아파,이짐지지,Tia,Aba,피포리,피포,Jakkya,푸,E,진,포포,란,파,쿠,아이리프루스크,Swozstyrmsyn,에르나스위스,Swozstyrmwyn,우뚝선영양,Coyote,Abyss,운류,이스카,Shikibu,아추짐,보로크친,Buduga,미치스가르,Asvana,도브리카,Svenach,제티나,아스바나,디타쉬,야알티,Rehw-Gilda,Copihwesfv,비온제,Golmarr,Paharo
9,앨빈,르웨나,Barlow,워니해드,앨드러스,Beake,오메릭,블랑디,Blodoint,Beaudonet,시아파,자탈디,Tia,Raha,다카토,샤우,Nbolo,가,Gami,라도,푸푸,라오,피,라,퓌릴준,Solksthalsyn,플루르스위스,Solksthalwyn,토라진자칼,Jackal,River,엔세츠,이바라,Sakimuri,아드키라그,보톡후이,Dalamiq,무티미르,Avira,오스토미르,Ditasch,스톨라,아비라,아나탈야쉬,아스디스,Djt-Gilda,Rawbewesfv,아림,Iryut,Muruc
