#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
0,,,,,,0,0,0,0,0,0,False,True,True,True
1,탈출,버튼을 눌러 뛰어 내리십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,1,88,4,0,0,0,False,True,True,True
2,탈출,버튼을 연타해서 빠져나가십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,True,True,True
3,칼 막기,버튼을 연타해서 칼을 막으십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
4,,,,,,4,0,0,0,0,0,False,False,True,True
5,탈출,버튼을 연타해서 뛰어내리십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,35,0,0,False,True,True,True
6,탈출,버튼을 연타해서 빠져나가십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,10,0,0,False,True,True,True
7,올라타기,버튼을 연타해서 적을 억누르십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,20,2,0,True,False,True,True
8,탈출,버튼을 연타해서 빠져나가십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,True,False,True,True
9,바람 감옥,온 힘을 다해 탈출하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,False,False,True,True
10,빛의 해방,내면에 깃든 빛의 힘을 해방하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
11,빛의 해방,내면에 깃든 빛의 힘을 해방하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
12,칼 막기,버튼을 연타해서 칼을 막으십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,60,30,3,0,True,False,True,True
13,칼 막기,버튼을 연타해서 칼을 막으십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
14,반역 의지,있는 힘껏 저항하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,15,30,3,0,False,False,True,False
15,사슬독 견디기,사슬독의 고통을 견뎌내고 일어서십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,15,0,0,False,False,True,False
16,의식 유지,버튼을 연타해서 의식을 유지하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,True,True,False
17,사투,버튼을 연타해서 물리치십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,90,0,0,False,True,True,False
18,맨더빌 발놀림,버튼을 연타해서 기술을 사용하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,10,10,0,0,False,True,True,False
19,탈출,버튼을 연타해서 빠져나가십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,28,10,0,0,False,False,True,False
20,보호,버튼을 연타해서 클라이브를 지켜내십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
21,대항,버튼을 연타해서 공격에 대항하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
22,칼 막기,버튼을 연타해서 칼을 막으십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,False,True,False
23,탈출,버튼을 연타해서 빠져나온 후 쿠이키를 구하십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,22,17,0,0,False,False,True,False
24,탈출,버튼을 연타해서 빠져나가십시오!,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,45,0,0,False,False,True,False
25,,,,,,0,0,0,0,0,0,False,False,False,False
