#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,편속성 에테르,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,에테르 충전율,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,땅의 계약,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,재물,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,매혹적인 포옹,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,통제자 하쉬말림의 마력,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,바하무트 에테르,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,허무,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,포르돌라의 에테르,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,마티우스의 에테르,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,에테르 가속도,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,현무의 영기,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,인연의 힘,,60,90,0,0,2,3,1,1,1,False
16,다운 게이지,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,원념,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,제천대성의 요력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,알테마 에테르,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,귀룡 야즈마트의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,마인 벨리아스의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,신기의 요력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,붉은 선율,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,미드가르드오름 에테르,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,메테오 충돌까지,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,흑수정의 마력,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,뇌력 집중도,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,성검기,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,청룡의 신통력,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,마법 장벽 내구도,,30,50,0,0,2,3,1,1,1,False
31,에테르 충전율,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,뇌신의 검기,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,티타니아의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,이노센스의 위광,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
35,고대인의 기도,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
