#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
0,None,,65535,65535,0,0,0,0
1,말하기,스콜: 안녕하세요!,65535,65535,10,1,1,1
2,외치기,바츠: 안녕하세요!,65535,65535,11,1,3,1
3,귓속말,">> 클라우드: 안녕하세요!
티파 >>안녕하세요!",65535,65535,12,1,4,1
4,파티,(세실) 안녕하세요!,65535,65535,14,1,5,1
5,감정 표현,리노아가 자신을 가리킵니다.,65535,65535,29,1,30,1
6,자기만의 감정 표현,세리스가 자기 얼굴을 찰싹 때립니다.,65535,65535,28,1,31,1
7,자유부대,[자유부대]<티나> 안녕하세요!,65535,65535,24,1,7,1
8,링크셸[1],[1]<로자> 안녕하세요!,65535,65535,16,1,20,1
9,링크셸[2],[2]<카인> 안녕하세요!,65535,65535,17,1,21,1
10,링크셸[3],[3]<레나> 안녕하세요!,65535,65535,18,1,22,1
11,링크셸[4],[4]<파리스> 안녕하세요!,65535,65535,19,1,23,1
12,링크셸[5],[5]<비비> 안녕하세요!,65535,65535,20,1,24,1
13,링크셸[6],[6]<세라패론> 안녕하세요!,65535,65535,21,1,25,1
14,링크셸[7],[7]<세미라피나> 안녕하세요!,65535,65535,22,1,26,1
15,링크셸[8],[8]<나나미고> 안녕하세요!,65535,65535,23,1,27,1
16,떠들기,록콜: 안녕하세요!,65535,65535,30,1,2,1
17,연합 파티,((스노우)) 안녕하세요!,65535,65535,15,1,6,1
18,초보자 채널,[초보자]에어리스: 어려운 일이 있으신가요?,65535,65535,27,1,28,1
19,PvP팀,[PvP팀]<아라네아> 안녕하세요!,65535,65535,36,1,8,1
20,서버 초월 링크셸 [1],[서초링 1]<유피> 안녕하세요!,65535,65535,37,1,10,1
21,시스템 메시지,세피로스 님을 파티에 초대했습니다.,65535,65535,57,2,1,1
22,,,0,0,0,0,0,0
23,채집 관련 시스템 메시지,이 지역에는 광맥이나 바위터가 없습니다.,65535,65535,59,2,4,1
24,오류 메시지,세피로스 님에게 귓속말을 보낼 수 없습니다.,65535,65535,60,2,5,1
25,/혼(혼잣말)으로 출력할 문장,혼잣말,65535,65535,56,2,6,1
26,NPC 대화,"모모디: 안녕, 어서 오렴.",65535,65535,61,2,16,4
27,전리품 알림,클라우드 님이 <아이템>을 손에 넣었습니다.,65535,65535,62,2,20,1
28,자신의 레벨 업 및 아이템 획득,레벨 업! 클라우드가 레벨 50이 되었습니다.,258,65535,64,2,25,1
29,타인의 레벨 업 및 아이템 획득,레벨 업! 세피로스가 레벨 50이 되었습니다.,2289,65535,64,2,27,1
30,자신의 아이템 입찰 정보,클라우드 님이 <아이템>에 선입찰 주사위를 굴려 50이 나왔습니다.,2,65535,65,2,30,1
31,타인의 아이템 입찰 정보,세피로스 님이 <아이템>에 선입찰 주사위를 던져 50이 나왔습니다.,65532,65535,65,2,31,1
32,자신의 제작 과정 및 결과,클라우드 님이 <아이템>을 완성했습니다!,2,65535,66,2,35,1
33,타인의 제작 결과,세피로스 님이 <아이템>을 완성했습니다!,28,65535,66,2,36,1
34,방명록 신규 메시지,자유부대 주택 방명록에 새 메시지가 있습니다.,65535,65535,79,2,49,1
35,자신의 채집 과정 및 결과,클라우드 님이 광물을 캡니다.,3,65535,67,2,40,1
36,타인의 낚시 결과,세피로스 님이 **로민사 멸치**(3.3일름)를 낚았습니다.,252,65535,67,2,41,0
37,자신의 전투 관련 시스템 메시지,클라우드가 무당벌레를 쓰러뜨렸습니다.,1807,65535,58,2,2,2
