key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27901,"",0,"",0,0,1,0,0,"마토기: 함정 해제","현재 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>의 함정을 모두 제거합니다.",6259
2,27902,"",0,"",0,0,1,0,0,"마토기: 사이트로","현재 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>의 모든 지역을 발견하고, 숨겨진 함정을 표시합니다.",6260
3,27903,"",0,"",0,0,1,0,0,"마토기: 자기 강화","자신이 주는 피해량과 회복마법 회복량이 30% 향상됩니다.",6262
4,27904,"",0,"",0,0,1,0,0,"마토기: 방어 강화","자신이 받는 피해량이 40% 감소합니다.",6263
5,27905,"",0,"",0,0,1,0,0,"마토기: 보물상자 증가","다음 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>에 출현하는 보물상자 수가 증가합니다.",6264
6,27906,"",0,"",0,0,1,0,0,"마토기: 적 감소","다음 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>에 출현하는 적 수가 감소합니다.",6265
7,27907,"",0,"",0,0,1,0,0,"마토기: 적 대체","다음 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>에서 특정 방의 적을 미믹 또는 만드라고라로 바꿉니다.",6266
8,27908,"",0,"",0,0,1,0,0,"마토기: 저주 해제","'저주' 상태를 해제합니다.",6267
9,27909,"",0,"",0,0,1,0,0,"마토기: 운 상승","현재 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>에서 적을 처치했을 때 보물상자가 출현할 확률이 증가합니다.",6268
10,27910,"",0,"",0,0,1,0,0,"마토기: 적 변형","자신을 중심으로 주위 적을 개구리, 물요정, 닭으로 만듭니다.",6269
11,27911,"",0,"",0,0,1,0,0,"마토기: 마법 효과 해제","현재 <Switch(PlayerParameter(109))><Case(1)>층</Case><Case(2)>층</Case><Case(3)>층</Case><Case(4)>순례길</Case></Switch>의 마법 효과를 모두 제거합니다.",6270
12,27912,"",0,"",0,0,1,0,0,"마토기: 만티코어 변신","만티코어로 변신합니다.",6271
