#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
0,사용자 정의,0,0,0,0,0,0,0,0,0
1,기본,2,11,1,0,0,0,1,1,0
2,깔끔함,3,11,2,0,0,0,2,3,3
3,세련됨,9,18,0,0,0,0,3,8,8
4,발랄함,4,13,3,0,0,0,4,3,3
5,방어 역할,5,11,10,24,0,0,5,0,1
6,공격 역할,6,11,10,25,0,0,7,0,1
7,회복 역할,7,11,10,26,0,0,6,0,1
8,림사 로민사,6,20,4,28,35,42,8,5,5
9,그리다니아,10,20,4,28,36,42,9,7,7
10,울다하,9,20,4,28,37,42,10,4,4
11,탐험가,8,19,9,28,38,49,11,9,9
12,모험가,8,14,9,30,38,44,12,10,10
13,절 바하무트 토벌전,54,160,0,161,162,163,2500,11,0
14,절 알테마 웨폰 토벌전,55,164,0,165,166,167,2501,12,0
15,절 알렉산더 토벌전,56,168,0,169,170,171,2502,13,0
16,절 용시전쟁,57,172,0,173,174,175,2503,14,0
17,변형 던전: 실디하 지하수도,3,0,176,177,0,0,2402,0,0
18,오미크론족 '라스트 렘넌트',58,0,0,0,0,179,2315,15,15
19,기하학 모양: 원,60,0,0,0,191,0,13,0,0
20,카페,59,0,180,0,0,194,14,0,0
21,음악,61,0,0,0,0,196,15,16,16
22,픽시족 '꿈나라 요정',63,0,0,0,0,257,2311,21,21
23,키타리족 '루리 발굴대',64,0,0,0,0,258,2312,22,22
24,드워프족 '와츠의 망치 작업장',65,0,0,0,0,259,2313,23,23
25,아르카소다라족 '하마운송',66,0,0,0,0,260,2314,24,24
26,레포릿족 '꿈꾸는 체험관',67,0,0,0,0,261,2316,25,25
27,절 오메가 검증전,68,262,0,263,264,265,2504,26,0
28,딥 던전: 에우레카 오르토스 1,69,0,0,296,0,0,2358,0,0
29,딥 던전: 에우레카 오르토스 2,70,0,0,297,0,0,2359,0,0
30,연대기 퀘스트: 사성수기담,71,0,0,0,298,0,2251,0,0
31,무인도 개척 1,72,0,0,0,299,301,2340,0,0
32,무인도 개척 2,73,0,0,0,300,302,2341,0,0
33,코우진족 '푸른등 보물찾기단',74,0,0,0,0,333,2308,27,27
34,아난타족 '아르파 국경경비대',75,0,0,0,0,334,2309,28,28
35,나마즈오족 '큰메기 대제전 실행위원회',76,0,0,0,0,335,2310,29,29
36,시대의 종언,77,354,0,336,337,338,2250,0,0
37,10주년 기념,78,0,0,0,339,340,3950,30,0
38,변형 던전: 육근산,3,0,341,342,0,0,2403,0,0
39,세계를 낚는 자,79,343,0,344,345,346,2345,31,0
40,강태공이 되는 길,80,347,0,348,349,350,2346,32,0
41,월하의 작패꾼,81,351,0,0,352,353,2350,33,33
42,바누바누족 '유려한 군두',82,0,0,0,0,388,2305,34,34
43,그나스족 '끊어진 자들',83,0,0,0,0,389,2306,35,35
44,모그리족 '모그모그 복원단',84,0,0,0,0,390,2307,36,36
45,에오르제아의 신화: 할로네,85,0,0,391,392,393,2252,37,0
46,에오르제아의 신화: 메느피나,86,0,0,391,392,393,2253,37,0
47,에오르제아의 신화: 살리아크,87,0,0,391,392,393,2254,37,0
48,에오르제아의 신화: 니메이아,88,0,0,391,392,393,2255,37,0
49,에오르제아의 신화: 리믈렌,89,0,0,391,392,393,2256,37,0
50,에오르제아의 신화: 오쉬온,90,0,0,391,392,393,2257,37,0
51,에오르제아의 신화: 비레고,91,0,0,391,392,393,2258,37,0
52,에오르제아의 신화: 랄거,92,0,0,391,392,393,2259,37,0
53,에오르제아의 신화: 아제마,93,0,0,391,392,393,2260,37,0
54,에오르제아의 신화: 날달,94,0,0,391,392,393,2261,37,0
55,에오르제아의 신화: 노피카,95,0,0,391,392,393,2262,37,0
56,에오르제아의 신화: 알디크,96,0,0,391,392,393,2263,37,0
57,타타루의 대박 상점,97,0,0,394,395,0,2242,38,0
58,변형 던전: 알로알로 섬,3,0,396,397,0,0,2404,0,0
59,쿠로의 공상 수첩,98,398,0,399,400,401,2351,39,0
60,총당님의 환상반,99,402,0,403,404,405,2352,40,0
61,블런더빌 1,100,406,0,0,0,0,3951,41,0
62,블런더빌 2,101,407,0,0,0,0,3952,42,0
63,블런더빌 3,102,408,0,0,0,0,3953,43,0
64,요괴워치 뿌니뿌니,103,409,0,0,410,411,3954,44,0
65,코볼드족 '제789땅굴단',104,0,0,0,0,452,2302,45,45
66,실프족 '임시 주거지 실프',105,0,0,0,0,453,2301,46,46
67,아말쟈족 '잿빛 일당',106,0,0,0,0,454,2300,47,47
68,사하긴족 '노부 일족',107,0,0,0,0,455,2303,48,48
69,이크살족 '에카틀 비행단',108,0,0,0,0,456,2304,49,49
70,툴라이욜라 1,109,457,0,458,459,0,1036,50,0
71,툴라이욜라 2,110,460,0,461,462,0,1037,51,0
72,솔루션 나인 1,111,463,0,464,465,0,1038,52,0
