#,Unknown0,Unknown1,Unknown2
0,,0,False
1,제1장: 기본 조작,349,False
2,제2장: 초코초코초코초코보,349,False
3,제3장: 전투의 첫걸음,349,False
4,제4장: 꼬마 괴수,350,True
5,제5장: 야만족들의 반란,349,False
6,제6장: 타라타라 묘소의 공포,351,True
7,제7장: 맞수들의 협공,349,False
8,제8장: 새벽은 빛과 어둠을 가르고,349,False
9,제9장: 구리구리종 광산을 폭파하라,352,True
10,제10장: 만드라 제국의 역습,349,False
11,제11장: 여왕 폐하 만세!,349,False
12,제12장: 악마의 벽돌 깨기,353,True
13,제13장: 수석 기공사 갈론드,349,False
14,제14장: 땅콩은 이제 그만,349,False
15,제15장: 소 오딘 토벌전,354,True
16,제16장: 초코보 대행진,349,False
17,제17장: 얼음외투 소빙벽을 녹여라,349,False
18,제18장: 작은 마물 사냥,349,False
19,제19장: 소 길가메시 토벌전,355,True
20,제20장: 그대에게 크리스탈의 인도가 있기를,349,False
21,제21장: 현인 루이수아의 시련,349,False
22,제22장: 옅은 어둠의 세계,349,False
23,제23장: 대혼란 바하무트 해후편,356,True
24,제24장: 대혼란 바하무트 진성편,357,True
25,,349,False
26,,349,False
27,,349,False
28,,349,False
29,,349,False
30,,349,False
31,,349,False
32,,349,False
33,,349,False
