#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,게임 QA,61532,0,0,True,False,False
2,게임 마스터,61524,0,0,True,False,False
3,게임 마스터,61532,0,0,False,False,False
4,이벤트 플레이어,61533,3940,0,False,False,False
5,통신 두절,61503,3942,0,False,False,False
6,친구 신청 중,61501,0,1,False,True,False
7,링크셸 가입 신청 중,61501,0,2,False,True,False
8,자유부대 가입 신청 중,61501,0,3,False,True,False
9,존재하지 않음,61502,0,4,False,True,False
10,접속 종료,61504,0,5,False,True,False
11,전투 멘토,61542,3947,6,False,True,False
12,다른 용무 중,61509,3943,7,False,True,False
13,PvP,61510,0,8,False,True,False
14,카드 대결 중,61539,0,9,False,True,False
15,이벤트 중,61508,3951,10,False,True,False
16,초코보 수송 탑승 중,61534,0,12,False,True,False
17,자리 비움,61511,3952,13,False,True,False
18,촬영 중,61546,3953,14,False,True,False
19,수리 요청,61512,0,15,False,True,False
20,수리 대행,61513,0,16,False,True,False
21,마테리아 장착 대행 중,61514,0,17,False,True,True
22,역할극 중,61545,3941,18,False,True,False
23,파티 가입 희망,61515,3954,19,False,True,False
24,용병 지원,61516,0,20,False,True,False
25,임무 참가 신청 중,61517,3950,21,False,True,False
26,파티 모집 중,61536,3955,22,False,True,False
27,멘토,61540,3946,31,False,True,False
28,PvE 멘토,61542,3947,32,False,True,False
29,제작채집 멘토,61543,3948,33,False,True,False
30,PvP 멘토,61544,3949,34,False,True,False
31,복귀자,61547,3945,35,False,True,False
32,초보자,61523,3944,36,False,True,False
33,전체 연합 파티장,61518,0,23,False,True,False
34,연합 파티장,61519,0,24,False,True,False
35,연합 파티원,61520,0,25,False,True,False
36,파티장,61521,3956,26,False,True,False
37,파티원,61522,3957,27,False,True,False
38,파티장(다른 서버),61961,3958,28,False,True,True
39,파티원(다른 서버),61962,3959,29,False,True,True
40,임무 중(다른 서버),61535,0,30,False,True,False
41,같은 임무 중,61506,0,0,False,False,False
42,같은 임무 중(다른 파티),61507,0,0,False,False,False
43,임무 중,61510,0,11,False,True,False
44,체험판 플레이어,61525,0,38,False,True,False
45,자유부대,0,0,0,False,False,False
46,총사령부,0,0,0,False,False,False
47,접속 중,61505,0,37,False,True,False
