key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,OutputType,,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text,,,
int32,uint32,bit&01,bit&02,bit&04,byte,byte,uint32,single,single,bit&08,bit&10,byte,byte,str,uint16
0,0,False,False,False,1,0,0,0,1,False,False,1,25,"0",0
1,0,False,False,False,3,0,0,0,1,False,False,1,25,"0",0
2,0,False,False,False,3,0,0,0,5,False,False,1,25,"누구 없어? 나 좀 도와줘!",0
3,0,False,False,False,3,0,0,0,5,False,False,1,25,"조심해! 마물이 온다!",0
4,0,False,False,False,3,0,0,0,5,False,False,1,25,"임프가 온다! 놓치지 마!",0
5,0,False,False,False,3,0,0,0,5,False,False,1,25,"젠장, 적이 너무 많아!",0
6,0,False,False,False,3,0,0,0,5,False,False,1,25,"마물이 코앞까지 다가왔어요!",0
7,0,False,False,False,3,0,0,0,5,False,False,1,25,"실프족이 온다! 경계하라!",0
8,0,False,False,False,3,0,0,0,5,False,False,1,25,"마물 수가 늘었어, 조심해!",0
9,0,False,False,False,3,0,0,0,5,False,False,1,25,"이곳 안전은 우리가 지킨다!",0
10,0,False,False,False,3,0,0,0,5,False,False,1,25,"도적놈들 코를 납작하게 만들자!",0
11,0,False,False,False,3,0,0,0,5,False,False,1,25,"오포오포가 콩을 노리고 있어!",0
12,0,False,False,False,3,0,0,0,5,False,False,1,25,"이크살족이 쳐들어왔다!",0
13,0,False,False,False,3,0,0,0,5,False,False,1,25,"저건…… 지즈!?",0
14,0,False,False,False,3,0,0,0,5,False,False,1,25,"또 나타났군!",0
15,0,False,False,False,3,0,0,0,5,False,False,1,25,"마물들이 소란스럽군, 조심해라",0
16,0,False,False,False,3,0,0,0,5,False,False,1,25,"큭…… 그걸 써야 하나……!",0
17,0,False,False,False,3,0,0,0,5,False,False,1,25,"해치워라! 금강파쇄자!!",0
18,0,False,False,False,3,0,0,0,5,False,False,1,25,"누가 우리 좀 도와주게나!",0
19,0,False,False,False,3,0,0,0,5,False,False,1,25,"아무도 없나!? 날 도와다오!",0
20,0,False,False,False,3,0,0,0,5,False,False,1,25,"으윽, 골렘이 너무 많아!",0
