#,Name,Background,Frame,Decoration,SortKey
0,사용자 정의,0,0,0,0
1,기본,1,1,1,2
2,깔끔함,2,3,1,3
3,고전적인 초상화,10,10,1,4
4,인상적인 초상화,7,10,1,5
5,화려함,3,11,8,6
6,에테르 공간,8,1,1,1
7,퀘스트,7,7,1,7
8,방어 역할,4,9,5,8
9,회복 역할,6,9,7,9
10,공격 역할,5,9,6,10
11,나이트(단순),52,12,12,2050
12,전사(단순),53,13,13,2051
13,암흑기사(단순),54,14,14,2052
14,건브레이커(단순),55,15,15,2053
15,백마도사(단순),56,16,16,2054
16,학자(단순),57,17,17,2055
17,점성술사(단순),58,18,18,2056
18,현자(단순),59,19,19,2057
19,몽크(단순),60,20,20,2058
20,용기사(단순),61,21,21,2059
21,닌자(단순),62,22,22,2060
22,사무라이(단순),63,23,23,2061
23,리퍼(단순),64,24,24,2062
24,음유시인(단순),65,25,25,2064
25,기공사(단순),66,26,26,2065
26,무도가(단순),67,27,27,2066
27,흑마도사(단순),68,28,28,2067
28,소환사(단순),69,29,29,2068
29,적마도사(단순),70,30,30,2069
30,나이트(역동적),11,12,12,2150
31,전사(역동적),12,13,13,2151
32,암흑기사(역동적),13,14,14,2152
33,건브레이커(역동적),14,15,15,2153
34,백마도사(역동적),15,16,16,2154
35,학자(역동적),16,17,17,2155
36,점성술사(역동적),17,18,18,2156
37,현자(역동적),18,19,19,2157
38,몽크(역동적),19,20,20,2158
39,용기사(역동적),20,21,21,2159
40,닌자(역동적),21,22,22,2160
41,사무라이(역동적),22,23,23,2161
42,리퍼(역동적),23,24,24,2162
43,음유시인(역동적),24,25,25,2164
44,기공사(역동적),25,26,26,2165
45,무도가(역동적),26,27,27,2166
46,흑마도사(역동적),27,28,28,2167
47,소환사(역동적),28,29,29,2168
48,적마도사(역동적),29,30,30,2169
49,별빛 팀,30,31,31,3000
50,그림자 팀,31,32,32,3001
51,컴패니언 특전 1,41,42,42,4000
52,컴패니언 특전 2,42,43,43,4001
53,절 바하무트 토벌전,86,44,44,2500
54,절 알테마 웨폰 파괴작전,87,45,45,2501
55,절 알렉산더 토벌전,88,46,46,2502
56,절 용시전쟁,89,47,47,2503
57,크리스탈라인 컨플릭트: 제왕(시즌 1),32,33,33,3200
58,크리스탈라인 컨플릭트: 용자(시즌 1),33,34,34,3201
59,크리스탈라인 컨플릭트: 입상자(시즌 1),34,35,35,3202
60,크리스탈라인 컨플릭트: 브론즈(시즌 1),35,36,36,3208
61,크리스탈라인 컨플릭트: 실버(시즌 1),36,37,37,3207
62,크리스탈라인 컨플릭트: 골드(시즌 1),37,38,38,3206
63,크리스탈라인 컨플릭트: 플래티넘(시즌 1),38,39,39,3205
64,크리스탈라인 컨플릭트: 다이아몬드(시즌 1),39,40,40,3204
65,크리스탈라인 컨플릭트: 크리스탈(시즌 1),40,41,41,3203
66,크리스탈라인 컨플릭트: 제왕(시즌 2),90,48,48,3209
67,크리스탈라인 컨플릭트: 용자(시즌 2),91,49,49,3210
68,크리스탈라인 컨플릭트: 입상자(시즌 2),92,50,50,3211
69,크리스탈라인 컨플릭트: 브론즈(시즌 2),93,51,51,3217
70,크리스탈라인 컨플릭트: 실버(시즌 2),94,52,52,3216
71,크리스탈라인 컨플릭트: 골드(시즌 2),95,53,53,3215
72,크리스탈라인 컨플릭트: 플래티넘(시즌 2),96,54,54,3214
73,크리스탈라인 컨플릭트: 다이아몬드(시즌 2),97,55,55,3213
74,크리스탈라인 컨플릭트: 크리스탈(시즌 2),98,56,56,3212
75,크리스탈라인 컨플릭트: 제왕(시즌 3),99,57,57,3218
76,크리스탈라인 컨플릭트: 용자(시즌 3),100,58,58,3219
77,크리스탈라인 컨플릭트: 입상자(시즌 3),101,59,59,3220
78,크리스탈라인 컨플릭트: 브론즈(시즌 3),102,60,60,3226
79,크리스탈라인 컨플릭트: 실버(시즌 3),103,61,61,3225
80,크리스탈라인 컨플릭트: 골드(시즌 3),104,62,62,3224
81,크리스탈라인 컨플릭트: 플래티넘(시즌 3),105,63,63,3223
82,크리스탈라인 컨플릭트: 다이아몬드(시즌 3),106,64,64,3222
83,크리스탈라인 컨플릭트: 크리스탈(시즌 3),107,65,65,3221
84,크리스탈라인 컨플릭트: 파랑,108,66,66,3002
85,크리스탈라인 컨플릭트: 빨강,109,67,67,3003
86,변형 던전: 실디하 지하수도,110,68,68,2402
87,오미크론족 '라스트 렘넌트',111,1,69,2315
88,기하학 모양: 원,119,70,75,11
89,만화,116,69,74,12
90,아이템 희귀도 1(NQ),125,76,1,13
91,아이템 희귀도 2(NQ),126,76,1,14
92,아이템 희귀도 3(NQ),127,76,1,15
93,아이템 희귀도 4(NQ),128,76,1,16
94,아이템 희귀도 5(NQ),129,76,1,17
95,아이템 희귀도 1(HQ),125,77,1,18
96,아이템 희귀도 2(HQ),126,77,1,19
97,아이템 희귀도 3(HQ),127,77,1,20
98,아이템 희귀도 4(HQ),128,77,1,21
99,아이템 희귀도 5(HQ),129,77,1,22
100,음악,123,1,76,23
101,카페,115,1,73,24
102,크리스탈라인 컨플릭트: 제왕(시즌 4),133,78,81,3227
103,크리스탈라인 컨플릭트: 용자(시즌 4),134,79,82,3228
104,크리스탈라인 컨플릭트: 입상자(시즌 4),135,80,83,3229
105,크리스탈라인 컨플릭트: 크리스탈(시즌 4),136,81,84,3230
106,크리스탈라인 컨플릭트: 다이아몬드(시즌 4),137,82,85,3231
107,크리스탈라인 컨플릭트: 플래티넘(시즌 4),138,83,86,3232
108,크리스탈라인 컨플릭트: 골드(시즌 4),139,84,87,3233
109,크리스탈라인 컨플릭트: 실버(시즌 4),140,85,88,3234
110,크리스탈라인 컨플릭트: 브론즈(시즌 4),141,86,89,3235
111,크리스탈라인 컨플릭트: 제왕(시즌 5),142,87,90,3236
112,크리스탈라인 컨플릭트: 용자(시즌 5),143,88,91,3237
113,크리스탈라인 컨플릭트: 입상자(시즌 5),144,89,92,3238
114,크리스탈라인 컨플릭트: 크리스탈(시즌 5),145,90,93,3239
115,크리스탈라인 컨플릭트: 다이아몬드(시즌 5),146,91,94,3240
116,크리스탈라인 컨플릭트: 플래티넘(시즌 5),147,92,95,3241
117,크리스탈라인 컨플릭트: 골드(시즌 5),148,93,96,3242
118,크리스탈라인 컨플릭트: 실버(시즌 5),149,94,97,3243
119,크리스탈라인 컨플릭트: 브론즈(시즌 5),150,95,98,3244
120,보라매 팀,151,96,99,3004
121,까마귀 팀,152,97,100,3005
122,픽시족 '꿈나라 요정',153,1,101,2311
123,키타리족 '루리 발굴대',154,1,102,2312
124,드워프족 '와츠의 망치 작업장',155,1,103,2313
125,아르카소다라족 '하마운송',156,1,104,2314
126,레포릿족 '꿈꾸는 체험관',157,1,105,2316
127,절 오메가 검증전,158,98,106,2504
128,딥 던전: 에우레카 오르토스 1,159,1,107,2358
129,딥 던전: 에우레카 오르토스 2,160,1,108,2359
130,연대기 퀘스트: 사성수기담,161,99,1,2251
131,무인도 개척 1,162,100,109,2340
132,무인도 개척 2,163,101,110,2341
133,크리스탈라인 컨플릭트: 제왕(시즌 6),164,102,111,3245
134,크리스탈라인 컨플릭트: 용자(시즌 6),165,103,112,3246
135,크리스탈라인 컨플릭트: 입상자(시즌 6),166,104,113,3247
136,크리스탈라인 컨플릭트: 크리스탈(시즌 6),167,105,114,3248
137,크리스탈라인 컨플릭트: 다이아몬드(시즌 6),168,106,115,3249
138,크리스탈라인 컨플릭트: 플래티넘(시즌 6),169,107,116,3250
139,크리스탈라인 컨플릭트: 골드(시즌 6),170,108,117,3251
140,크리스탈라인 컨플릭트: 실버(시즌 6),171,109,118,3252
141,크리스탈라인 컨플릭트: 브론즈(시즌 6),172,110,119,3253
142,크리스탈라인 컨플릭트: 제왕(시즌 7),173,111,120,3254
143,크리스탈라인 컨플릭트: 용자(시즌 7),174,112,121,3255
144,크리스탈라인 컨플릭트: 입상자(시즌 7),175,113,122,3256
145,크리스탈라인 컨플릭트: 크리스탈(시즌 7),176,114,123,3257
146,크리스탈라인 컨플릭트: 다이아몬드(시즌 7),177,115,124,3258
147,크리스탈라인 컨플릭트: 플래티넘(시즌 7),178,116,125,3259
148,크리스탈라인 컨플릭트: 골드(시즌 7),179,117,126,3260
149,크리스탈라인 컨플릭트: 실버(시즌 7),180,118,127,3261
150,크리스탈라인 컨플릭트: 브론즈(시즌 7),181,119,128,3262
151,아라미타마,182,120,129,3006
152,니기미타마,183,121,130,3007
153,코우진족 '푸른등 보물찾기단',184,1,131,2308
154,아난타족 '아르파 국경경비대',185,1,132,2309
155,나마즈오족 '큰메기 대제전 실행위원회',186,1,133,2310
156,청마도사(단순),71,122,134,2071
157,청마도사(역동적),187,122,134,2171
158,시대의 종언,188,128,1,2250
159,10주년 기념,189,123,135,3950
160,변형 던전: 육근산,190,124,136,2403
161,세계를 낚는 자,191,125,137,2346
162,강태공이 되는 길,192,126,138,2347
163,월하의 작패꾼,193,127,139,2350
164,팔라이스트라,194,129,140,3008
165,절정의 구름,195,130,141,3009
166,크리스탈라인 컨플릭트: 제왕(시즌 8),196,131,142,3263
167,크리스탈라인 컨플릭트: 용자(시즌 8),197,132,143,3264
168,크리스탈라인 컨플릭트: 입상자(시즌 8),198,133,144,3265
169,크리스탈라인 컨플릭트: 크리스탈(시즌 8),199,134,145,3266
170,크리스탈라인 컨플릭트: 다이아몬드(시즌 8),200,135,146,3267
171,크리스탈라인 컨플릭트: 플래티넘(시즌 8),201,136,147,3268
172,크리스탈라인 컨플릭트: 골드(시즌 8),202,137,148,3269
173,크리스탈라인 컨플릭트: 실버(시즌 8),203,138,149,3270
174,크리스탈라인 컨플릭트: 브론즈(시즌 8),204,139,150,3271
175,크리스탈라인 컨플릭트: 제왕(시즌 9),205,140,151,3272
176,크리스탈라인 컨플릭트: 용자(시즌 9),206,141,152,3273
177,크리스탈라인 컨플릭트: 입상자(시즌 9),207,142,153,3274
