#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,알피노,학사,8202013,Academician
2,알리제,적마도사,8202035,Red Mage
3,산크레드,건브레이커,8202052,Gunbreaker
4,민필리아,빛의 무녀,8202073,Oracle of Light
5,위리앙제,점성술사,8202088,Astrologian
6,야슈톨라,마녀,8202109,Sorceress
7,린,빛의 무녀,8202073,Oracle of Light
8,라이나,위병단장,8202143,Guard Captain
9,수정공,만능,8202131,All-Rounder
10,그라하 티아,만능,8202346,All-Rounder
11,알피노,현자,8203013,Sage
12,에스티니앙,용기사,8203064,Dragoon
13,위리앙제,비석술사,8202092,Lithomancer
14,베네스,만능,8203122,All-Rounder
15,에메트셀크,제3의 자리,8203219,The Third Seat
16,휘틀로다이우스,혼을 보는 자,8203239,Soulseer
17,기백 있는 도끼술사,도끼술사,0,Marauder
18,기백 있는 창술사,창술사,0,Lancer
19,기백 있는 주술사,주술사,0,Thaumaturge
20,기백 있는 환술사,환술사,0,Conjurer
21,새벽의 도끼술사,도끼술사,0,Marauder
22,새벽의 창술사,창술사,0,Lancer
23,새벽의 주술사,주술사,0,Thaumaturge
24,새벽의 환술사,환술사,0,Conjurer
25,흑와단 도끼술사,도끼술사,0,Marauder
26,쌍사당 창술사,창술사,0,Lancer
27,불멸대 주술사,주술사,0,Thaumaturge
28,쌍사당 환술사,환술사,0,Conjurer
29,바르샨,태수,8203440,Satrap
30,이젤,얼음의 무녀,0,Oracle of Frost
31,신전기사단 기사,신전기사,0,Temple Knight
32,신전기사단 창기병,창기병,0,Temple Banneret
33,신전기사단 치료사,치료사,0,Temple Chirurgeon
34,오르슈팡,정기사,0,Chivalric Knight
35,페로 록고,포록고,0,Poroggo
36,아이메리크,총장,0,Lord Commander
37,포르탕 가 기사,기사,0,Knight
38,포르탕 가 창기병,창기병,0,Banneret
39,포르탕 가 궁수,궁수,0,Archer
40,산크레드,현인,0,Archon
41,제로,메모리아술사,8203467,Memoriate
42,야슈톨라,현인,0,Archon
43,카르발랭,도끼술사,0,Marauder
44,리세,격투사,0,Pugilist
45,고우세츠,사무라이,0,Samurai
46,히엔,사무라이,0,Samurai
47,몰족 젊은이,제사장,0,Shaman
48,유우기리,닌자,0,Ninja
49,도마 열사,사무라이,0,Samurai
50,도마 무격,무격,0,Fushi
51,해방군 투사,검술사,0,Gladiator
52,해방군 창병,창병,0,Pikedancer
53,아렌발드,검술사,0,Gladiator
54,리세,격투사,0,Pugilist
55,라우반,검투사,0,Champion Gladiator
56,자몰바,창술사,0,Lancer
57,우크라마트,용사,8205048,Intrepid
58,조라쟈,바이퍼,8205115,Viper
59,쿼나,혁신자,8205098,Innovator
60,쿠루루,픽토맨서,8205029,Pictomancer
61,스펜,생명술사,8206020,Zoemancer
