#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0.0,0,0,0,0,0,False
1.0,1001,3,0,1,0,False
1.1,0,0,0,4,0,False
2.0,112,60811,1,9,0,False
2.1,0,0,1,10,0,False
2.2,112,0,1,11,0,False
2.3,107,0,1,6,0,False
2.4,107,1,1,6,0,False
2.5,107,2,1,6,0,False
2.6,113,0,1,12,0,False
3.0,112,60811,1,9,0,False
3.1,0,0,1,10,0,False
3.2,112,0,1,11,0,False
3.3,108,0,1,6,0,False
3.4,108,1,1,6,0,False
3.5,108,2,1,6,0,False
3.6,119,0,1,6,0,False
3.7,113,0,1,12,0,False
4.0,112,60811,1,9,0,False
4.1,0,0,1,10,0,False
4.2,112,0,1,11,0,False
4.3,109,0,1,6,0,False
4.4,109,1,1,6,0,False
4.5,109,2,1,6,0,False
4.6,113,0,1,12,0,False
5.0,112,60811,1,9,0,False
5.1,0,0,1,10,0,False
5.2,112,0,1,11,0,False
5.3,104,0,1,6,0,False
5.4,113,0,1,12,0,False
6.0,112,60811,1,9,0,False
6.1,0,0,1,10,0,False
6.2,112,0,1,11,0,False
6.3,105,0,1,6,0,False
6.4,113,0,1,12,0,False
7.0,112,60811,1,9,0,False
7.1,0,0,1,10,0,False
7.2,112,0,1,11,0,False
7.3,106,0,1,6,0,False
7.4,113,0,1,12,0,False
8.0,112,60811,1,9,0,False
8.1,0,0,1,10,0,False
8.2,0,0,1,4,0,False
8.3,110,0,1,6,0,False
8.4,113,0,1,12,0,False
9.0,112,60811,1,9,0,False
9.1,0,0,1,10,0,False
9.2,0,0,1,4,0,False
9.3,106,0,1,6,0,False
9.4,113,0,1,12,0,False
10.0,112,60811,1,9,0,False
10.1,0,0,1,10,0,False
10.2,0,0,1,4,0,False
10.3,109,0,1,6,0,False
10.4,109,1,1,6,0,False
10.5,109,2,1,6,0,False
10.6,113,0,1,12,0,False
11.0,112,60811,1,9,0,False
11.1,0,0,1,10,0,False
11.2,0,0,1,4,0,False
11.3,108,0,1,6,0,False
11.4,108,1,1,6,0,False
11.5,108,2,1,6,0,False
11.6,113,0,1,12,0,False
12.0,111,0,2,9,0,False
12.1,0,0,2,10,0,False
12.2,0,0,2,4,0,False
12.3,116,0,2,2,0,False
12.4,118,0,2,12,0,False
13.0,111,0,2,9,0,False
13.1,0,0,2,10,0,False
13.2,115,1,2,13,0,False
13.3,0,0,2,4,0,False
13.4,118,0,2,12,0,False
14.0,111,0,2,9,0,False
14.1,0,0,2,10,0,False
14.2,115,0,2,13,0,False
14.3,0,0,2,4,0,False
14.4,116,0,2,2,0,False
14.5,117,1,2,3,0,False
14.6,118,0,2,12,0,False
15.0,120,60811,1,9,0,False
16.0,112,60811,1,9,0,False
16.1,0,0,1,10,0,False
16.2,112,0,1,11,0,False
16.3,121,0,1,6,0,False
16.4,121,1,1,6,0,False
16.5,121,2,1,6,0,False
16.6,113,0,1,12,0,False
17.0,111,0,2,9,0,False
17.1,0,0,2,10,0,False
17.2,0,0,2,4,0,False
17.3,116,0,2,2,0,False
17.4,122,2,2,2,0,False
17.5,118,0,2,12,0,False
18.0,111,0,2,9,0,False
18.1,0,0,2,10,0,False
18.2,0,0,2,4,0,False
18.3,116,0,2,2,0,False
18.4,123,3,2,2,0,False
18.5,118,0,2,12,0,False
