#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,우주 임무 1회 달성,1,0,50,0,1
1,우주 임무 3종류 달성,3,0,75,1,1
2,우주 임무에서 골드 등급 1회 획득,1,0,75,2,1
3,긴급 임무 1회 달성,1,0,50,3,1
4,기체 작전 1회 달성,1,0,100,4,1
5,우주 복권 1회 도전,1,0,50,5,1
6,월면 우주 임무 10회 달성,10,1,300,6,2
7,월면 우주 임무 50회 달성,50,1,450,7,2
8,월면 우주 임무 100회 달성,100,1,900,8,2
9,월면 우주 임무 500회 달성,500,1,1500,9,2
10,월면 우주 임무 10종류 달성,10,1,300,10,2
11,월면 우주 임무 50종류 달성,50,1,900,11,2
12,월면 우주 임무 100종류 달성,100,1,2400,12,2
13,월면 우주 임무 10종류에서 골드 등급 획득,10,1,300,13,2
14,월면 우주 임무 50종류에서 골드 등급 획득,50,1,900,14,2
15,월면 우주 임무 100종류에서 골드 등급 획득,100,1,2400,15,2
16,월면 긴급 임무 1회 달성,1,2,500,16,2
17,월면 긴급 임무 10회 달성,10,2,1000,17,2
18,월면 긴급 임무 30회 달성,30,2,3000,18,2
19,조종사로 월면 기체 작전에 참가하여 1회 달성,1,1,1500,22,2
20,조종사로 월면 기체 작전에 참가하여 5회 달성,5,1,3000,23,2
21,조종사로 월면 기체 작전에 참가하여 10회 달성,10,1,4500,24,2
22,지원군으로 월면 기체 작전에 참가하여 5회 달성,5,1,300,25,2
23,지원군으로 월면 기체 작전에 참가하여 20회 달성,20,1,900,26,2
24,지원군으로 월면 기체 작전에 참가하여 50회 달성,50,1,2100,27,2
25,월면에서 목수 D급 임무 3종류 달성,3,3,50,28,2
26,월면에서 목수 C급 임무 4종류 달성,4,3,100,29,2
27,"월면에서 목수 B급 임무 3종류
골드 등급 획득",3,3,200,30,2
28,월면에서 대장장이 D급 임무 3종류 달성,3,7,50,31,2
29,월면에서 대장장이 C급 임무 4종류 달성,4,7,100,32,2
30,"월면에서 대장장이 B급 임무 3종류
골드 등급 획득",3,7,200,33,2
31,월면에서 갑주제작사 D급 임무 3종류 달성,3,11,50,34,2
32,월면에서 갑주제작사 C급 임무 4종류 달성,4,11,100,35,2
33,"월면에서 갑주제작사 B급 임무 3종류
골드 등급 획득",3,11,200,36,2
34,월면에서 보석공예가 D급 임무 3종류 달성,3,15,50,37,2
35,월면에서 보석공예가 C급 임무 4종류 달성,4,15,100,38,2
36,"월면에서 보석공예가 B급 임무 3종류
골드 등급 획득",3,15,200,39,2
37,월면에서 가죽공예가 D급 임무 3종류 달성,3,19,50,40,2
