key,0,1,2,3,4,5,6,7,8,9,10
#,Page[0],Page[1],Page[2],Page[3],Page[4],Page[5],Page[6],Page[7],Name,Description,
int32,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,uint32,str,str
0,0,0,0,0,0,0,0,0,5692,"",""
1,1,2,3,4,5,6,0,0,5692,"남부 보즈야 전선",""
2,7,8,9,10,11,12,13,14,5692,"던전 공략",""
3,15,16,17,18,0,0,0,0,5692,"변형 던전",""
4,19,20,21,22,0,0,0,0,5692,"무인도 개척",""
5,23,0,0,0,0,0,0,0,5696,"초보자의 집",""
6,24,0,0,0,0,0,0,0,5697,"초보자의 집",""
7,25,26,27,28,29,0,0,0,5692,"THE CRESCENT ISLE","蜃気楼の島 クレセントアイル"
8,31,32,35,33,34,0,0,0,5692,"우주 개척",""
