#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,자유부대를 결성했습니다.,0,0,0,1,0
2,부대 랭크가 UNKNOWN랭크로 올랐습니다.,0,0,1,1,0
3,의 우호 관계가  단계로 올랐습니다.,1,0,1,1,5
4,의 우호 관계가  단계로 올랐습니다.,1,0,1,1,6
5,의 우호 관계가  단계로 올랐습니다.,1,0,1,1,7
6, 권한을 획득했습니다.,0,0,1,1,0
7, 님이 가입했습니다.,4,0,0,2,1
8, 님이 가입했습니다.,4,0,0,2,1
9, 님이 탈퇴했습니다.,4,0,0,2,2
10, 님이 탈퇴했습니다.,4,0,0,2,2
11, 님이  임명되었습니다.,4,5,0,2,3
12, 님이  임명되었습니다.,4,5,0,2,3
13, 님이  임명되었습니다.,4,5,0,2,3
14, 이적했습니다.,0,1,0,1,5
15, 이적했습니다.,0,1,0,1,6
16, 이적했습니다.,0,1,0,1,7
17, 님이 계급 의 설정을 변경했습니다.,4,5,0,3,3
18, 님이 계급  추가했습니다.,4,5,0,3,3
19, 님이 계급  삭제했습니다.,4,5,0,3,3
20, 님이 계급 서열을 변경했습니다.,4,0,0,3,3
21,,4,6,1,0,-1
22,,4,0,0,0,-1
23,,4,0,0,0,-1
24, 님이 부대 게시판을 수정했습니다.,4,0,0,3,4
25, 님이 부대 정보를 수정했습니다.,4,0,0,3,4
26, 님이 부대 문장 디자인을 변경했습니다.,4,0,0,3,8
27, 님이  획득했습니다.,4,0,1,4,9
28, 님이  사용했습니다.,4,0,1,4,9
29,이 활동은 삭제되었습니다.,0,0,0,0,4
30, 님이 계급명을  변경했습니다.,4,5,0,3,3
31, 님이  취소했습니다.,4,0,1,4,9
32, 님이  포기했습니다.,4,0,1,4,9
33,부대 약칭이  변경되었습니다.,0,3,0,3,4
34,부대명이  변경되었습니다.,0,2,0,3,4
35, 님이  UNKNOWN구 UNKNOWN번지에 있는 주택의 이름을  변경했습니다.,4,9,0,5,11
36, 님이 의 인사말을 변경했습니다.,4,8,0,5,11
