key,0,1,2
#,,,
int32,uint32,str,str
0,0,"",""
1,0,"",""
2,5,"보존 기록",""
3,6,"임무 다시하기",""
4,13,"로스트 기술 설명",""
5,21,"초상화 설명",""
6,22,"모험가 카드 설명",""
7,23,"무인도 개척 설명",""
8,24,"개척공방의 기초",""
9,25,"딥 던전 설명",""
10,26,"딥 던전 설명",""
11,27,"딥 던전 설명",""
12,28,"패션 소품 설명",""
13,29,"장비세트 기능 설명",""
14,19,"PvP 설명",""
15,3,"경쟁의 날개 설명",""
16,7,"전장 설명",""
17,20,"크리스탈라인 컨플릭트 설명",""
18,30,"모그모그★컬렉션 설명",""
19,32,"캐릭터 꾸미기 기능 설명",""
20,33,"전투 설명",""
21,2,"작패유희 설명",""
22,37,"딥 던전 설명",""
23,35,"초승달 섬 설명",""
24,36,"행성 탐색을 하려면",""
25,38,"전략 게시판",""
