#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
0,,,,,0,0,0,0,0,0,-1
1,,,,,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0
7,,,,,0,0,0,0,0,0,0
8,,,,,0,0,0,0,0,0,0
9,,,,,0,0,0,0,0,0,0
10,,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 디아뎀 제도 자원 조사를 의뢰한다.
원하는 대로 채집 활동을 하고 성과를 보고해주기 바란다.","정해진 활동량을 달성하면 합당한 보상을 지급할 것이다.
행운이 함께하기를……!",0,0,0,6,0,0,-1
11,,"여기는 아유나르트 관제탑……
자원 조사 제1단계 완료를 확인했다.","제법 흥미로운 활동 결과가 나온 듯하군.
계속해서 자원 조사를 진행하라.",,0,0,0,6,0,0,-1
12,,"여기는 아유나르트 관제탑……
자원 조사 제2단계 완료를 확인했다.",자원 조사가 완전히 끝날 때까지 계속 애써주길 바란다.,,0,0,0,6,0,0,-1
13,과다성 불 크리스탈 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 '과다성 크리스탈' 수집을 의뢰한다.
지금부터 지정 지점으로 이동하여 자원을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007594,0,8,9,0,0,-1
14,과다성 물 크리스탈 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 '과다성 크리스탈' 수집을 의뢰한다.
지금부터 지정 지점으로 이동하여 자원을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007597,0,8,9,0,0,-1
15,과다성 땅 크리스탈 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 '과다성 크리스탈' 수집을 의뢰한다.
지금부터 지정 지점으로 이동하여 자원을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007595,0,8,9,0,0,-1
16,과다성 얼음 크리스탈 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 '과다성 크리스탈' 수집을 의뢰한다.
지금부터 지정 지점으로 이동하여 자원을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007596,0,8,9,0,0,-1
17,과다성 바람 크리스탈 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 '과다성 크리스탈' 수집을 의뢰한다.
지금부터 지정 지점으로 이동하여 자원을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007598,0,8,9,0,0,-1
18,과다성 번개 크리스탈 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 '과다성 크리스탈' 수집을 의뢰한다.
지금부터 지정 지점으로 이동하여 자원을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007593,0,8,9,0,0,-1
19,과다성 불 크리스탈 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","지정 지점을 추가하겠다.
계속해서 '과다성 크리스탈'을 수집해주기 바란다.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007594,1,10,9,0,0,-1
20,과다성 물 크리스탈 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","지정 지점을 추가하겠다.
계속해서 '과다성 크리스탈'을 수집해주기 바란다.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007597,1,10,9,0,0,-1
21,과다성 땅 크리스탈 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","지정 지점을 추가하겠다.
계속해서 '과다성 크리스탈'을 수집해주기 바란다.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007595,1,10,9,0,0,-1
22,과다성 얼음 크리스탈 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","지정 지점을 추가하겠다.
계속해서 '과다성 크리스탈'을 수집해주기 바란다.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007596,1,10,9,0,0,-1
23,과다성 바람 크리스탈 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","지정 지점을 추가하겠다.
계속해서 '과다성 크리스탈'을 수집해주기 바란다.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007598,1,10,9,0,0,-1
24,과다성 번개 크리스탈 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","지정 지점을 추가하겠다.
계속해서 '과다성 크리스탈'을 수집해주기 바란다.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,2007593,1,10,9,0,0,-1
25,풍요호 좌초 지점에서 아유나르트 가 비행사에게 수집물 납품,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","마지막으로 '풍요호 좌초 지점'으로 이동하여
'아유나르트 가 비행사'에게 수집물을 전달하라.","제군의 협력에 감사한다.
보상은 좌초 지점에서 지급하겠다!",0,0,0,2,0,0,-1
26,"유인향 덫으로 '은껍질게'를 꾀어내 처치하고
'구름바다종 기관 표본' 수집","여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 표본 채취를 의뢰한다.
'유인향 덫'으로 대상 생물을 꾀어 신속하게 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,5,-1
27,"유인향 덫으로 '하늘 닉스'를 꾀어내 처치하고
'구름바다종 기관 표본' 수집","여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 표본 채취를 의뢰한다.
'유인향 덫'으로 대상 생물을 꾀어 신속하게 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,5,-1
28,"유인향 덫으로 '보석 말해파리'를 꾀어내 처치하고
'구름바다종 기관 표본' 수집","여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 표본 채취를 의뢰한다.
'유인향 덫'으로 대상 생물을 꾀어 신속하게 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,5,-1
29,"유인향 덫으로 '무지개 가스토르니스'를 꾀어내 처치하고
'구름바다종 기관 표본' 수집","여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 표본 채취를 의뢰한다.
'유인향 덫'으로 대상 생물을 꾀어 신속하게 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,5,-1
30,"유인향 덫으로 '루난티시'를 꾀어내 처치하고
'구름바다종 기관 표본' 수집","여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 표본 채취를 의뢰한다.
'유인향 덫'으로 대상 생물을 꾀어 신속하게 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,5,-1
31,"유인향 덫으로 '개미매'를 꾀어내 처치하고
'구름바다종 기관 표본' 수집","여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 표본 채취를 의뢰한다.
'유인향 덫'으로 대상 생물을 꾀어 신속하게 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,5,-1
32,"유인향 덫으로 '디플로카울루스'를 꾀어내 처치하고
'구름바다종 골격 표본' 수집","여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","다른 표본 채취를 추가 의뢰하겠다.
'유인향 덫'으로 대상 생물을 유인하여 표본을 수집해다오.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,3,-1
33,"유인향 덫으로 '프로케라토사우루스'를 꾀어내 처치하고
'구름바다종 골격 표본' 수집","여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","다른 표본 채취를 추가 의뢰하겠다.
'유인향 덫'으로 대상 생물을 유인하여 표본을 수집해다오.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,3,-1
34,"유인향 덫으로 '코엘로피시스'를 꾀어내 처치하고
'구름바다종 골격 표본' 수집","여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","다른 표본 채취를 추가 의뢰하겠다.
'유인향 덫'으로 대상 생물을 유인하여 표본을 수집해다오.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,3,-1
